,E38000194,E38000159,E38000153,E38000010,E38000177,E38000188,E38000205,E38000077,E38000156,E38000003,E38000028,E38000091,E38000209,E38000095,E38000050,E38000107,E38000021,E38000136,E38000101,E38000009,E38000059,E38000120,E38000141,E38000029,E38000076,E38000099,E38000082,E38000203,E38000124,E38000168,E38000079,E38000158,E38000185,E38000098,E38000129,E38000062,E38000122,E38000084,E38000144,E38000166,E38000169,E38000143,E38000083,E38000213,E38000161,E38000108,E38000089,E38000176,E38000038,E38000116,E38000048,E38000006,E38000192,E38000004,E38000104,E38000127,E38000032,E38000178,E38000052,E38000150,E38000151,E38000142,E38000005,E38000214,E38000118,E38000007,E38000042,E38000133,E38000119,E38000113,E38000199,E38000125,E38000069,E38000190,E38000180,E38000198,E38000157,E38000054,E38000068,E38000167,E38000163,E38000189,E38000097,E38000044,E38000019,E38000155,E38000181,E38000154,E38000033,E38000055,E38000024,E38000093,E38000026,E38000139,E38000027,E38000078,E38000145,E38000090,E38000149,E38000031,E38000152,E38000201,E38000015,E38000102,E38000023,E38000121,E38000140,E38000191,E38000110,E38000058,E38000103,E38000041,E38000034,E38000115,E38000020,E38000011,E38000087,E38000040,E38000114,E38000080,E38000049,E38000096,E38000184,E38000164,E38000146,E38000160,E38000204,E38000012,E38000030,E38000211,E38000065,E38000001,E38000002,E38000138,E38000016,E38000187,E38000092,E38000109,E38000088,E38000086,E38000148,E38000210,E38000043,E38000117,E38000130,E38000183,E38000171,E38000053,E38000179,E38000045,E38000070,E38000202,E38000196,E38000060,E38000147,E38000197,E38000134,E38000013,E38000186,E38000063,E38000173,E38000208,E38000200,E38000051,E38000056,E38000195,E38000212,E38000037,E38000022,E38000106,E38000170,E38000075,E38000064,E38000105,E38000162,E38000017,E38000123,E38000100,E38000014,E38000207,E38000094,E38000175,E38000137,E38000135,E38000008,E38000206,E38000047,E38000128,E38000126,E38000057,E38000018,E38000073,E38000172,E38000182,E38000039,E38000174,E38000131,E38000165,E38000132,E38000072,E38000071,E38000074,E38000035,E38000025,E38000046,E38000066,E38000081,E38000085,E38000193,E38000215,E38000216,E38000217,E38000218,E38000219,E38000220,E38000221,E38000222,E38000223,E38000224,E38000225,E38000226,E38000227,E38000228,E38000229,E38000230
201701,1377,1989,1775,2426,2653,2500,2337,1990,2009,1689,1033,1259,1181,2072,2866,1203,1790,5317,3061,1536,1865,1493,2299,2093,1870,2495,1748,1793,2047,1734,4478,893,867,1387,8120,5815,1354,1370,2894,2510,4516,1991,2171,5699,1185,4420,4918,2307,2967,2054,1734,2027,1306,988,1612,1994,850,810,2960,5203,1477,1268,2735,1680,1471,1861,1075,1333,1439,911,3716,2216,1380,2706,833,5218,1588,1447,948,1557,1334,759,2429,2777,2637,1933,1436,2033,2619,2472,1664,1483,6230,1396,1295,1716,1073,1047,1561,1004,3139,3201,1772,1153,2607,1338,1357,2188,763,1008,1716,4968,1436,2803,1972,1973,1922,2178,766,1504,4160,2385,1297,2411,4944,540,1654,4670,1532,1022,1501,1773,882,1431,2349,1991,1345,1193,1198,3830,514,2180,1595,2034,3170,1115,1200,1056,1297,8148,903,1324,2138,1677,3290,2407,1107,1779,923,2234,1297,3293,1068,2781,2300,1399,3865,542,3036,2875,1582,2243,1821,1252,1974,822,1083,1854,986,874,1602,2542,1451,1937,1200,4482,2930,2720,2162,1941,409,1886,1838,1938,730,2684,1630,999,2075,1116,1092,1632,934,1532,2475,1214,1633,1913,1339,,,,,,,,,,,,,,,,
201702,1403,1971,1809,2564,2680,2494,2358,1953,1999,1691,1108,1246,1167,2077,2878,1198,1801,5341,3167,1473,1880,1631,2373,2107,2041,2505,1752,1846,2053,1739,4491,890,864,1401,8116,5847,1341,1383,2876,2505,4533,2003,2183,5668,1184,4633,4587,2305,2936,2061,1741,2012,1312,981,1579,1978,848,815,3015,5401,1494,1265,2739,1696,1492,1865,1077,1337,1438,1016,3714,2193,1346,2693,833,5217,1581,1458,961,1554,1484,754,2424,2767,2628,1934,1436,2053,2651,2455,1655,1485,6228,1422,1315,1742,1080,1030,1572,1009,3105,3219,1780,1148,2624,1327,1355,2277,764,1017,1720,4980,1439,2797,1958,1951,1902,2241,756,1493,4139,2386,1310,2407,4925,552,2053,4685,1525,1024,1491,1774,892,1550,2380,1999,1353,1193,1181,3801,507,2153,1760,2131,3170,1119,1206,1050,1308,8176,930,1323,2090,1843,3246,2253,1103,1793,927,2223,1310,3278,1065,2951,2299,1239,3921,540,3077,2870,1573,2373,1808,1246,1983,899,1078,1849,994,1161,1600,2547,1464,1910,1205,4494,2931,2866,2148,1940,418,1884,1902,2063,732,2699,1542,987,2089,1147,1077,1629,956,1581,2494,1205,1644,1926,1481,,,,,,,,,,,,,,,,
201703,1442,2001,1832,2461,2671,2504,2371,1963,1986,1678,1107,1248,1175,2096,2914,1217,1805,5429,3212,1547,1887,1627,2411,2093,2070,2516,1778,1856,2053,1754,4576,888,955,1422,8147,5887,1362,1419,2907,2497,4654,2008,2189,5704,1195,4650,4906,2270,3008,2067,1788,2020,1332,981,1595,1979,839,818,3025,5407,1521,1275,2737,1706,1603,1853,1088,1332,1428,1022,3625,2198,1368,2691,834,5174,1577,1475,959,1593,1487,757,2411,2748,2635,1931,1428,2058,2739,2480,1648,1482,6341,1435,1326,1754,1078,1032,1583,1011,3128,3287,1785,1145,2645,1331,1362,2277,773,1017,1652,4992,1443,2811,1953,1923,1876,2256,770,1496,4188,2402,1346,2389,4937,551,2072,4716,1513,1025,1487,1778,958,1576,2385,1991,1371,1192,1188,3807,508,2265,1781,2237,3180,1129,1205,950,1304,8188,954,1330,2158,1860,3311,2519,1107,1801,911,2268,1314,3286,1056,3054,2322,1387,3975,555,3115,2894,1577,2372,1857,1244,1996,887,1081,1925,1003,1175,1607,2634,1251,1932,1193,4535,2978,2842,2178,1938,419,1871,1905,2057,730,2765,1577,979,2127,1223,1063,1672,949,1470,2487,1219,1688,1941,1486,,,,,,,,,,,,,,,,
201704,1649,2036,1831,3056,2712,2513,2385,1967,2044,1707,1111,1241,1174,2120,2925,1494,1812,5422,3460,1535,1879,1626,2434,2068,2052,2512,1781,1875,2071,1769,4460,,956,1409,8189,5907,1364,1473,2901,2499,4604,1990,2006,5734,1257,4706,4948,2301,2797,2053,1831,2038,1331,986,1409,2002,,820,3052,5248,1527,1281,2763,1720,1606,1982,1096,1361,1511,1085,3711,2197,1372,2706,836,5296,1470,1499,970,1606,1473,764,2573,2783,2728,1996,1437,2162,2746,2374,1673,3781,6490,1432,1315,1762,1121,1032,1988,1082,3111,3290,1794,1155,2708,1328,1261,2270,780,1025,1666,2881,1393,2946,1956,1887,1868,2273,760,1498,4341,2429,1356,2407,5037,554,2127,4676,1537,1035,1491,1774,961,1497,2423,2004,1330,1204,1174,3760,590,2280,1806,2854,3206,1095,1198,1051,1301,8130,971,1373,2144,2005,3342,2539,1104,1762,913,2341,1355,3296,1059,2903,2365,1385,3999,555,3126,3017,1568,2602,1882,1231,2258,888,,2021,1003,1196,1608,2536,1569,1801,1199,4578,3017,2848,2187,1949,470,1878,1820,2110,786,2844,1666,984,2346,1244,1071,1598,947,1595,2617,1210,1678,1965,1517,,,,,,,,,,,,,,,,
201705,1660,2132,1829,3029,2714,2520,2289,1960,1967,1662,1011,1241,1169,2098,2837,1482,1813,5337,3274,1542,1967,1617,2427,2094,2017,2531,1724,1847,2085,1764,4509,,960,1396,8173,5879,1387,1479,2912,2428,4610,2009,1938,5722,1250,4637,4780,2316,2995,2042,1835,2068,1227,978,1393,1930,,815,3052,5393,1517,1271,2602,1735,1494,1979,1087,1361,1458,981,3641,2201,1377,2699,840,5201,1597,1472,957,1602,1492,501,2580,2808,2744,1996,1449,2173,2644,2033,1677,3764,6518,1437,1219,1766,1125,865,1994,1078,3153,3272,1793,1163,2718,1327,1348,2153,767,1031,1654,2887,1455,2752,1971,1906,1858,2242,763,1500,4349,2426,1343,2409,5039,551,2135,4655,1555,1046,1500,1772,939,1606,2409,2011,1313,1206,1197,3861,606,2310,1798,2672,3182,1063,1176,1043,1301,7837,965,1377,2132,2015,3336,2239,1026,1767,929,2330,1354,3124,1070,2967,2370,1394,3636,556,3149,3013,1579,2598,1881,1188,2257,894,,2022,1007,1169,1619,2426,1564,1934,1199,4556,3002,2700,2112,1958,467,1882,1857,1991,787,2647,1654,977,2361,1225,1079,1638,936,1584,2660,1202,1666,2006,1535,,,,,,,,,,,,,,,,
201706,1668,,1814,3041,2709,2626,2371,1979,1956,1709,1085,1243,1197,2165,2943,1500,1815,5487,3447,1502,1893,1623,2467,2083,2078,2578,1795,1845,2080,1778,4686,,983,1401,8057,5831,1418,1475,2972,2530,4620,2036,2230,5739,1261,4724,4798,2321,3007,2071,1828,2089,1342,977,1462,1997,,816,3073,5467,1534,1289,2732,1730,1627,1998,1097,1370,1526,1079,3746,2204,1393,2722,837,5334,1565,1477,955,1602,1499,758,2601,2764,2745,1999,1459,2209,2716,2490,1676,,6586,1460,1352,1773,1122,1097,1994,1097,3118,3300,1809,1172,2748,1344,1345,2274,766,1026,1728,,1455,2948,1982,1888,1865,2314,777,1510,4404,2433,1347,2414,5070,556,2150,4679,1596,1048,1503,1767,949,1615,2408,2026,1383,1204,1191,3887,609,2309,1640,2736,3246,1143,1199,1040,1317,8172,970,1381,2138,2032,3384,2549,1094,1831,926,2337,1346,3333,1088,3108,2361,1393,4041,559,3193,3036,1572,2609,1902,1250,2270,887,,2045,1035,1244,1621,2651,1564,1929,1211,4561,3038,2859,2214,1950,475,1870,1909,2116,796,2884,,988,2362,1258,1079,1618,960,1588,2681,1178,1654,2029,1552,2878.0,3778.0,2950.0,1649.0,2152.0,,,,,,,,,,,
201707,1681,,1839,3033,2730,2652,2384,2001,1944,1729,1082,1251,1197,2170,2956,1498,1812,5551,3476,1542,1899,1626,2493,2065,2091,2600,1713,1844,2093,1809,4722,,978,1410,7987,5810,1423,1498,2993,2539,4609,2051,2273,5754,1275,4812,4884,2321,3011,2078,1831,2105,1350,982,1500,2003,,814,3071,5479,1545,1290,2733,1758,1646,2012,1105,1370,1545,1080,3730,2217,1401,2730,839,5232,1560,1508,955,1596,1489,760,2609,2838,2757,2009,1487,2232,2711,2509,1694,,6634,1449,1351,1775,1127,1075,1999,1103,3125,3292,1822,1165,2770,1333,1329,2264,797,1031,1745,,1474,2955,1980,1900,1867,2337,783,1509,4407,2477,1350,2424,5069,558,2186,4777,1651,1057,1520,1774,944,1664,2398,2035,1380,1197,1196,3886,601,2318,1795,2911,3173,1150,1198,1036,1316,8233,966,1375,2163,2050,3399,2577,1094,1833,948,2338,1345,3340,1105,3101,2379,1257,4045,559,3211,3026,1573,2615,1902,1245,2278,899,,2070,1052,1251,1641,2729,1579,1921,1220,4581,3047,2900,2229,1962,480,1880,1857,2093,804,2874,,949,2376,1264,1082,1647,969,1583,2736,1196,1645,2027,1566,2868.0,3804.0,2945.0,1645.0,2139.0,,,,,,,,,,,
201708,1712,,1839,3035,2727,2660,2425,2013,1962,1724,1100,1250,1213,2182,2979,1518,1809,5540,3507,1575,1877,1560,2499,1998,2022,2623,1728,1834,2094,1823,4769,,983,1414,8092,5943,1431,1487,3008,2500,4606,2035,2275,5766,1284,4831,4671,2320,2975,2089,1832,2099,1340,837,1501,1931,,814,2901,5420,1544,1295,2731,1778,1656,2011,1107,1386,1536,1079,3712,2211,1404,2720,844,5250,1574,1514,967,1591,1489,759,2603,2859,2766,2014,1496,2232,2721,2547,1705,,6630,1421,1362,1688,1131,1078,2037,1102,3150,3344,1838,1176,2792,1349,1327,2258,817,1035,1763,,1480,2953,1982,1914,1872,2358,791,1517,4434,2469,1362,2464,5111,571,2209,4811,1683,1054,1535,1776,936,1686,2427,2024,1395,1197,1192,3867,602,2313,1784,2949,3250,1173,1177,1044,1323,8257,949,1373,2142,2092,3421,2603,1108,1784,958,2383,1340,3343,1073,3125,2372,1370,3997,562,3240,3013,1598,2619,1916,1234,2299,914,,2071,1030,1186,1649,2739,1575,1912,1234,4566,3067,2913,2267,1971,484,1909,1859,2005,804,2894,,947,2374,1240,1071,1620,893,1593,2753,1195,1656,2036,1571,2733.0,3821.0,2941.0,1637.0,2177.0,,,,,,,,,,,
201709,1706,,1847,3028,2760,2687,2495,2058,1959,1720,1094,1222,1201,2176,2993,1522,1824,5569,3524,1601,1879,1617,2513,1881,2102,2646,1750,1826,2095,1815,4742,,1005,1424,8112,5875,1474,1474,3037,2616,4628,2046,2280,5813,1280,4859,4854,2329,2990,2096,1846,2096,1361,975,1509,2003,,811,3091,5533,1541,1314,2748,1781,1671,2014,1113,1385,1550,1079,3783,2207,1404,2712,847,5266,1569,1525,969,1579,1490,767,2611,2855,2778,2003,1504,2236,2730,2561,1703,,6702,1437,1369,1782,1136,1106,2037,1106,3130,3356,1849,1198,2786,1339,1322,2288,825,1028,1776,,1510,2961,1981,1892,1858,2309,782,1521,4442,2477,1369,2477,5111,573,2218,4709,1662,1055,1537,1784,943,1678,2426,2011,1407,1216,1196,3892,611,2326,1678,2964,3184,1165,1202,1046,1342,8323,942,1371,2169,2089,3465,2596,1101,1878,988,2403,1343,3346,1097,3102,2409,1438,4057,565,3264,3028,1616,2611,1925,1270,2319,915,,2056,1066,1253,1634,2759,1582,1906,1248,4565,3091,2897,2250,1973,476,1907,1846,2091,812,2877,,999,2372,1236,1073,1664,963,1606,2788,1205,1653,2045,1578,2896.0,3830.0,2964.0,1635.0,2179.0,,,,,,,,,,,
201710,1710,,1842,3035,2809,2714,2449,2108,1932,1701,1112,1234,1237,2204,3040,1511,1845,5580,3562,1600,1874,1614,2531,2068,2115,2661,1849,1830,2086,1836,4774,,1015,1435,8324,5879,1474,1520,3026,2615,4647,1961,2297,5839,1294,4871,4807,2409,3013,2096,2317,2099,1373,964,1677,2004,,825,3101,5524,1562,1311,2794,1812,1660,2076,1115,1398,1549,1073,3761,2220,1410,2711,847,5203,1555,1515,965,1578,1498,807,2621,2853,2800,2028,1521,2258,2607,2587,1714,,6707,1407,1386,1807,1131,1111,2053,1107,3125,3386,1857,1202,2795,1331,1318,2301,817,1025,1804,,1512,2973,1973,1857,1859,2320,802,1503,4420,2495,1370,2477,5086,573,2215,4785,1694,1039,1539,1762,946,1686,2435,2043,1443,1236,1187,3899,608,2325,1696,2991,3265,1160,1200,1072,1350,8247,956,1372,2169,2092,3521,2584,1103,1882,988,2410,1359,3333,1100,3128,2398,1269,4054,573,3282,3026,1626,2812,1929,1281,2397,947,,2086,1183,1270,1630,2777,1590,1928,1244,4584,3088,2901,2250,1903,475,1916,1861,2117,821,2852,,999,2387,1251,1077,1668,955,1581,2841,1222,1652,2201,1601,2986.0,3817.0,2935.0,1639.0,2189.0,,,,,,,,,,,
