,E38000001,E38000002,E38000004,E38000005,E38000006,E38000007,E38000008,E38000009,E38000010,E38000011,E38000014,E38000015,E38000016,E38000018,E38000019,E38000020,E38000021,E38000023,E38000024,E38000025,E38000026,E38000027,E38000028,E38000029,E38000030,E38000031,E38000034,E38000035,E38000037,E38000038,E38000039,E38000040,E38000042,E38000043,E38000044,E38000045,E38000046,E38000047,E38000048,E38000049,E38000050,E38000051,E38000052,E38000053,E38000054,E38000055,E38000056,E38000057,E38000058,E38000059,E38000062,E38000063,E38000064,E38000066,E38000068,E38000069,E38000070,E38000071,E38000072,E38000073,E38000074,E38000075,E38000076,E38000077,E38000078,E38000079,E38000080,E38000081,E38000082,E38000083,E38000084,E38000085,E38000086,E38000087,E38000088,E38000089,E38000090,E38000091,E38000092,E38000097,E38000098,E38000099,E38000100,E38000101,E38000102,E38000103,E38000104,E38000105,E38000106,E38000107,E38000108,E38000109,E38000113,E38000115,E38000116,E38000117,E38000118,E38000119,E38000120,E38000121,E38000122,E38000124,E38000126,E38000127,E38000128,E38000129,E38000130,E38000132,E38000133,E38000134,E38000135,E38000136,E38000137,E38000138,E38000139,E38000140,E38000141,E38000142,E38000143,E38000144,E38000145,E38000146,E38000147,E38000150,E38000151,E38000152,E38000153,E38000154,E38000156,E38000157,E38000161,E38000162,E38000163,E38000164,E38000165,E38000166,E38000167,E38000168,E38000169,E38000170,E38000171,E38000172,E38000173,E38000174,E38000175,E38000176,E38000177,E38000178,E38000179,E38000180,E38000181,E38000182,E38000183,E38000184,E38000185,E38000186,E38000187,E38000188,E38000189,E38000190,E38000191,E38000192,E38000193,E38000194,E38000195,E38000196,E38000197,E38000198,E38000199,E38000200,E38000201,E38000202,E38000203,E38000204,E38000205,E38000206,E38000208,E38000210,E38000211,E38000212,E38000213,E38000214,E38000215,E38000217,E38000218,E38000219,E38000220,E38000221,E38000222,E38000224,E38000225,E38000226,E38000227,E38000228
01/07/2016,19608,8338,18807,64759,37501,30142,13003,23319,46280,26593,16309,23529,34886,6550,56113,23542,26578,42966,33760,20797,125265,18584,11531,30355,24367,12150,22068,14478,9214,29382,15142,26427,18599,21395,27824,90555,14742,52228,22821,52257,45390,15053,38323,12548,25968,35787,35669,32449,13695,24517,118189,39325,27119,15008,9184,26919,8110,17879,19105,29109,26156,44722,26452,51113,19509,38871,26359,23060,26475,41434,17939,30231,60940,14103,22815,39945,14780,17135,21558,16521,26455,44630,39762,51866,14948,26274,17791,22149,41524,20058,68371,15727,13457,49999,35365,40678,36494,17516,22736,23055,22657,26803,44377,36205,65816,111514,48564,27125,16342,11797,44923,78831,25566,33525,19879,19779,52935,17497,26419,26800,14490,111423,48435,71235,21188,25259,20652,31804,23976,16507,20335,36235,33038,36985,13292,28560,30182,27416,74871,19122,17883,30164,13887,44204,47066,51133,54189,18899,18029,17595,6252,20950,17090,14438,13468,13406,36379,45254,11576,48423,29550,22109,22518,25991,24391,24499,39748,106606,55580,17723,18513,15041,28259,28476,45890,44230,36938,21986,10966,87000,98589,40206,49655,51083,23034,27946,14584,44558,100575,39171,128881,32360,22627,43754
01/08/2016,19104,9100,19786,64562,35663,30169,13045,23331,54223,28080,15345,24035,36991,7425,57543,24698,26228,43852,35004,20545,122623,20903,15117,31091,27967,13741,21899,16715,9328,31016,14945,27353,18923,22851,29444,94034,15678,52389,21981,57402,48349,15887,38326,13208,25490,37387,40079,34648,12725,27061,113960,37356,26878,15052,9274,26669,7245,18783,18517,32784,24895,42910,27165,47400,20650,39771,24045,25892,26593,41031,16105,31726,66257,13506,25616,41668,17829,16862,20760,18432,25220,47001,39490,52651,16090,27097,18774,24839,46147,23008,65845,17282,14619,50205,33986,44442,41202,16951,21820,20756,22245,25964,45622,37900,61201,112927,49536,25167,15406,11697,52956,83336,27856,38592,14326,18294,54180,19075,29311,26290,13122,110916,49106,70505,21250,25029,22129,31386,25330,16120,19404,39739,30949,36504,15985,28130,24204,28377,75135,20333,16782,34250,16462,50247,48428,49906,56860,16877,17183,16669,6313,20813,19683,13894,14003,12916,43112,47219,10967,46748,29660,22077,24871,27978,25817,23466,43217,93228,59053,16990,21233,16644,29426,30567,44415,44462,37197,21126,9163,87906,100023,37762,52776,56487,21475,26324,13792,43875,105502,41237,125061,33306,23182,45576
01/09/2016,20056,8500,19990,64248,40240,29115,13803,26077,52742,26467,17453,25630,36150,7224,53301,23642,26581,42394,34716,21787,126552,19137,12642,31184,24349,13820,21191,16066,9315,29485,15975,26894,17970,22783,30473,92408,15673,55369,24001,58777,47493,16916,39847,12422,24866,34339,37745,34073,14513,26330,116897,40507,30673,15094,10152,27564,7986,18729,19107,38222,27633,48386,26565,51700,20908,41209,27198,24812,27942,37066,17682,32612,68231,14454,23145,44199,18842,16944,20709,20430,24059,46283,40917,53260,17011,26247,19576,23168,47687,22757,70868,16795,13365,49594,40578,43623,42444,17883,22387,21304,23659,28827,47348,38637,59084,113293,53065,26848,16470,13070,48937,85925,28635,33230,15402,19652,54058,18005,29344,25165,16835,105224,52070,69557,19005,22821,23539,30501,27670,17745,20388,40361,30532,37886,15137,29628,26663,29738,73847,22658,17829,31151,17420,52466,48687,49038,53140,17715,16879,17057,7074,20416,17208,14897,11658,12428,41209,47036,11328,52751,30083,22303,22794,27058,23442,24537,47939,96392,62142,17953,22479,15593,28864,29237,51466,45939,42026,20081,10023,94245,101486,38731,55761,56178,25416,28634,13453,42766,106529,39251,132769,34297,23018,47543
01/10/2016,21242,9040,23001,69742,34533,30145,13301,22782,53044,28755,15547,23773,35938,6983,58538,20972,26690,40467,33620,20819,125672,18229,14359,31114,26657,14292,20757,16334,11242,32662,14176,27953,13154,21679,28896,98435,13862,51770,22962,56749,46613,17516,39781,13369,25246,36466,37536,34728,13888,29917,124218,37508,30194,16064,10220,23297,7989,17495,20694,32281,24666,45079,33206,50308,20289,41541,25271,24152,27443,45726,17646,31012,63708,14219,25617,41728,16606,15841,21395,21235,27513,42279,38603,51134,16847,26567,19022,21695,41064,21064,67885,15566,14315,51017,35370,41238,38011,17041,23235,21831,23108,26993,47005,37474,60591,108928,52160,26458,15491,11991,48166,86391,26573,34028,18006,21699,50794,18318,28169,27191,15257,109109,47953,67699,25661,26013,21482,29178,25378,16477,19628,39545,30912,38205,14114,27172,27397,29360,73253,22040,16740,29265,15126,45450,49025,51237,53830,16199,17615,18397,6629,19744,17104,15403,12416,12176,42152,44643,10197,51094,30548,22963,24856,25619,26384,24205,44727,98114,56005,18494,22742,17192,29482,27903,42518,43902,38538,20727,9627,86394,104796,39124,58170,52415,22028,24188,13079,41139,104613,42266,122991,33504,23342,45501
01/11/2016,22544,8007,20618,66341,39791,32848,12936,24544,56204,27248,16403,26054,37548,7289,61482,25534,28260,40397,35449,22385,120809,20333,14149,33547,28648,14071,22384,18481,9720,34779,16206,29632,19235,23122,31901,93096,16916,54086,23686,58833,47800,17894,41315,12883,26920,37013,35251,34427,16812,31327,131122,39562,29648,15578,10238,29831,9188,19134,20910,35091,28659,47529,35326,50572,23447,42960,26397,26250,29634,45265,15236,33016,63552,13881,27498,43603,18870,17357,24155,22647,26911,42728,41122,50815,19375,29234,17882,25470,47025,22419,69120,17013,13085,49453,37557,45700,40258,15942,22185,21098,23994,28126,47814,38271,61344,115354,51003,29891,15951,12044,50345,91152,29086,32935,19296,20478,56244,20787,30543,25151,15312,110453,52124,72750,22565,27258,23634,30151,25731,15724,20290,42186,31983,36880,14600,27973,30167,31715,80582,21713,17749,31205,17267,47688,49066,51071,58131,19385,16469,15545,7688,21779,18209,15609,13592,13379,42327,49869,11895,54795,30188,23490,27496,26006,25035,26827,44572,108388,59642,17768,24943,17635,30634,29765,49920,46855,40933,21292,10140,93654,102530,40758,57953,51875,23003,29540,13193,47056,109741,41096,135973,34508,23316,49969
01/12/2016,20445,8384,22112,65870,37344,34339,13152,26959,55387,28190,16978,27846,37809,7427,55220,22701,29303,46250,34933,22113,131029,19707,14675,33254,29842,14364,21561,15787,10088,33157,15530,29384,19066,23711,29458,100943,15520,53152,23286,64624,47198,18701,40811,13715,26630,36131,38878,36603,18018,30211,134498,39946,32661,16609,10945,27968,8812,19241,20557,37125,27629,47674,32555,47962,21142,43409,25951,29331,29110,46483,18731,32896,68660,14485,25365,44925,17944,17413,21385,21556,27255,41699,42982,51537,15965,26527,19120,23078,46559,24185,71336,18431,14818,54592,39956,44362,38193,18470,22759,22705,23671,27499,47249,40010,64974,121228,52354,29525,16403,12671,50024,87360,30633,35642,18472,23692,52997,20621,28965,27071,15643,109802,52438,77896,21759,28589,22684,31975,26830,17106,20782,42606,32838,39364,15522,29271,34912,29775,78989,23909,17975,33868,15817,52187,53164,55285,57446,17642,19646,17577,6959,24496,19218,15981,12638,12179,42783,48696,11885,55326,31514,23719,26660,29062,26215,31635,48870,103564,65142,17518,25713,17031,32676,29805,46129,49204,40232,20888,10662,91545,105180,40292,62991,57452,25918,27714,13940,47383,116174,41245,133600,32773,25597,48873
01/01/2017,21402,8710,18894,65133,36317,27913,12615,25685,56795,25520,15904,27399,36807,6770,53795,21605,28719,43452,34720,23402,118138,22347,14324,30547,26320,13212,21572,15554,10828,30902,14586,28148,19087,22853,28426,94830,16787,51007,23863,57580,48031,17900,39807,13296,25045,40172,37498,33644,13686,28574,117318,36181,29175,16175,10177,24433,7449,18444,21056,33293,26040,46143,32695,47650,21568,47401,26260,26832,26912,40935,16699,33397,60417,15518,25095,40177,16254,17069,18886,22780,24794,41270,37079,50750,16746,26065,17038,21153,38895,24689,67797,16948,13448,51213,38191,45676,37467,16649,22654,22740,24152,26556,53397,38092,59686,106832,49491,27404,16092,11493,48291,85628,28142,28353,18408,21476,53027,18661,28557,24977,14459,105072,49015,68739,22791,23362,26006,31781,25427,17614,19531,38254,30149,35761,13314,27472,30180,29471,71872,19599,17118,34652,15592,48132,49093,46997,56870,16046,16875,16485,6873,21359,15805,15174,12187,12932,43105,44345,11614,50105,29125,21212,26173,29753,23912,25716,47171,105613,61927,16337,27682,17045,28998,28321,46572,45786,41532,21909,9034,85155,102025,40861,56792,53733,22104,25585,13063,42148,121412,41226,130885,32290,23443,48511
01/02/2017,17641,7927,19683,60514,35266,27732,12204,22811,52955,24407,14832,22849,33275,6076,49660,21146,26175,38228,30140,21628,110821,19624,12315,31990,27496,13995,20259,14079,8523,31081,14251,26447,16396,21105,27728,92777,15558,47505,23713,55552,42442,17878,38629,13182,25166,33962,32264,32188,13273,24769,107719,32866,27492,13292,10374,25156,7712,16342,18339,29846,23929,42281,31199,46685,20030,40201,22650,24609,25276,36500,15804,28552,55195,13361,22320,38453,16702,16982,19054,22117,24705,39065,35880,45914,17404,23370,15189,18935,41822,22456,59481,15746,12377,43994,33526,39598,34023,17873,21000,19215,21001,23038,43311,35886,57534,109805,48231,26065,13728,10808,47295,75000,25716,32826,15736,20237,52840,18274,23954,21691,13421,95459,44469,65818,20866,23034,23352,27327,22377,15618,17484,37358,28982,34516,13789,23731,25357,27352,69501,18435,16335,29228,13428,44799,44975,48742,48291,13835,16809,15364,6792,21393,15337,14192,11489,11427,37054,43152,9523,46884,29003,20007,23561,27390,23372,23607,41968,92390,53291,13316,26918,14979,28943,27857,42337,42965,37711,17981,9586,82866,94431,36910,53183,49644,22998,24000,11059,39953,105737,36764,122636,31007,21871,43474
01/03/2017,19894,9364,20782,67631,39181,32123,12881,26874,62125,26689,17154,25933,38120,7792,59985,26332,28375,42746,34944,22618,124697,23159,16067,33942,29218,14297,22639,17575,9917,34832,17490,29368,17538,24152,31509,106632,16943,54704,29276,67339,48861,21276,43705,14136,26652,41278,39947,37177,16402,29724,128189,39735,32184,17044,13113,27104,8941,19856,23529,37899,28532,48838,32869,51443,20797,47580,28352,27954,29966,53894,19014,33327,61142,13096,26070,44290,17929,19744,21983,25023,28276,41760,38710,55085,18752,29512,19601,25727,43393,28553,70705,17779,14790,52940,40653,43927,40720,18824,23134,21754,23659,29912,51413,39291,62284,116731,53521,27944,18119,12580,51655,93649,28761,34063,20449,22268,54946,19089,29259,25884,15598,107821,52284,75618,22674,27979,26407,29538,26389,16897,20091,42739,31359,39946,14417,28505,29033,28961,78806,22390,19882,37445,15821,53838,49709,54582,58707,17763,18374,16198,7205,24662,18954,16024,13681,15081,44056,46621,12082,50949,32539,23076,27293,32186,26199,28015,49758,103040,65580,17798,31073,16106,31658,29847,49133,49478,44408,21129,10654,95822,110634,41778,62889,59371,24264,28640,13010,44857,121684,42148,137321,35111,25363,51446
01/04/2017,17759,7877,18504,58146,36717,28769,11946,22734,53572,25785,14282,24975,34763,6539,53800,21866,30447,43360,35682,20915,116990,19723,12981,33357,26903,13416,20830,15236,8537,34284,15039,29083,13979,22670,28714,90322,17694,49923,23929,59617,46043,18761,36856,13178,22722,38136,34452,34858,13572,27087,118983,33751,28749,14985,10498,25209,7150,16398,20588,31376,23271,41175,31035,44522,17842,43715,24775,25356,25180,43993,16731,31261,60220,14535,23898,39346,15558,16920,18111,22019,24077,38657,36193,45090,17332,23977,15545,21753,42753,21162,62335,16666,12021,44633,34592,44740,35755,16851,22667,23291,19378,25424,46149,37637,54422,108900,47220,26716,15227,10378,43423,82922,24250,30873,16443,19652,47714,16925,25989,21613,13670,99209,48895,66875,19502,26520,23857,30983,25006,15524,18036,37015,31206,34240,13122,24645,25649,27615,68394,18624,15721,30954,17901,47083,45889,48939,53053,14998,17380,15235,6500,21223,19907,15098,12203,11963,41617,43552,10987,47299,29024,19284,24967,28785,23479,26579,44987,92957,61152,14083,28914,16267,28412,27359,42369,45464,39409,20997,8879,84225,97651,36953,58249,48753,21847,25530,11807,42669,107837,39508,121273,30327,24514,47755
