,J81021,J82024,K81084,L83647,M92040,H85041,M88012,E85040,J82020,N84036,F84080,P81780,G85081,Y02378,B81037,P88617,F86087,G84628,L83005,C81024,F81085,Y02247,Y02423,M83093,M87601,M89009,C87003,N82054,J82094,H85009,P82633,N82641,N84008,J81068,F84047,G81006,G83039,H82099,E81029,F84096,J82058,M88040,C82005,E85058,N82067,P81149,H82077,M89026,J82099,H82053,G85088,P85021,P83608,Y04263,C81099,F86666,P91025,H85008,P88017,L81035,M88625,M88038,P89012,M86013,N81023,P81115,P81701,E87063,P91020,J82016,K82034,Y02585,M86012,Y02606,M92013,P84652,P86003,G81034,M83036,L83042,F84039,Y02701,J83050,Y03070,A88006,J82027,G85002,F81144,P84072,A88002,P81119,F85014,P81755,G85651,F84009,A89038,F84121,F81122,D81070,M87041,H85090,H85105,E84058,J82006,G84018,G85015,Y00334,Y02568,E85096,H83623,P88004,J82150,P91013,J82134,Y02936,J82146,P81067,K81024,G84015,N85012,A89025,M85715,J82216,J82041,D81007,N82645,N82097,Y01132,F85007,G84002,D81012,F81681,Y03074,F84081,J82046,N81095,F86627,B86035,P87024,N82103,N83055,P81046,M89010,Y01031,N83025,H85111,M92009,P88026,F82680,P81100,J82123,P83007,M88640,H82045,H82069,H85682,F84119,P83008,M88043,L81069,P83004,H81083,P92012,C81073,F84682,G82768,G84011,P81140,Y04264,G85045,J82152,B86103,D83056,G85016,P84024,F81078,K83621,P85010,Y03761,P84650,D81054,P81118,P81018,E81060,H81045,F86657,L82009,G84040,H84619,G85022,M88006,H85007,G81689,H81030,N84615,N84026,Y03051,A82608,L83038,P84038,M92007,P81184,J82622,H84025,J82188,Y02735,C82064,M83050,K82047,P84074,C82046,F83012,P91006,J81027,H82621,Y03402,M85002,G83047,M85797,G85011,L84006,H85095,H85088,H85052,E87034,Y00492,J83037,G82760,N82076,J82136,J82101,F84004,G81077,P81668,J81006,C86018,H83007,G85032,G82820,C88047,G82133,Y00471,F86086,M85009,K82615,G82662,J82069,K81073,E84011,P81196,C88079,G85105,A82025,E85119,E81065,P84034,H85037,J82098,H82083,J82028,Y01291,M88004,H85035,E84030,P81008,M87013,F84720,J82035,Y04537,M82039,M85178,M85047,H83024,G85673,E82018,B82033,P88043,G82097,F84088,N82115,Y02344,D83610,L81016,C82053,L81670,P85017,M91650,Y05389,L85014,G85024,P84616,H84030,E85052,E82014,N82011,F86036,F86022,C82024,C82038,M85149,H82011,P82015,N81028,F86078,L81119,H85100,Y03072,H84020,P92621,A89005,Y03587,F86004,N83060,M82003,C82029,P84043,P84028,F83635,G83016,N84007,J82018,G82152,E85726,Y02893,F84718,K83050,N81093
2015-01-01,56,56,180,42,50,168,56,56,224,28,100,100,56,80,84,105,50,56,100,56,100,21,56,50,28,28,28,168,28,168,42,14,84,120,168,35,168,28,84,84,56,28,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,56,,60,,,112,56,,112,28,100,,28,40,84,84,,56,,112,,,28,100,28,56,,56,156,126,84,,28,,84,42,14,14,84,,,28,,56,70,70,15,728,56,28,56,350,58,84,105,112,63,100,280,28,84,28,112,28,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,56,,60,126,,224,56,,,28,,,28,40,168,105,,56,50,,,,,,28,28,28,56,,84,42,,28,220,84,42,147,14,84,84,56,56,60,,,112,30,,112,,,56,,,84,,210,,,,,,364,328,84,28,28,350,28,50,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,56,,60,42,,,56,,,56,200,,28,40,,84,,56,100,,,,56,50,28,56,56,56,,84,42,,,160,168,28,119,,84,84,56,28,,,,42,15,,56,,84,,,,105,,21,,,,,,56,200,42,,,,,,,30,7,28,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,50,28,56,,,,,,56,,,84,,56,,,,,128,,28,28,56,56,28,126,42,,56,,84,28,203,,,,56,28,50,,70,56,15,,56,,28,,,,126,,126,,,,,,56,100,84,,56,,,,120,,,,,28,40,35,21,84,84,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,56,,84,,56,50,,,,100,,28,,168,63,,56,100,,,,28,,28,28,28,56,28,84,42,,28,120,,42,,14,,,28,28,,,,56,,,56,,21,336,,,105,,189,156,,,,,,100,126,,56,,,,60,,,,,28,,,,,,,28,168,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,56,56,60,84,,,,,,,,,28,40,84,,,112,,,,,56,56,56,53,28,56,28,,42,,28,120,84,70,105,28,,,28,56,,,56,56,28,,56,,35,,,,21,,42,100,,,,,,,42,,28,360,,100,60,,,95,28,,,,,,,,,56,,28,84,56,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,56,224,60,42,,84,,,,,,,,,84,,,,,,,,,,28,28,28,,28,126,,,28,84,84,28,189,14,,84,,56,,,,112,71,,112,,,,,,126,,84,,,56,,,,,,,,,,,,,,,,28,,,,,84,,,168,,,,84,,,60,50,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,60,,,532,,,,,,,84,40,168,,,56,,,,,28,56,,28,28,,28,126,42,,28,,84,,406,14,,,28,56,60,,56,14,,,,,35,,,168,126,,105,,,,,,,100,,,,,,100,120,60,,,,56,,,,,,,,280,,,,28,,28,,,56,28,30,49,60,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,42,,,,,,,,,,,,,,56,100,,,14,56,56,28,28,28,112,,126,42,,28,60,,,28,28,,,,,,,56,56,,,56,,21,56,,,168,,63,,168,28,,,,,,,,350,,,120,,,,,28,,,,,84,,,,,,,14,,28,,,56,,84,70,,,112,84,112,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
