,L81080,B86064,E86004,B83052,C86024,F86034,C88038,F86040,F84015,M92001,F84669,M84621,F86085,P81643,E84074,P82004,K81086,E86015,Y00057,E85007,C87013,M89606,F82021,F81155,Y01126,Y01031,M85149,B82057,B83653,M81067,M85699,P81633,N84012,B83043,G85029,P81140,J82033,N81115,P81109,M85019,E85021,B85055,B84610,F82045,G83039,M85033,M85013,F86655,F82621,F84014,Y02720,Y01090,M85642,P86014,E85040,B83016,B85623,P89008,C88036,J82006,P81750,P86609,K82067,F82013,E87699,K83080,M85153,F84053,P86614,A81019,E82031,F81212,P81763,P85003,F85623,J82630,B83622,F82042,M87019,P91020,Y01117,F85059,C87608,B87016,F86703,P86619,Y02824,B84021,M83007,B84002,L85028,J83020,M91641,G84022,P81008,B86004,P85601,M88040,P81780,F82019,G85055,M85127,G82029,P86003,D82106,E81065,M83010,F84679,M85043,Y03700,P87641,M88633,E85099,D81065,D83079,E81019,F84006,M85749,G85723,L82014,P85013,E82655,F81688,E84699,M82009,B85611,E87762,P81683,M84051,P92015,B85009,G83017,M84627,B85652,E85696,H83010,K83011,M85794,M88041,B85638,N82019,E81021,E81050,F81126,B85606,M85107,M83052,G82087,E85042,K81630,A84026,G82741,M85722,B86638,M85704,Y03432,M87026,K81083,E82081,P81170,B81050,M92031,E82092,F86025,F86707,C81060,E81631,E85120,M85116,P89022,Y01083,M85105,P81687,M88010,F82039,Y03819,P81736,F85039,E84678,N84029,E81047,J84602,B83069,M85123,E81057,F81097,J83609,E81032,Y02626,P91026,G81662,G83007,M82033,G85021,F82034,J81625,F83015,F84729,G82126,N82034,B83070,M83102,P81147,Y03331,D82064,E81025,M83712,E85044,K81085,E84057,P81160,E87026,F86652,Y00090,K83021,F86625,E86036,M85676,A89004,F81641,N81045,E86030,M86621,F86607,E81062,B83062,B81048,Y02462,P85006,M85070,F85615,N82003,M85110,E86020,Y02068,B81068,G82682,Y03034,M87014,A81069,J82146,H85037,B85018,B83629,F84050,B85612,Y03392,G83019,M83632,P83010,F82638,G85041,F81725,F84737,M88036,P92004,M88042,E81023,K82065,P84014,L81069,M82046,C87007,E81037,G84020,C82037,N83601,Y02204,H84615,F84743,M85015,J82082,P89016,C82620,G82634,D83075,P81770,B85614,B83660,F86696,F81724,D81082,F84621,F84657,E85624,P84055,Y02464,P81724,Y02628,B83025,B83661,F84017,J82085,P86012,C81106,C86014,M83016,H83008,D81605,P81707,P81185,G85727,Y02378,M87021,M85701,A81003,Y03610,L85008,M88009,E81063,F85072,P87620,J83060,P89012,M85051,B85645,B87036,C82660,H81004,F81640,B85004,N83035,M87010,P85610,F85003,L85045,F81025,M86002,B83638,C85030,P81022,M85713,E82032,G82197,Y03312,M83631,L81023,Y02704,D81001,M85766,C86623,B82001,B83028,B83642,C83006,F86008,M85037,M88032,Y02428,E84028,F81700,G82148,G85035,P81741,F84083,B87021,M87628,P81196,G83663,J82054,N81625,G85009,E81001,P81201,Y02332,H83622,A87023,P81182,L81119,M85060,M81042,M88630,H82063,H84030,G81026,C83030,M81054,M88612,P82001,N82087,F82660,M85776,M84038,G85102,M85079,P87625,E86018,P81146,N82092,G85703,Y01882,F81186,M83045,H83017,Y02423,C84024,K84007,B84003,B81038,L81074,M85071,E84053,E87663,M83062,E85728,F85060,M83126,Y03361,E86610,M85111,N83015,Y00753,B82022,E83629,C83045,P92014,E85633,B81108,C84658,P82613,G81018,Y00824,D83034,B86024,F83674,E84006,Y00647,F83648,F81707,L84001,L84616,B81066,P81607,L83644,P81726,B82013,B83602,A89020,Y02968,F84010,L85012,L83034,L84067,G85651,E83034,F82665,C82029,Y01866,B82083,C82044,B83628,A85021,C81081,E82020,Y04908,P81020,F82051,D82035,F84681,M85171,J82084,P82013,C82055,M85078,B86001,H81123,F82007,B83659,F84694,K83027,N85027,P81133,K84046,M82043,B84612,J82134,E85006,B81058,A83070,A82035,P87040,K84038,M85124,B81016,B83005,M85177,B85619,J81017,F82004,B81002,E82121,Y01124,E86017,M88637,P81029,D82005,M83625,P85028,Y04938,J82009,C83631,N82655,C87031,D81071,E85052,Y02701,C86006,H85070,E82009,M92607,P85022,Y02521,L82035,F84661,E85718,M92044,G83647,E82641,E86026,K81080,M92026,H81058,H81043,M92029,L84051,M87634,P87668,Y04955,D81084,K81017,M84065,N83635,Y00911,Y02754,C88076,L83072,F85643,F86698,B83007,G84625,J83057,N81084,J81047,J82094,K84082,M87009,F84641,C85026,F84047,M85077,L82045,B85008,B83012,B85640,K81025,M92002,G81047,F85067,L83081,F84717,E85750,F83006,G83651,M87036,M87011,M85010,B87031,D83059,J83001,G85662,H83625,P81737,P84047,K83005,E82115,H82051,K83622,B81072,N82062,Y03418,Y02523,N82110,Y00862,B81617,P81218,P85621,F81114,H82041,A81618,H85022,H82047,L81026,N81066,P81167,F85043,H84062,A81058,H81028,J82174,D83023,K83007,G84016,D83002,K81030,M85048,B85634,E83027,F84080,J82177,E85745,F84091,Y02519,L81066,M81041,J83021,M83693,Y00954,P89014,E85119,F85076,Y03601,M88610,D81081,J82023,Y02117,J81640,P81085,Y03007,P86007,M81047,F86639,M85063,B81055,G82721,E87038,G83021,M83148,M82018,P92033,P84611,K83025,G83635,J82090,M84624,F82025,N81634,M85757,E81020,N82664,M82057,B83071,M87629,N85012,G83628,B83631,P81749,N83055,F85686,M86604,M88031,M83043,M83134,F82038,L85013,Y01952,P92651,M81049,M88645,J82062,B83613,E83044,M83028,A83005,B85023,B81047,M85009,M81006,K84027,J82067,J82155,N82039,B82037,H85092,K81014,E81018,C83614,E82657,M85115,P83017,M87618,G85705,F85675,L81124,M85801,N82099,L83648,N84023,P81081,P84623,C81019,B85014,J82099,Y02477,E81011,E86625,Y00626,L82030,P81176,E81612,N82668,M88014,D83046,M85087,G85724,E87011,C85006,P85612,M85145,A83007,B81004,P87661,C87017,H83053,E84003,M85164,M85756,H84027,F83030,K81021,F81151,M88023,C81034,K83002,A82047,N81123,L82036,N83020,A84005,B81074,E87706,M84019,M88626,E82071,J82122,E82106,H81073,G82647,E82060,E85029
2015-01-01,400,200,200,100,600,200,200,300,100,100,400,200,300,300,100,200,300,50,200,500,2400,200,200,700,500,100,600,200,800,200,50,100,100,1200,100,100,200,400,100,200,200,300,1400,200,200,400,200,100,2200,700,100,400,200,550,200,100,100,600,200,200,100,400,800,200,100,100,900,500,100,2400,200,100,100,100,200,100,200,250,300,200,400,100,100,100,50,400,200,100,100,1800,800,400,1800,300,1200,200,200,100,400,100,100,100,800,100,200,600,50,800,100,100,200,400,200,100,2400,600,650,1100,100,100,600,10,100,100,1000,700,200,400,200,100,2100,100,200,500,300,50,200,500,200,400,100,200,400,200,100,100,600,200,100,200,500,200,100,100,100,100,600,100,1000,100,400,100,400,200,300,200,200,500,100,200,300,200,100,280,100,100,100,300,100,200,100,100,450,200,200,100,200,200,100,1800,200,100,200,200,100,200,200,400,200,50,200,150,60,900,400,200,100,200,800,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,100,,600,,,500,,,400,,100,650,,200,,50,,,1200,,,200,,,500,,900,,,,,1000,,400,,,,,200,500,1200,200,,,100,200,1100,200,,200,400,450,400,,,300,,,600,100,,,,,,300,100,1200,,200,,,,,200,,200,,200,100,400,,,200,,,150,2800,400,,300,,1200,,300,,,100,,200,200,,,700,,1000,200,,,,200,300,,600,750,200,100,,,,,,,200,,100,,,1400,,,700,600,,,500,,1300,,1500,,,,,600,400,,200,,,300,,,200,400,100,2000,,,400,,,,,200,,100,,,,,200,,,,500,100,200,,,150,100,,,,,,,,300,,,100,,,,,,100,,60,600,,,,,600,300,,300,300,200,100,100,100,400,200,100,400,300,500,100,100,100,200,100,100,200,300,100,100,300,100,100,500,100,100,100,400,200,200,100,100,200,100,200,60,100,100,200,200,100,100,100,200,200,200,100,100,200,400,200,600,100,600,100,100,100,100,400,200,100,2000,100,100,100,400,200,100,100,200,100,300,100,100,400,100,100,200,100,100,200,200,200,100,200,100,100,200,200,100,200,200,1200,200,200,150,100,100,200,400,400,300,200,100,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,100,300,600,200,,100,,,800,,100,500,,,200,100,,,,,,200,,,650,,1840,,200,,100,800,,500,,,200,,200,280,2100,200,150,400,400,100,1400,,,,600,400,200,100,,,,200,500,300,,,,,500,200,300,1200,,,500,,,,600,200,900,500,1200,,,,250,450,,100,50,2050,800,400,400,,2400,,,,,400,,150,400,100,200,400,100,1200,,100,,100,200,,,800,450,,300,,400,,100,300,,100,,1700,200,,2100,,,1100,100,50,,500,,400,,900,,,,200,600,,,,,,,400,,100,550,100,1000,,,100,,,,100,300,,,,,,100,,,,200,600,,,100,,600,100,200,,400,,,1800,,100,,,,,,400,,,,,530,1800,,,300,,1800,200,,,,,,200,,100,,,,200,,,100,,100,,,100,,,100,,100,,300,100,,,,,,,,,,200,,,200,,100,200,,400,,,300,,,400,,,600,,,,,,,,200,400,,,100,100,1100,,,,,,600,100,,100,,100,200,,100,,,,,100,150,500,,500,,500,,1200,300,200,,,200,,,,,100,,,200,100,200,100,150,200,350,400,100,150,100,100,100,200,200,100,100,200,200,50,200,600,200,100,100,100,100,100,200,200,100,100,100,400,2000,200,100,100,1000,100,100,400,100,100,200,200,560,100,100,100,200,100,400,100,400,100,100,100,400,200,200,100,100,100,100,100,200,100,200,200,100,100,100,100,100,100,200,50,200,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,200,,100,600,400,,1000,,,1700,,200,400,,400,200,150,,,1200,200,,100,,,1150,,4600,,,,,800,100,100,,,,,200,600,1000,,,,,,400,100,,100,1000,1750,400,,,,,,400,,,100,,,200,100,200,,,200,,,,,1900,100,200,600,200,,,,100,1150,,500,100,1600,400,200,1400,,2400,,,,,100,,150,,50,400,400,450,1300,,100,,100,200,500,,300,390,,,,200,,100,400,1000,400,200,200,500,100,800,,,800,200,50,,300,,1600,200,900,,,,,,400,,,,,,,,,1300,,1000,300,,200,200,,,,200,,300,800,100,,,100,,,,200,,,,200,50,,,500,,,,100,,,,,100,,,,,,,50,60,1300,,,,,800,,200,,,,,,,100,,200,,,,,200,,100,,,300,100,,200,,,,200,,,,,,,,,,100,,,,,,100,400,,,,,300,,,,400,,,,400,,,,200,200,700,,,,,,800,,,100,,,100,,100,100,100,,,300,,200,,,,100,100,400,200,,,,,1200,,200,,100,,,,,200,600,,,,,,,,,500,,,,,,,100,,,,,,100,,,,,100,,,,,,,,,,1000,,,,100,100,,,,,100,200,,,,,,,,,,,,,,,,,,100,,100,,,,,,,100,,,,,,,,,200,100,200,100,200,100,200,200,200,200,100,100,200,200,600,100,300,200,200,600,100,400,280,96,100,100,200,100,200,300,200,600,200,100,200,200,400,300,200,200,100,1800,200,200,100,200,200,500,100,200,200,100,200,200,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,200,100,,600,100,,300,,,600,,500,500,100,200,300,300,,,1200,,,700,500,,1100,,3100,,,,,800,,300,,,,,,900,800,,400,,100,100,1000,300,,,1000,1950,,,,,,,300,,,,,,600,200,600,1200,,200,,,,,2000,,100,,,,,,50,1050,,300,50,1700,400,200,1900,,2400,,400,,400,300,,,400,100,,200,200,300,200,,,400,200,500,,100,600,200,100,200,400,,,100,,600,,200,200,,200,,,500,,,,400,,1300,,400,,,,100,,200,,,,,,,,,900,,1000,,,100,,,,,,,,1800,100,,,200,100,,100,200,,,,,100,200,200,200,,100,,200,,,,,300,,,,,,100,,310,600,,,100,,200,,1000,,,200,,,,200,200,400,,,,,100,,100,,100,100,,200,200,100,,,,,,,,,,,,,,,,,200,,,200,,,100,,,,,,400,,100,100,,,,,,,200,,,,200,100,200,,,,,,200,,,700,,,100,400,200,,,,,,,500,,,,,200,1200,,200,250,100,,,,,,,,,,,,,200,200,300,,,100,,,,,,,,,,300,,,,,200,,,,,200,,,,,1000,,,100,400,,,,,,,,,,,,,300,,,400,,100,,,,,,100,,,100,,,,200,,,,,,,,,,,,,,,,,,100,200,,,,,,,,,,200,200,,,,,,200,,,,,100,,,100,100,,,200,300,100,100,100,,,,,,,500,,,,,,,,,200,200,200,200,100,400,100,280,100,100,100,200,100,200,100,300,200,200,400,100,400,200,200,100,400,300,400,100,100,100,100,300,200,100,14,100,100,100,300,100,200,400,100,100,200,200,300,400,200,200,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,200,,,600,100,,,,,300,,100,650,100,,100,300,,,1200,,,200,300,,200,,1700,,,100,,400,,400,,,,,200,100,1600,200,300,400,300,100,500,200,,,100,950,,200,,,,400,200,100,,,,,200,,100,1200,,,300,,,,4600,,150,,,,100,100,,300,,200,,4100,400,200,1200,,2400,,200,,400,100,,100,600,,200,1200,650,400,,,,,200,,,200,550,,400,,400,,,,,,,400,100,200,100,100,,800,,50,,400,,800,,800,,280,,,,200,,,,,200,,,300,850,,1000,,,100,,,,,100,,,1800,600,,,,,,,600,,,,,480,200,,,,200,,,,100,,,,,,,,200,,,180,400,,,100,,400,,700,200,50,,,,100,100,,100,,,,,400,,100,,,200,100,,,,,,,400,,,,,,,,,,,,100,200,,100,,100,,,,100,,,100,400,,,,1200,,,,600,200,200,,,,,200,600,200,,100,,,200,,,,,,,100,100,,,,,100,,500,,,,,,2400,400,200,,,200,,400,,200,,200,,,,,,,,,,,50,,,,500,,,,,,,,,,,100,,,600,,100,,,,,2000,,,,200,,,,100,,,,,200,,,,,,,,,,,,,,,,,,,200,,,200,,,100,,,,,100,,,500,,,,,100,,,,,,,,,,200,100,,100,,,,,,,200,,,,,200,,,,,,100,400,100,,,,,,,,,,,,,,100,,,100,,,,,,,,,,,,,,,,,200,,1000,600,,200,,,,400,,,,,,,,,,,,,,100,,,,,,,,,,,,,400,200,100,7,200,100,100,100,280,200,200,100,200,400,100,400,200,200,200,100,200,300,200,200,200,200,100,100,100,100,300,150,300,100,200,200,100,200,400,100,100,400,300,300,400,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,600,100,,100,500,,500,,,300,,,,500,,,1200,300,,200,1000,,700,,2000,,50,,,,,100,,,,,,700,2000,200,150,400,200,,500,,,,600,1300,,,,,,,100,100,200,,,,100,,,1200,,,,,400,,500,250,100,,,,100,,,100,,200,,500,400,200,600,,1200,,200,,400,,,100,400,100,200,400,130,700,,100,,200,200,100,,400,450,400,200,,400,210,100,,600,300,200,,,,310,,,700,,300,,100,,200,100,400,,,,,,200,,,,,,,,200,100,,1000,,,100,,,,,,,,1400,,,,400,,,,100,,,,,300,,600,200,,100,,,,100,,,200,,,,,,,,100,300,,,,100,400,,200,200,300,,,100,,100,,,,100,,,,,140,,,,100,,200,400,100,,800,400,,,,,100,,,,,100,,,200,,,,,,,,,200,,,,,600,100,800,,,,,200,,,2000,,,100,500,,,,,,200,100,,500,,,,,100,,,,,200,,100,,,,,,1200,,200,,100,100,,,,,100,,,,,,,,400,500,,,50,200,100,,,200,,,,,700,,,,100,200,,,,,,,100,200,,2000,,,,900,,,,,,300,100,,,,,,,,,,,,,,,,,,,,,200,,,200,,,,,,,,50,,,,,,,100,,,200,,,,,,,,,100,,,,,,400,,144,,,,,,200,,,,,,,800,,,,,,,,,,,,,,,100,,,,,,,600,,,,200,,,,100,,400,,,,,,200,100,,,,,,,400,,,100,,,,,,,,,100,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,100,200,200,300,200,200,400,400,100,500,100,100,200,200,200,100,600,200,100,200,200,200,200,200,100,100,200,100,300,200,500,200,100,100,200,400,200,100,200,3200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,100,600,100,,400,,,300,,,800,,,300,50,,,,,,100,100,100,,,3400,,,100,,,,,,,,,,100,500,50,100,,,300,,,,,600,700,,,,,,200,100,,200,100,,,,500,,1200,,,100,,,,2000,150,200,,,,,,,100,,,,1400,400,,200,,,200,,,400,,,50,400,,200,100,,200,,,,,200,,,100,100,,100,,400,,,100,,,200,200,400,,1000,,,300,100,,,100,,1000,400,500,,,,,,,,,,,200,,,,,,1000,,,,,,,,,,,600,,,,,,,,,,100,,,30,,200,,,,,,,,,200,,,,,,,500,50,160,400,,,300,100,400,,1800,400,350,,,100,,,,,200,,,,100,,,,,100,,,200,,,,,,,,,,,,,,200,,,,,,100,,100,,,,300,,,500,,,,100,,,,,300,200,100,,,,,400,300,,,,,100,300,100,,,,,,,,,,,,,100,100,,,,,,1200,,200,,,,,400,,200,200,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,600,,,,,,,,,100,,100,,,,400,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,100,,,,,,,,,,,,,200,,,,,,,,,400,,,800,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100,,,,,,,800,,,,,,,,,,,,100,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,100,,,,200,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,200,100,100,100,400,400,200,200,200,200,200,200,200,200,200,100,200,100,100,100,200,200,100,200,200,100,200,100,100,200,200,200,200,400,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,1200,100,,400,100,200,800,,200,100,100,,300,600,,,,100,,300,,,700,,1400,,,100,,400,,100,,,,,200,200,1000,,,400,,100,200,100,,,,1200,,,,,,,400,,,200,,,,400,100,1200,,100,100,,,,,,350,,,,100,,,100,,,,2100,800,200,1200,,,,,,800,200,100,250,,,200,500,330,200,,,,,200,,,500,270,,100,,400,10,,,200,400,,200,200,100,300,,,200,600,50,,500,200,400,,400,,,,,,200,,600,,,,,,,200,,,,400,,,,,,,,100,1200,,,,,,,,,,,,,250,,,,,,,,,,,1200,,,,,,,,,100,300,,,,,800,,1000,,100,,,100,,100,,,,,,,100,,300,,,,,,100,200,,,200,,,,,,,,,,,,,,,100,,,100,,,,100,,,,400,,,,,200,,,,,300,,,100,100,200,800,,,,,100,300,100,,100,,,,,,,,,,,,400,,,,,,1200,,200,150,100,300,,,,,100,,,,,,,,200,300,,,50,,,,100,,,,,,200,,,,,,,,,,100,,,,,,,800,,400,,,,,,,,,200,,,,100,,,,,200,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,,200,,,,,,,,,,,100,400,200,,,100,,,,,,,,,400,,400,,,,,,,,,,,400,,,,,,100,,,,,800,,,,,,,,,,,,,,,,,,100,,,,,,,,100,,,,,,,,,,,,,,,,100,,,200,,,,,,,,,,,100,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,400,,,100,,,200,,,,,,,,,,,200,,,100,,,,,,,,,,,,,,,,,,,,,200,,,,,,,200,,,,,,,,,,,,,,,,,,,,200,200,800,100,200,400,100,100,200,200,200,200,200,100,200,200,200,200,200,100,200,200,100,100,100,500,100,300,60,200,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,100,600,300,,100,,,600,,,500,200,,300,400,,,,100,,,,,400,,900,,,,,,,,,,,,200,900,1200,,,,,,100,,,100,,1300,,100,,,,200,300,,,,,,,400,200,1200,,,100,,200,,1400,,,,,200,,,,300,,,,1700,400,,600,,,,,,400,250,,50,400,,,500,200,,,,,,200,100,,200,150,200,,,400,,,,400,600,,500,200,,,,,1000,200,250,,400,,200,100,500,,,300,,,200,,,,,,,,,,,1000,,,,200,,,,100,,,600,,,,,,,,100,,,,,530,100,400,,,,,100,,,,600,100,,,,,100,100,100,160,100,,,,,1000,,600,,150,200,,,,,,,,,,,,,,,,200,,,,100,,,200,700,,,,,100,,,100,200,,,100,,,,,,,,,200,100,,,,,,,200,,,,300,,100,,,,,,680,,,,,,200,,,500,,100,,,,,,,,100,,700,,,,,,1200,,,,,,,400,400,,100,,,,,,,,,100,,,150,,,,100,,,,,,300,,,,,,,,,,200,,,100,,,100,,,600,100,,,100,,,,,,,,,,,,,,,,,,,,100,,,50,,,,,,,,,,,,,,,,,,,,,200,500,,,,100,100,,,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,100,200,,,,,,,,,100,,,200,,100,,100,,,,,,,,,,,,,,,,,,,,,200,,,100,,100,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,200,,,,,,,,,,,600,100,900,,,,100,200,100,100,200,300,100,100,100,100,200,100,100,100,300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
