,F81027,G85086,G85052,F85007,G84027,Y02928,H83053,D82099,B86016,F81104,G83028,G85137,G85085,G82681,P86007,H83010,G82024,F86644,G85112,D82024,H85047,Y06221
2015-01-01,84,30,,,,,,,,,,,,,,,,,,,,
2015-02-01,90,,90,,,,,,,,,,,,,,,,,,,
2015-03-01,90,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,90,20,,,,,,,,,,,,,,,,,,
2015-05-01,,60,,,20,,,,,,,,,,,,,,,,,
2015-06-01,90,,,,,30,,,,,,,,,,,,,,,,
2015-07-01,,,,,,,20,,,,,,,,,,,,,,,
2015-09-01,84,,,,,,,56,,,,,,,,,,,,,,
2015-12-01,90,,,,,,,56,,,,,,,,,,,,,,
2016-04-01,,,,,,,,,1400,,,,,,,,,,,,,
2016-08-01,,,,,,,,56,,,,,,,,,,,,,,
2016-12-01,,,,,,,,168,,,,,,,,,,,,,,
2017-02-01,,,,,,,,56,,,,,,,,,,,,,,
2017-03-01,,,,,,,,56,,,,,,,,,,,,,,
2017-04-01,,,,,,,,112,,,,,,,,,,,,,,
2017-05-01,,,,,,,,112,,,,,,,,,,,,,,
2017-08-01,,,,,,,,112,,30,,,,,,,,,,,,
2017-09-01,,,,,,,,,,,28,,,,,,,,,,,
2017-10-01,,,,,,,,112,,,,,,,,,,,,,,
2017-11-01,,,,,,,,112,,,84,,,,,,,,,,,
2018-02-01,,,,,,,,336,,,84,,,,,,,,,,,
2018-04-01,,,,,,,,112,,,,,,,,,,,,,,
2018-05-01,420,,,,,,,,,,,70,,,,,,,,,,
2018-09-01,,,,,,,20,,,,,,60,,,,,,,,,
2018-11-01,,,,,,,,,,,,,,60,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,50,,,,,,,
2019-02-01,,,,,,,,,,,,,,,100,100,60,,,,,
2019-03-01,,,,,,,,,,,,,,30,50,,,,,,,
2019-05-01,,,,,,,,,,,,,,30,20,,,,,,,
2019-07-01,,,,,,,,,,,,,,,,,,20,140,120,,
2019-10-01,,,,,,,,,,,,,,30,,,,,,,20,
2019-11-01,,,,,,,,,,,,,,,,,,,140,,,60
