,B85611,G82667,H85087,P81032,M81046,P86016,F81023,A82049,C84016,D83057,L82012,K82025,A81047,H84002,G85004,L82019,E82043,C87005,G81613,L84049,B86065,G82044,G81036,N85001,N83009,E83049,K82067,H81103,K83051,N84001,K82033,M92027,B83006,G81026,J82116,D81021,M83015,C84024,C83073,G82041,H85035,G82135,B83021,B84618,Y00912,E83651,C85623,E85048,Y00587,B82032,F82010,N83611,J82113,E81046,L84075,P81088,M84001,J82129,E83042,P82002,F84096,F84706,H81068,E82009,G81070,N82079,B83055,K81055,H82640,D81002,J82218,F85065,J82079,N82113,C81037,B81119,D82008,D83016,D82104,C81013,H82051,M85693,F86020,C84080,P82018,L81065,L83095,A81053,E84653,D81007,Y01652,L83083,J81083,H81025,H84049,F82014,M81040,J82028,Y04031,N82108,L83097,B85033,B86044,F81030,L81046,J81043,H85662,L81052,A82027,G85642,K81043,P81212,H85001,K82079,Y02499,M81084,P81017,M85111,G81038,F81017,H81064,C84009,M89030,J82023,E82099,P81123,C81030,H82041,B86012,C84005,K81047,H82048,G81034,E82102,N85025,L84085,J81626,Y03661,M81073,J81081,B82105,G82118,B84003,A82008,J82098,B84019,H82094,J81034,N82087,H85056,C84020,J84014,C85030,F81721,Y02591,B84013,C84112,G85031,J82669,P81057,M82010,F81105,K82048,H82058,P81042,B81026,P92014,G82711,D82048,C88028,M83692,L81072,M86026,J82152,J82130,M91014,M83009,H82043,G82069,L84007,P81100,M82016,C88049,E82060,G81638,K82032,L83057,M84032,G85039,K84046,M81038,J81053,H82095,G85085,L84054,G82888,J82099,J82127,M89005,L83054,E82032,K84034,F85688,B81677,N83610,M83097,P86006,N85620,B82033,P86003,H81032,M81621,A83001,H81080,M81045,J81049,C88088,D83017,H81071,F81012,A83043,C82022,E82091,M87007,G83647,E82023,C84036,D83035,G83047,P87613,K83043,A83034,Y03049,J81082,K84024,D83070,J82146,D82005,L83088,J84016,E84003,N83049,Y01127,M81047,J82147,K81083,J83064,G83009,P84046,G81102,E85693,J82201,G81040,P84027,F81080,B81003,M81042,C86037,Y03770,E85008,B85016,E82022,E82051,P82034,M86627,M81033,A89022,M81003,Y01922,M85127,F86638,M82020,M89017,L81026,H81062,A83005,J82034,M89028,Y04338,C88647,C82657,M82051,M86023,E84645,P81022,G82700,M82026,M81091,H82056,Y03965,D81051,F84742,L82054,C81064,M84026,J82007,E84009,H82052,F85061,K83028,H82084,M84036,K82046,P81051,B82007,M81015,C83023,M83062,C84682,A89002,G82215,F81149,M81049,B84004,Y03947,P81058,G82185,M81005,N85643,E87756
2015-01-01,2,1,4,10,10,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,,,,,4,10,10,2,10,2,2,1,2,1,2,10,2,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,,,,,,10,,,,,2,,,,,,,,,,10,40,10,10,10,1,5,1,20,10,10,10,1,1,2,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,5,10,10,1,2,10,1,1,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,,,,,10,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,10,10,1,10,10,2,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,,,,,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,10,,,,,1,5,10,10,1,6,2,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,1,10,10,10,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,20,20,10,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,10,10,10,10,10,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
