,F81212,Y04483,B84011,G85703,L83136,B82045,L85035,C86611,C82678,H83620,J82098,B85009,K83059,F81713
2015-02-01,4,20,,,,,,,,,,,,
2015-03-01,,125,,,,,,,,,,,,
2015-04-01,,,1,5,,,,,,,,,,
2015-05-01,1,40,,,,,,,,,,,,
2015-06-01,,,,,2,2,,,,,,,,
2015-07-01,,40,,,,,,,,,,,,
2015-09-01,,,,,,,5,,,,,,,
2015-12-01,,40,,,,,,,,,,,,
2016-04-01,,,,,,,,1,,,,,,
2016-05-01,1,,,,,,,,,,,,,
2016-06-01,,,,,,,,,5,,,,,
2016-09-01,1,,,,,,,,,,,,,
2016-11-01,2,,,,,,,,,,,,,
2016-12-01,2,,,,,,,,,,,,,
2017-01-01,,,,,,,,,,10,,,,
2017-02-01,3,,,,,,,,,,,,,
2017-03-01,4,,,,,,,,,,,,,
2017-04-01,4,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,5,,,
2017-07-01,1,,,,,,,,,,,,,
2017-08-01,2,,,,,,,,,,,,,
2017-09-01,1,,,,,5,,,,,,,,
2017-11-01,,,,,1,,,,,,,,,
2018-01-01,,,,,,,,,,,,5,,
2018-02-01,2,,,,,,,,,,,,,
2018-04-01,,,,,,,,,,,,5,,
2018-06-01,,,,,,,,,,,,,1,
2018-09-01,2,,,,,,,,,,,,,
2018-11-01,1,,,,,,,,,,,,,
2018-12-01,1,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,1
2019-09-01,,,,,,,,,,,,2,,
2019-11-01,1,,,,,,,,,,,,,
