,L85008,J83035,K81616,N81111,M81049,E82074,C87004,A86025,E85045,E87007,L83103,F81215,E85750,P81113,F85688,K84009,F84074,G82665,G81029,P82634,G82139,L82023,L82044,Y02790,C82009,Y03949,C88087,M85087,F84013,L83053,D83011,P83009,G82028,D81050,D81025,J82073
2015-01-01,252,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,,,333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,252,270,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,,,,,,,,,,,,,1,252,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,,,,,
2016-12-01,,,,,,,,,,,,,,,,,84,1,1,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,252,252,,,,,,,,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,
2017-09-01,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,,,,,
2017-10-01,,,,,,,,,,,,,,,,,,,,252,126,,,,,,,,,,,,,,,
2017-11-01,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,
2017-12-01,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,63,84,,,,,,,,,,,,
2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2018-05-01,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,84,,294,,,,,,,,,,
2018-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,84,,,,1,,,,,,,,
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,,,,,,,
2019-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,84,84,63,,
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,
2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
