,E82652,E83010,A85020,H82066,K81022,G82791,K84037,A85008,B83045,F86664,B86050,L83054,P82031,H82072,B85610,E83030,D83023,F81007,E81015,G84015,H83005,F84052,E85108,C84107,N82094,N84020,N82001,J81018,N85041,D82005,C82070,M83064,B81655,B85012,F81018,P88625,H81088,N81088,H82043,K83010,A83023,M83036,B82027,C84019,D83002,A87612,C81054,J82035,A81002,G82686,P84033,Y02597,E85693,C88652,F81048,L83105,B85660,L81049,L83092,P81013,P87002,K81094,D83015,D82001,P84035,M85008,F86635,G83067,P81681,F83039,P88042,H83002,H81028,E81007,N82670,P81212,E87006,P81150,L83078,F81013,B85024,P91019,B82014,H82641,N84014,C83040,N81063,A85005,N84016,L83017,M83082,L83056,F81046,B82026,E87038,C82017,C82644,K84001,D83060,J81069,A87006,E82115,J83021,C86037,Y03661,C85026,G81076,M83046,K81020,C83017,D82057,N82060,P81128,C85033,H81045,H81118,N85008,F85053,C84080,H82096,C83626,E87008,H81089,K82025,P81774,G85036,B86096,C83085,C81660,C88025,E85716,N82090,A82012,G81049,M82006,N82034,A83048,H83019,M85141,A82026,P91004,A89013,D81014,M81046,C85007,C88005,G84032,M87026,P81063,E82109,M84021,B84013,K81085,M83619,E85038,G82024,P81149,E82060,E83638,E85026,Y02897,B82038,F83018,H85016,M83068,L83098,P81017,A86038,H81615,A89002,G81018,A86021,G84023,J82139,C82022,C83031,J82082,A83040,H82078,A89004,D83058,J82066,N82026,C82047,J81028,G82142,M92006,E87609,A89034,E87071,C82036,J82136,N81027,A84009,H81076,L83051,M82039,A81057,N83028,L83006,P81210,K84076,D82003,P84067,L85023,M85031,C83074,G83680,P87026,E87665,B83013,H82006,N83060,H85061,P89006,E85040,K81042,P88623,M87024,E84657,A83618,E82124,J82110,H85092,F81045,F81116,N83033,A81060,C85009,C88028,Y02867,A82037,B82083,L85019,M82016,P91021,N81060,H84040,K82040,E86019,K82055,N81081,G83053,B81030,E86029,L81039,N85012,K81087,A86017,A89007,F82022,F81150,M84020,M84046,B83056,L81071,G85024,M85103,C83023,P81685,H85105,L82051,K83042,A86011,C83634,Y02713,L83096,E86028,C82016,N82106,M83004,N81034,J82133,G82799,N83005,K83002,L85044,F86018,B81645,D82044,M91006,E84080,E83044,N83049,N82066,P83009,A83035,E83021,C84016,L85043,E86006,Y01132,M85003,G84028,P81684,P91029,K84027,D81602,A84033,B83626,H81052,K82023,H82020,F84013,Y02506,B86666,J82210,E84008,E85731,H81055,M85111,J82138,A83018,Y02769,G82682,M88610,D83005,F81144,F81052,F81112,P83019,G82650,H84042,L81106,Y02511,F81071,F81068,G81019,C84009,D82002,E83027,H81080,Y02615,A83013,C81033,J83035,C84648,M88023,H85055,B85008,H85020,E86009,C81011,C88076,Y04977,J82016,F81092,M85028,N84017,F81649,A86004,J83057,B87009,C84035,E82043,H85027,C83059,B86008,M85063,M86002,M85058,Y01108,J81081,F85025,Y03640,E87013,F81024,Y01128,H81062,E85051,A81039,K81030,A83603,Y02974,G82057,F81105,K82073,C88072,Y02352,Y04585,P81064,C83020,C81081,A82028,B81119,C81091,B82050,M83088,Y00612,P81772,Y03049,C88016,A87004,Y05369,K84009,P81208,E85055,G81100,G83006,J81024,M82007,F85035,Y01717,M83110,B86009,E85116,Y01696,A83066,F84123,E82078,P81002,H81044,A81070,G81034,J81045,M88002
2015-02-01,200,84,30,56,28,70,56,56,56,348,168,168,56,112,56,84,540,28,56,56,112,60,28,120,224,56,168,56,200,112,84,56,56,21,160,56,100,84,28,28,56,90,28,84,56,112,112,112,168,168,28,112,108,28,280,56,60,100,56,112,14,600,336,100,112,90,56,112,56,150,112,168,56,70,168,168,200,28,112,84,300,56,120,84,224,56,400,112,224,56,84,112,28,50,28,84,28,252,28,100,44,224,168,56,168,21,56,252,252,56,30,224,112,364,30,56,336,56,56,28,120,60,60,56,60,56,84,84,140,112,336,112,56,84,90,280,240,56,504,56,56,56,252,100,56,93,400,84,294,28,112,28,112,56,248,60,28,224,120,112,60,36,56,462,672,100,112,28,112,56,60,56,100,28,112,180,300,112,252,120,200,56,56,105,84,140,84,116,200,120,100,168,112,168,56,28,168,10,100,56,112,21,112,56,28,112,120,270,56,112,180,168,112,90,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,200,,30,56,28,42,112,,56,12,,168,56,56,,140,,56,,112,,,,,,56,84,224,,112,,70,56,35,320,,100,,35,56,112,,,,,56,,,56,168,84,56,112,56,56,,60,,,,14,,336,100,336,90,,168,56,225,112,112,56,70,56,56,,28,56,28,420,56,60,,112,112,400,84,,,168,112,,50,35,,28,,,,55,280,,28,56,105,56,252,,56,30,,120,308,,,,28,56,28,120,60,120,56,60,112,56,140,140,,336,,56,84,270,560,,,462,56,56,56,420,,56,,400,,126,,112,28,112,56,196,60,56,,240,42,30,44,,210,336,,56,28,,56,,56,,28,56,,,112,28,,,112,168,126,84,420,84,172,,240,100,84,56,,56,28,196,20,100,,84,49,112,56,28,112,180,90,56,,360,336,,,90,450,168,112,180,84,100,14,720,180,200,112,168,112,112,56,504,28,112,448,800,28,56,56,56,60,100,336,146,60,112,60,56,112,336,84,200,56,56,224,100,240,360,100,84,120,252,56,56,28,56,28,112,28,28,180,120,84,252,28,224,112,112,7,280,200,56,120,100,84,28,60,84,168,28,56,28,60,56,100,248,56,100,60,84,100,168,560,240,60,14,56,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,200,,30,56,28,,,,56,30,168,112,,56,,168,540,,,56,224,60,,,224,56,84,56,100,210,,56,56,28,320,56,100,252,28,56,56,,28,168,56,,56,112,56,,,,,28,,56,60,,,,126,,,100,112,270,,112,56,150,112,,,56,56,56,,35,,28,240,70,,,112,56,200,112,,28,,56,28,50,35,,56,,,,44,280,,,114,147,112,504,168,,,,120,,,56,168,,,28,,60,,,,112,56,105,140,,336,,56,,,,60,112,84,56,56,112,420,100,,,400,153,210,,112,28,,,136,232,28,224,120,,,,56,224,336,,,35,,,,56,100,,56,,300,112,84,60,100,112,,147,84,140,84,116,,120,100,,56,168,112,28,70,10,100,168,28,28,112,56,,,,90,70,,180,,,30,,,,112,,84,100,134,180,,200,112,112,112,,,168,,224,56,,,,,,,,84,,60,224,,112,168,,,100,112,56,56,100,,,,,360,,168,,,,56,,70,,,240,,,42,448,112,112,,140,100,56,240,,,,,84,168,28,28,,,128,,56,56,,,,300,,,,,,,,56,924,60,840,100,382,112,14,15,84,56,60,28,28,112,168,112,112,56,56,28,30,56,28,300,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,200,,,112,28,,,,56,96,,56,112,112,56,140,540,56,112,56,,,56,120,,56,,,,224,,56,,21,,,100,84,21,,,,,84,,56,112,,,168,56,,112,28,56,,60,,28,,140,300,168,,,,,172,,150,112,56,56,42,56,56,,28,112,28,180,,60,,,56,200,84,,,,56,28,50,21,,,,,,22,308,,,112,84,56,504,,56,120,,108,140,,,,,112,28,,60,60,56,60,56,,84,175,,336,56,56,,180,280,,56,,,56,56,252,,,,,,168,84,,56,,168,112,,28,,,,,36,112,,,100,168,,,,,56,100,84,56,120,300,,112,60,,56,,42,168,140,84,60,,,100,84,,84,56,35,112,,,56,98,28,56,,112,56,,450,56,,180,168,28,,120,,,56,180,42,,14,,120,,112,,168,112,,,56,112,56,400,56,,56,,,100,,60,60,336,120,56,56,84,,100,56,,,200,120,360,100,168,,248,,,,,,56,28,28,,,168,,84,224,,336,,,,56,120,100,,,,168,,28,,,60,,200,56,,,,,,168,112,260,,,112,,112,,180,,200,127,112,,15,348,,60,28,,56,168,,56,56,,,30,112,,,,28,28,56,672,56,100,84,294,100,28,112,28,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,200,,30,,56,,168,,56,168,,56,56,56,,84,540,28,56,56,,60,28,120,224,,84,56,,112,,56,56,21,160,112,100,84,28,56,,,84,,56,56,56,,112,,28,56,,28,,,60,,,,28,,840,100,,180,112,114,224,150,112,,,84,56,,,28,,28,60,70,120,112,,56,200,28,,56,168,112,28,50,28,,28,,,100,44,308,,56,224,105,,,,56,30,,120,308,90,56,168,56,112,28,120,60,60,56,120,,56,140,140,,336,,56,84,180,,30,112,84,56,,56,420,100,,,400,,210,28,56,28,,56,140,,28,224,,,,36,56,,336,,,56,56,,112,56,,28,56,60,600,56,28,,100,56,56,42,,140,,116,200,120,,168,,,112,21,280,,,,196,7,,,84,280,,90,56,224,,168,,,,,,56,180,42,,,180,60,,336,,56,,112,,56,112,56,400,,56,56,28,60,100,168,30,60,,,56,56,168,,100,168,56,112,100,,,100,84,120,84,112,,56,56,84,,,28,180,120,168,,42,448,,112,,280,200,112,,,,56,240,,,28,28,,60,56,100,,56,200,60,,100,,,280,60,,,,,196,,228,100,166,56,,15,84,,,28,28,56,84,,56,56,,,30,,,,,112,,,168,,100,84,,100,,112,,,600,120,28,5,60,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,200,,,112,,,,,84,,,168,,56,,280,270,28,56,56,,,77,,,,84,56,200,112,,84,112,56,160,56,100,,35,56,112,,28,168,,112,112,112,,,28,112,112,56,,,60,,,,98,300,168,200,,90,,142,56,200,,,,56,56,112,,35,168,28,60,112,60,112,,,,196,,,168,,28,50,42,,56,,,,66,252,,56,112,84,,,,56,30,,120,420,30,,84,84,56,28,240,60,60,56,60,56,28,217,175,,336,56,,84,180,840,90,,168,168,,56,420,,,112,322,,210,28,,28,,56,112,,28,,360,,,64,56,,672,,56,21,,112,,56,100,,,60,,112,84,180,100,56,112,168,84,140,84,56,,120,300,,,84,56,35,378,,,168,84,35,,,,,,270,42,,360,168,56,30,72,,,56,90,42,200,14,236,,,112,168,112,112,,336,28,112,112,,28,56,56,56,,,,,120,112,60,56,,,,,,,,,,360,,168,120,,112,,28,,56,,56,84,,,168,,100,224,120,112,,280,100,56,120,100,168,,60,168,168,56,56,,60,56,100,56,112,,,,300,,112,140,60,,,224,,,,228,,140,56,,,84,,,,,112,,28,56,,,28,30,,28,,,56,,,,112,,,434,,,,84,,240,,56,14,60,,280,28,28,300,56,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,60,56,140,,,,,84,224,,56,56,,140,270,28,56,56,112,60,28,,224,56,84,112,,224,,56,56,,160,56,200,168,28,28,112,,28,84,56,56,56,,224,168,56,56,56,28,,,60,,,,28,150,,100,224,,56,228,,134,,112,,56,56,56,,28,,56,420,56,60,,,56,200,196,,56,,,,50,28,,28,,28,,88,252,168,28,56,44,56,,,168,30,,116,308,30,,168,28,56,,240,60,,56,,56,28,140,,,336,,56,168,90,280,60,112,420,,,,252,,,,280,,84,28,112,,,56,112,60,28,224,120,,,64,,,336,,,,56,,,56,,28,112,,600,56,28,,100,,168,84,168,140,84,60,,,100,84,,,56,35,70,10,300,56,98,28,,56,28,280,,90,84,112,180,,28,30,,,56,,,,,14,180,120,200,112,56,,,,168,28,112,112,,140,,56,28,60,,252,60,,,,56,56,252,,100,56,56,,100,,,100,84,260,84,56,56,,56,28,,28,,,120,,1120,70,,112,224,,112,200,,120,,,,,84,168,28,28,,,,,112,,200,,,100,,224,140,,,,,,,,252,,70,,,,84,,,28,,,252,84,56,56,,,,,28,,,28,,,168,,100,,392,,,112,,,120,120,56,14,300,560,112,,28,,,,112,84,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,30,112,126,,,,,84,,,168,112,,140,,56,56,,,60,,,224,,,56,200,,,70,112,56,160,56,,,,28,,,28,84,,98,56,,,168,28,56,56,28,,,60,100,,,56,,420,100,112,208,,112,,,224,112,,70,56,112,,28,168,28,420,56,120,140,,,200,168,,,168,112,,100,28,,28,,28,,44,196,,28,224,86,56,252,,,30,,120,532,,56,,28,56,28,,60,120,56,60,56,28,84,280,,336,168,112,,90,840,,56,,56,,56,336,100,,56,280,,42,28,56,,,,140,,28,,,,,28,56,,504,,112,14,56,56,,56,200,,56,60,,56,,,300,56,56,84,84,280,,60,,360,,,,168,56,28,56,,100,56,112,28,,,28,,,270,56,,360,336,56,60,120,,,56,180,,,,180,60,400,112,56,56,,,336,28,224,56,,28,224,56,28,60,100,,116,60,,60,56,,84,,,56,,,100,,360,100,,140,84,,,28,,28,,28,56,60,120,84,252,64,,336,,,112,100,56,120,100,504,56,60,84,,28,28,,60,,100,56,168,100,60,84,100,,112,,60,,112,,,588,120,,100,42,56,,30,93,28,,280,,56,84,,56,56,,28,,,,,,28,,,,,,84,,,,,56,56,120,,56,28,60,,56,168,,300,28,60,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,30,56,140,,56,,,252,168,,56,112,,212,270,,,,112,,30,,,,,56,,224,,56,112,49,320,56,200,168,70,28,56,,,,56,56,,,,168,28,56,56,,,112,60,,,,98,450,840,100,224,118,56,200,,,,56,,70,56,56,,28,56,28,480,56,120,56,224,112,600,,,56,,56,28,50,35,,,,,100,33,392,336,28,112,27,,504,,,30,,112,224,,,84,84,56,56,,60,120,,120,56,28,105,175,448,336,56,,336,90,,30,56,504,112,,56,504,100,,56,560,,84,,56,56,,,112,120,28,224,120,,,36,,,,,,28,,,56,,100,,56,,900,,448,120,100,112,56,84,168,140,84,60,,,200,168,,84,56,35,154,,100,,98,14,,56,56,196,,360,70,,,,,30,,,,112,180,168,100,14,360,60,,112,56,,112,56,168,28,,56,400,56,112,56,,60,100,,,60,336,,56,,84,,100,56,,56,100,,,100,84,,84,56,56,,,28,,28,56,240,,84,,64,,120,112,,112,100,112,120,100,84,,60,,168,28,28,,,,,56,56,,,,,,224,,,20,,112,,,,,,56,112,,,,,,,,112,168,,,56,,28,,,,,,,28,,,,,,350,100,,,112,,,,28,,60,,56,,,,84,,,,,,30,112,4,112,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,600,,60,,154,,,,,168,,280,56,56,,140,270,28,,112,,,42,,224,,336,,100,112,,56,,35,160,,100,84,28,56,112,,28,252,,28,56,,,,28,,,28,112,112,60,100,,,56,150,168,100,,56,,170,56,,112,,,42,112,,,35,,56,240,70,60,,224,,,,,28,,,28,50,35,,56,,,,22,252,,56,56,46,112,252,,,30,,136,84,,56,84,28,56,28,,160,60,56,120,,28,77,140,,336,112,56,,90,,,56,84,56,,56,420,100,,56,448,,210,,168,28,,84,112,60,28,,240,,,44,,,336,,56,28,,,56,56,100,,,60,300,,,120,100,56,56,105,336,,,120,,120,,84,,84,56,28,182,,,,98,21,,56,56,56,60,,56,,,,28,30,,,,56,,,100,14,,60,200,224,56,168,,,,56,112,,400,,56,56,84,,100,84,30,120,224,60,56,,,,100,,56,,,,360,,168,140,,,,56,56,,,,,146,360,,,76,,240,112,,112,100,112,120,,84,28,60,168,,28,,,60,,100,56,,,,,,,112,140,60,,,,112,,,,100,84,112,,15,168,,,28,,112,63,28,56,56,,28,30,,,,,28,,,,,100,,784,,,,28,,120,,28,42,60,,,,,,112,60,56,,,,30,,,112,,56,336,448,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
