,Y00612,C87017,F82019,F83053,E85066,B81048,H85057,L82008,K82013,C84101,E87045,E83622,P84690,F85002
2016-07-01,30,,,,,,,,,,,,,
2017-06-01,,336,,,,,,,,,,,,
2017-07-01,,112,,,,,,,,,,,,
2017-08-01,,112,112,112,,,,,,,,,,
2017-09-01,,,,,224,112,112,,,,,,,
2017-10-01,,,,,,112,,560,,,,,,
2018-03-01,,,,,,448,,112,224,,,,,
2018-05-01,,,,,224,112,,,224,,,,,
2018-08-01,,,,,,224,,112,,112,,,,
2018-09-01,,,,,,,,112,,112,112,200,112,
2018-10-01,,,,,,,,112,,,112,,,
2019-01-01,,,,,,224,,,,,112,200,,
2019-11-01,,,,,,,,,,,112,,,224
2019-12-01,,,,,,112,,,,,112,224,,112
