,A81027,C82067,B84612,D83079,G82085,P86619,P81002,J81021,J82164,J82633,E87681,A82003,C81037,J82212,J82124,B86658,L81108,L83007,L82024,J82058,C88019,P84631,J81044,A82055,F83051,H82640,B82041,B81008,P91013,G85136,Y04995,K84049,H81094,P91032,J82139,C83035,L81060,N85044,Y02838,C87008,F81109,J82196,J82051,J82150,Y02572,N84004,N81047,P88013,F81080,M84008,J82088,N81036,J81634,C83047,E82025,L81118,P81182,F81012,L83067,J82021,P89033,L81094,F86044,N81090,M91616,J81014,L83108,M84034,Y01968,G82114,L83127,J82039,H85066,A82063,F81014,H85006,B81121,Y05166,P81147,H85027,M85172,Y00984,P86005,K81014,H84042,M91654,A88012,K83621,J82015,J82023,M91015,E83658,F81015,L83035,N85002,E85021,B81080,F84111,J82130,L84041,C87608,M81022,K83051,J81005,P81112,N82113,K81045,G82203,J82669,H81047,L83009,E84022,E85025,P88042,J82145,F86627,M86617,E87026,K83029,B83050,J82082,E81016,D82041,P87027,F81070,M89009,M83082,J82113,N81050,J82085,E85007,M85063,Y04957,M81068,Y02589,H81027,Y00155,F86007,M87618,P81713,J83050,G83001,Y02525,E82067,H81103,N81002,F86691,J82066,F85031,G85045,H84017,G82060,D83010,A81009,A81017,E81034,F81116,F82038,P81681,J82143,C83075,P84017,K82064,L85047,N81020,J82216,F81100,E85687,F81215,G82098,P88017,B81007,B86057,K83033,C81110,J82008,Y04711,Y02900,Y05019,E81035,B85054,J82064,Y03077,B84613,C87016,J82141,G85010,B81052,F81084,E82100,G83053,F81036,F84105,M83126,A83013,J83028,P81191,J82188,B82034,E84024,P84024,C84120,N81037,D82040,E81018,F84003,N81064,B81051,B82026,M84061,D82062,A81063,M83608,B85646,Y02495,D83050,F84072,G81084,M86004,M86039,M92654,F81123,B83021,N85032,F81128,N82090,H82034,K82045,B82067,B87021,C86018,H84012,E87735,L81034,B81014,H82099,J82201,P84630,G82658,J81071,D82017,Y01090,L83657,J82622,B81101,L81084,J82019,F86637,E87011,B86064,J82132,M86017,B87019,P84022,J84013,M85077,N83043,D81002,B86068,G83002,M85155,J83016,A87019,J81045,J81018,F84054,Y00411,L83073,H81048,Y03433,F83006,F85675,C88009,E82053,F84735,P87008,J82041,M83052,H82028,B83006,Y00026,M83638,J82138,B86003,M84006,C88034,M81629,G82696,G81054,H82023,B82017,E86014,C88051,G82016,L81098,K82044,Y05861,J84016,N81030,Y01929,H81089,J82074,M81026,A85004,J82210,E81012,A84005,A84031,P81214,J82101,Y04633,J82112
2015-01-01,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,30,14,14,112,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,28,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,56,,,,,2,7,7,60,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,35,,,,,,,,,,,,14,2,2,2,14,4,14,30,14,10,14,81,28,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,14,,,,,224,,,,,,60,,,,,,,,,,,,,,,84,,,14,10,5,30,15,4,20,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,28,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,2,7,60,2,2,7,2,3,2,28,30,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,60,7,,112,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,60,,,,,,,,,,84,5,28,21,2,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,60,14,2,14,5,30,44,28,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,14,30,180,60,84,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
