,Y00058,E82040,Y00898,G82693,L84012,L83005,F81121,J83063,J83645,J83033,Y03040,J83035,J83041,J83006,J83031,J83022,L84065,L82049,G82120,Y00523,E84657,J82194,P92019,M83050,C85004,H81005,L85007,Y02476,E81005,A88003,Y02332,Y02414,L81044,P84040,Y05018,M83078,Y03363,L84001,G83647,Y02477,F83010,H85035,F84003,B86077,P81149,G83052,A89018,M83129,F81133,A82010,J83647,B85614,H81110,P85008,F81022,D82012,E82008,G82117,A87023,M81010,M81016,J82088,C88035,M83034,C84124,C88026,E82115,E82086,Y01929,D83059,Y05207,E82012,A83014,F84681,N82067,J81004,F85623,Y00675,L85025,N83021,E87754,Y05364,Y02583,M83723,N83608,N82648,Y02657,J83055,G82087
2015-01-01,1,63,140,112,1,4,5,2,2,1,350,2,1,1,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,308,,1,,12,1,2,,588,2,2,1,2,1,21,56,196,280,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,576,,,2,5,,,,350,2,,,2,,7,,,280,56,1,28,168,28,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,,,,,,,,854,,,,,,21,,56,,56,,,,,,84,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,112,,,,,,,476,,1,,,,,,,56,112,,,,,28,,,140,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,,,,,,1,392,,,,,,,,,56,,,,168,,,,,,,42,84,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,,,,,,266,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,4,,112,,,,,,,,,,,,,,,,,,,,,,,140,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,5,2,2,,56,,,,,,,,,,,,,,,,,,84,,,,,140,,15,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,10,2,,,,,,,,,,,,,,,,,,,,,28,,,,,280,,,168,28,336,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
