,G82090,C84048,G81039,E87061,Y03327,C83649,M82009,L81056,Y02838,Y03699,F81106,P87026,H81045,E87071,G85051,H83004,Y02759,E81006,G82061,H82059,G81022,K81084,F85072,B87026,L82622,H81062,G85130,B87036,L83113,Y01922,F84069,C86621,C83011,P86003,H81030,P82016,P85605,Y00434,K81004,P82633,E85707,P82023,F84072,F84003,C88069,L84046,G85020,J83008,P85614,Y01299,N81048,B83062,B84008,E86007,E82121,K82631,H84005,G85089,K81006,E85020,E83038,Y03267,G81013,C83073,L81642,L83067,L81091,B83039,P84631,F81134,G85095,F81142,E82060,A83074,F83005,E85004,A87013,G81027,B84004,J82066,F84718,E83034,F84052,H81076,F81181,C82073,Y01177,L81037,F83006,Y01127,D81001,F81079,L84026,B81617,A81070,L84012,Y03082,J82198,L83657,N83024,D83014,L83047,Y04795,J82067,L82049,G82693,L84038,K84051,G82082,N81071,G81002,L83043,L83100,M83141,Y02671,F81149,G81021,Y02029,F81222,Y01052,G85016,Y02674,C88043,A84009,L83115,L81009,M85037,G82732,G82140,L84037,P81059,Y00502,F81743,Y04219,M81075,D81029,A82031,D81035,J83042,Y02423,F83019,D83050,F84081,G81049,N85005,Y04941,Y05019,F83059,E82053,Y02506,Y02986,G81053,J82669,M84040,H84007,J82098,N82651,L82001,F83012,Y04919,C81081,H84032,J81032,H81060,D83023,Y01968,Y02991,N85027,H84059,J82026,Y00999,P81179,G82092,K84060,F81131,F84031,E85003,C82062,F84034,Y04273,N81032,J83048,Y00209,L81133,M81038,L83139,H82070,G85003,Y05486,C88034,D82007,G82052,N85024,F84043,G82060,K81102,F83665,F84008,P89005,H81069,Y02045,K84618,F86652,J82024,F81133,L81047,F86008,F86658,D83004,E87034,D83060,Y01285,F84658,Y03742,E82005,H81003,M81017,L81089,L85014,A82629,L85016,A82025,M81068,F85640,P81079,F83623,Y00902,H81057,L83035,G82135,F81099,H81052,Y01011,B85025,L85035,Y04244,F81042,E82084,C81020,P81073,C84067,Y02012,N81073,M84017,N85002,M85069,J81011,G82650,M83045,N81033,G82635,G82039,E87733,B86032,B84005,L81648,B87013,D82078,H85095,P81659,K84002,L83021,C85619,F83064,G81102,G81638,J83014,M86003,M85060,N85625,Y03035,D83007,F84747,M88006,Y03744,K81022,C88031,P81785,D83021,M88004,Y01962,L83137,G84018,M81092,D82018,Y00390,F81065,L84060,P81083,M81022,Y00988,N85007,N81082,N81027,F86624,B81039,F84122,C81069,D83015,E85656,J82646,Y04585,G82152,P82001,M83017,H85001,J82028,C81002,L83016,F81221,G85685,F84656,C84013,M85178,C82045,Y04896,Y05050,Y05813,M82058,N85044,G81103,H81672,L82052,G85044,Y04558,L83014,E85099,C81084,D83033,K82048,H81103,G81041,J83046,N81029,F83010,A82016,C84021,M84014,Y03521,J83041,E85098,Y05162,G85005,P81054,M88009,F81105,M82043,B86016,G83065,E84048,J81074,F84041,Y00707,M85063,N81034,F83008,Y05383,J81010,G81038,B81088,G83006,F81716,G82120,C82024,B85646,K82016,L83083,E87754,G82185,E87609,Y02469,L83118,P91629,L84018,P81734,D81013,L84028,N85013,Y02059,E82009,E81037,K83017,C82055,B82035,Y06168,F83063,L82018,P86019,Y05879,L85050,C83025,L83066,N81019,P84663,P85019,Y02208,C82071,G85041,B85021,D82624,A83616,B82078,Y01655,G85706,C84001,K84017,H82037,N83009,C83010,Y00212,E82062,L81086,Y00316,C84024,M86015,K83042,B83021,H84061,Y03317,P81134,L83008,G84040,G81614,E81050,G82071,F83039,B82010,K84605,G85024,F83652,B83067,K84078,Y02203,G81658,Y00864,K82009,Y02571,H81658,J82055,N82117,Y00770,F81741,N84611,F85023,H81130,G81048,B83014,B87028,M82010,F81213,E81026,A83048,L82054,J82220,Y04942,P84034,Y00568,D83057,H85114,L85031,N81059,L84058,P81018,K84026,M81016,J82080,Y02928,H84632,G85138,L83127,G81008,Y06063,B85037,C83027,Y05945,L83094,F81679,J81637,G82126,A81020,F84749,L84047,F84624,E83009,E81077,F86066,Y00542,C82059,J83029,Y02002,G85125,K83021,Y02117,P82652,P82007,J82087,Y01929,F86616,G84020,P81092,E87067,F84620,L83040,P82015,L83054,F84121,P81055,D81066,B82028,D81056,G85673,F81152,N81030,L84008,Y02517,D83047,H81013,N82062,G84016,G85052,J82183,E87013,G82737,E81032,K82065,Y02811,G85022,M91017,F81044,J84004,M81045,F81147,Y00090,E84025,G81045,P92003,F84696
2015-01-01,5,40,2,10,14,8,100,2,4,8,4,6,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,,,,,,,,,,20,,2,12,6,12,2,7,6,4,4,8,6,6,2,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,20,2,8,4,10,18,3,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,4,,,13,20,4,4,8,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,10,4,12,6,21,20,8,6,8,2,11,12,3,20,20,14,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,3,,,,,6,28,,,22,,3,,,,20,,,,,,6,6,8,12,5,2,4,4,32,4,4,8,10,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,8,,4,,,,,,,,,,12,,,,,,,,,,,,,,8,4,8,6,6,16,9,5,5,8,4,10,2,12,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,3,,,,,,228,,,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,4,,,,,,,,,,5,4,13,10,8,10,1,4,7,5,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,8,,,,,,,,,,20,,,,,12,,,,,,,,,,,,,,,,,,,,,,21,,,,,8,4,2,18,12,14,4,4,2,6,1,2,5,4,4,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,8,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,12,15,12,5,7,10,7,1,4,6,8,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
