,J82038,M87003,E82056,B84618,L81022,E87004,M82035,G82142,H82077,L84049,B81061,B81052,M82019,F84077,K82021,G84028,A81004,H84025,F86036,E82051,K82023,M84010,Y01090,D83033,Y01200,M91007,C81046,G82115,M83052,M85730,E87002,G84007,B82008,P87002,E83010,C82610,J84005,B81010,F83022,F84033,H82057,B86024,C88031,M91604,P81051,F84087,D81060,G82165,B82081,A84609,M92009,H82047,L83056,E82027,Y01655,P82640,M91614,A83070,C81030,M82007,M83617,M91020,H81057,B86042,J82076,P81659,Y02735,G84040,P89015,M82009,P84678,B86033,J82063,E83003,N81087,M85078,H81134,J82009,F82675,L83100,H84062,M83616,B83660,F84119,M84035,E83016,C85004,J84011,E82060,M82018,M87027,M85066,E82007,P89007,F81089,J83629,G81034,H84637,L83136,P81128,H82056,F81122,D81086,M82057,H85067,A89001,C81064,G82120,L82050,Y03054,F83032,M89011,D83006,G85129,E83638,E85120,H82009,P92651,E85716,M82026,J83003,C88034,H82092,D83030,H82030,M87014,F84621,F81023,F81010,M87024,Y02720,E87063,E83050,J82052,L83032,K84033,J82630,E87714,P81032,C82043,Y02849,E82071,D81017,A83013,G82048,M85019,H81078,P81770,P89004,D81001,L82054,Y00178,J82110,Y02182,F81031,F81104,H81010,F81013,L81622,B86047,J84019,Y00612,A86017,F85700,H81111,M81078,B84004,N81075,F81048,M83042,Y02811,G85053,H81004,J83049,Y00403,G81035,E81073,E87071,F83043,Y05162,E85745,H84030,C88652,M89005,F81152,G85705,M87012,A81034,H81080,Y05187,G85054,H82078,M91018,M92008,M88619,G85073,D83041,M85123,P81172,M82059,A81051,Y01652,J82104,H84016,J82102,E85723,M84063,E82109,M83693,M92649,F81749,F85035,E83600,J81032,F81098,K81067,C81020,Y00200,P81755,N82117,G85034,E82111,D81022,C88083,C88036,B86002,K81062,Y04634,J81647,J81034,Y01168,G82200,L81021,J81041,M85035,D83039,F82028,H81097,J81012,E84068,P81006,D83051,N81050,G82158,P82015,P81655,H83013,B83063,F82007,N82079,F83615,C83027,M86002,B82050,B81082,B81020,C88016,J82015,B81119,G83053,B85019,E81046,B81054,E84006,N81033,N85008,A83049,B81011,B81005,G82790,J81018,B81635,B81025,E85020,L82009,C81007,D81034,F81017,L82012,B81101,B81017,G84005,N81013,H81015,D83074,B81034,J83019,D83029,B81014,B81037,J81073,B82030,B84008,M84044,N84018,B81645,B83058,B83017,B81040,H81094,K84058,C81080,K83030,N85024,D82025,B81112,P88042,B81100,E82001,B81048,K81074,D81033,N81088,M88018,L83117,B81041,B86059,F81115,F83045,M82011,L82049,K83031,B81035,J82067,B81008,B81616,B82105,Y02747,B81004,C84131,L83147
2015-01-01,80,28,56,90,224,12,30,20,60,112,30,10,30,4,120,60,28,80,180,60,560,20,2,40,8,2,60,56,4,60,5,100,80,60,200,3,60,3,2,50,120,120,120,4,56,60,80,120,60,40,112,120,80,100,112,30,2,28,28,24,120,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,80,,28,,,,30,,,,,3,60,,,56,28,80,,,560,,,,,2,,,,200,5,,,,,,,,,,,,,,56,,,120,60,,224,,,,,,2,28,,,,2,200,56,28,56,60,28,14,14,200,40,32,6,1,80,4,120,56,110,200,3,40,56,6,56,56,160,100,60,20,1,56,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,28,84,90,,12,30,,,112,,,,,,,,120,60,60,,,2,,,2,60,,6,60,5,,240,,,,60,,2,,,,,4,,56,240,120,60,,,80,,100,112,,2,,,56,,4,,,,56,,,14,,,,,,3,,,,,60,,,40,,6,,56,,100,,40,1,,,60,84,60,60,40,48,100,135,100,300,90,48,200,90,160,60,200,1,80,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,80,,28,,,,30,,60,,30,2,30,,60,,,,90,,560,,2,,,3,60,120,10,140,,,80,,,3,30,,4,,240,,,2,,,,120,60,,,80,,,,60,,,,56,,2,,,28,,,,,,,,,,,,,,,24,,,,56,,,,,,,40,2,,3,,84,60,,80,,100,,,,,48,,,40,60,,,,,100,1,56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,28,,224,12,30,20,,112,30,,60,,,56,28,,120,60,,,,40,,2,60,,,60,10,,80,,,,30,3,2,,,,,2,,,160,,,,,,,,,,2,,56,56,,2,,,28,,,28,14,,,40,32,,,,,,,,,,,,3,,14,320,,,20,1,,,,,,,40,,,135,120,100,90,24,,,80,,,,,,,,,,30,100,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,80,56,,90,,,30,,60,,,,30,,,,,80,300,,,20,,,,,,,,,,,,60,,,,,2,,120,240,,2,,168,,280,60,,112,160,,100,,45,,,28,56,120,2,,,,,,,14,42,200,40,,,2,,,120,,60,,,,,3,,28,,300,,,2,,,60,,60,60,,48,,,,,,24,,,,,,,1,112,,,,,,60,,84,100,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,80,28,28,90,80,,60,20,,112,90,,30,,60,,28,,,,,,2,,,,,100,8,260,10,100,80,,,,30,,,,120,,,,,,80,,60,,112,80,,,,,,,,56,,2,,56,,56,,,,,,40,,,1,,,,56,60,,,,112,6,56,28,,,60,,,,3,,,,,40,,100,,,100,,24,200,,,,28,,80,,100,,,,,,84,,100,,,100,56,90,60,28,1,18,480,200,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,,180,,,20,60,,,,30,,,112,,,420,60,,,,,,,,,,180,,,80,,180,,30,,,34,,,,,,,240,,,,,,,,,,,,,112,,,,56,84,,,,,,,40,,,1,,,,,,,,,,3,,28,,,,,,,,60,84,60,,,48,,135,,,,24,,90,,60,,,,,,,,,,,,,,,,,,,,,,24,120,,,200,100,168,100,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,28,84,90,,,60,20,,,,,30,,60,,,80,120,60,448,20,,,,,60,,,,5,,80,60,,,60,,,,,120,120,,,,,,120,,224,80,,,,,,,28,,,,,,,,120,28,14,56,,40,32,,,,,,,60,,,,,3,,28,,100,,,,,,120,,,,,,100,135,,,,,,,,,28,,80,112,,,56,,,,,,,,,,,,,28,,,,240,,,,,,,3,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,28,,,,,,60,,,,60,,,112,28,,,,,,,,,,,,,60,5,,,,,,,,,84,,,,,,,,,60,,224,160,,,,,,,28,,120,,,,28,56,,28,14,,,40,,,,,,,,,,,,,3,,56,160,60,,,,,,,84,60,,,,,135,,100,,48,,,,,100,,,,,,,,30,,,,,28,,,56,,,,,8,,200,,,56,30,,,,200,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
