,F81012,D82064,F81085,L84041,J82076,Y00411,J82040,B86022,N81030,J81038,J82025,P87024,Y02516,L83127,F81001,Y02322,A89026,P92028,F81149,F81013,N82035,P81734,H85028,M84030,B86057,D82036,H81038,J81063,P91025,D82073,P86620,L82045,C84635,B85014,H85693,L82021,E82031,L82056,G81643,P85012,F81100,F84093,Y00915,C88631,L83089,D83081,D82004,E82038,C81001,G82696,F81636,J82035,F86001,G81098,D81011,J81070,B82055,D83079,J81021,H82011,P87003,C83026,D82057,K83039,P92026,C84024,D83030,C83035,P88019,M87638,N81070,P81077,H85101,E87021,N82067,M81058,K81610,D82105,F86644,L81083,B81070,L82009,L82047,H81013,F84122,C83059,D82047,L82018,Y03049,C82082,E82123,B81050,G82203,C84698,H84010,P91604,B83008,C87008,D83046,M84043,P88632,C83023,N81029,F82609,P82002,N82090,E85107,A89036,F84010,D81046,P87659,H84055,J82088,Y00259,H82056,J83002,D82060,F84735,P81066,G85685,F83623,B86032,B83038,E82102,Y02626,Y02933,J82150,E85736,H85030,M81042,F81060,D81061,F81127,G82105,C81096,F81741,B83018,H83016,G82721,M83062,P91633,F81120,G82114,G85681,P86003,B82026,L81600,F81102,Y00033,Y01165,G82064,G84006,B82041,B87029,Y02753,L83082,E85728,B86012,D82048,L84036,B82025,E82025,C84048,P92034,C83063,F84730,B87007,B86004,L83113,P84020,E83035,J82090,A88015,B83624,N82011,J84020,G82046,B83039,D81066,G82691,P81067,B86081,J81034,M81016,M82018,B83033,M86017,E82056,J82094,B83641,F83011,G82067,F81109,G81049,M83052,B81043,N81019,D83037,D82079,P84029,F85027,L84078,F86627,C83048,D81035,G83009,L82016,L82013,H85031,J82216,D81603,H81015,K83023,M87005,L85043,F86038,H85111,J83010,N81064,E81003,F84062,F84111,G82050,E85021,B87015,Y02082,M81057,H82025,H81006,D83043,H81110,F82034,J81090,C85619,E81009,H85018,C84114,F81034,P91035,H83050,B86007,G81013,J82138,P81100,G81104,D82041,L82052,B86013,M81010,L83092,F86658,J82073,B81088,N83009,L84010,G82737,F81061,F81070,G82137,G81041,B81030,M81056,L85024,D81052,L83020,D83006,M85117,D82063,K81633,G82017,E84076,K82068,E82658,D81053,B83014,M81055,E83653,C82040,H81003,H81023,H81064,L85041,L83084,B83021,L82006,F81015,N83635,B86025,G83673,G82011,E85062,Y01922,H82017,L83047,E85118,Y01952,L83045,C83611,J82026,L83021,E82067,F84030,B87018,M88645,J82164,L84065,N81086,C84042,E86024,J81033,G82036,Y02520,C84044,D82054,Y00198,E87002,L82036,D82085,C82079,J82144,A81036,H84623,L83646,D81062,H81020,E82083,B86100,F81007,L84047,C84646,F85663,K81047,C81054,E81010,E82024,L81091,H82014,G85081,F84682,F81114,B82060,F81078,M81025,G82035,F81096,B85006,B82105,P81084,N82014,H85045,G85002,G82097,E85026,P88026,L84011,D82096,F84631,L83024,B82053,L81112,E82133,E82042,F81690,F84047,G82091,C82029,C82078,C83018,B86050,H81078,E82027,G81084,F82006,F81089,L83112,A81608,B83006,K82032,G82205,M82026,C84049,H85100,F82660,L81064,E84057,C85016,B82050,P84055,A82021,F83006,B81021,F81619,H83001,G81024,B82028,D83013,J82074,F82676,C82014,Y01243,E82013,M82056,P82004,G81016,L85003,F86020,B82008,A81067,L83095,L84014,Y00568,L83005,F82011,G85025,J81049,F84017,Y05686,M85041,E83637,N82117,B82067,A81002,L83137,E87037,B82036,F81133,G82071,H83010,J82018,B81118,F86691,M92002,J83632,F81028,C81084,J82197,M91004,H84032,H84020,C83082,E83622,D81049,F81019,G82099,F86083,Y04957,C82064,B86064,L84032,L82057,L81021,L85020,Y02589,J83019,F85002,G82128,E81057,N84005,Y02517,B82101,K82610,G83065,B82034,F84054,L84018,E84032,C84092,F83044,H81113,G82100,H85006,Y05400,F81130,N81048,L85619,A81040,F81011,H84030,D81022,C81003,D81047,F86018,Y01794,H82040,E81633,E83038,P81123,P91603,F81115,G82056,Y06380,H85115,B82049,E82091,M91013,N81020,G85022,A88613,D83029
2015-01-01,200,168,56,252,84,168,200,28,100,112,112,252,200,336,100,448,168,84,100,200,28,336,28,112,480,30,100,672,84,58,168,60,112,56,28,168,168,200,200,200,112,224,250,84,200,280,120,60,140,168,84,500,200,672,300,300,1000,105,56,112,70,224,100,30,100,448,100,224,200,200,672,168,168,100,500,210,56,200,100,500,100,84,56,168,200,28,56,30,83,84,90,224,100,200,448,84,100,448,400,150,100,84,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,200,,56,252,84,168,,,200,,,252,400,336,,,140,84,,,56,336,28,112,240,30,,336,84,56,84,,,56,28,168,168,200,,200,112,112,250,,200,,240,60,140,168,84,500,,,300,300,,175,,,56,100,100,30,100,448,,224,200,200,,,168,,,126,112,200,100,500,,84,56,168,200,28,,30,,84,90,,100,300,,,,448,400,150,200,84,84,448,112,28,168,336,28,224,112,200,224,27,84,150,100,56,84,100,60,448,84,28,200,1,112,112,100,100,100,200,200,252,1000,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,200,336,56,504,84,392,200,,100,112,112,224,200,784,,336,308,84,100,,28,672,28,560,240,30,,336,84,56,84,460,112,56,56,210,,400,200,200,112,112,460,168,200,,120,60,140,168,84,,,672,300,300,500,175,,,70,100,100,30,100,448,100,224,200,200,,84,210,,,210,,200,100,500,100,84,56,168,,28,56,30,,168,,,100,200,,168,,896,,150,100,84,84,,,28,,,,,56,,,,400,,100,56,84,,,224,,28,,,56,112,400,100,,,,252,1000,252,700,56,112,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,200,,56,,84,224,,,100,112,,392,200,392,100,336,272,84,,,28,,28,448,240,30,,,84,56,,,,56,28,168,,200,200,,,112,,168,,840,,,140,168,84,,200,336,300,300,,210,,,42,100,,30,100,448,,224,200,,336,84,168,100,,210,56,200,100,,,84,112,336,200,28,,30,83,84,,,100,400,,84,,896,,150,100,84,,448,,28,,336,,,,200,224,,200,,,98,84,100,60,448,84,56,200,,56,,256,,100,,200,252,,252,,28,56,56,298,28,100,100,168,500,84,112,28,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,200,,,504,,224,200,,100,,112,,200,392,,336,336,,100,200,28,672,56,,240,30,100,336,336,56,147,400,112,56,,168,168,200,112,,112,112,360,,400,280,240,60,140,168,84,,200,336,300,300,,140,,,70,400,,60,,448,100,448,200,,,50,126,,,168,56,200,,,,84,56,168,,,,30,,84,,,100,200,,,,448,,150,200,84,168,,112,28,,,,,56,,,,200,,,70,84,,,504,84,28,,,56,112,400,,100,,,252,1000,252,700,,,56,300,56,100,,,,,112,28,,84,112,336,100,1,120,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,400,336,,252,168,224,,112,100,,112,,200,,,336,168,,,,,336,28,,240,60,,,336,56,84,,,56,56,210,,,112,,280,112,360,,,280,120,120,140,168,168,,,336,336,400,,84,,,56,200,100,,,448,,224,200,,336,84,252,100,,168,56,,,,,84,56,168,,,56,30,83,84,,,,200,,,,,,150,100,,84,,,28,,336,28,,56,200,224,,200,,,,84,100,,672,84,28,,1,56,,256,,,,,252,,200,,,112,56,700,70,,100,,,,,,,,,336,200,,120,,100,,224,540,56,60,448,200,112,84,200,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,200,200,,,168,448,200,392,100,112,112,,200,784,,336,368,,,200,28,336,28,,,30,,,,56,,400,112,112,28,168,168,,224,,140,112,,168,400,280,,60,140,336,,,,336,836,300,,105,,,70,200,100,60,,448,100,224,200,,336,,168,,,168,56,,,,,168,56,168,,84,112,30,,84,,,100,200,672,,,,,300,200,,84,448,56,,,,,,56,200,,,200,,100,56,56,100,,448,,28,,,56,112,56,,100,,200,252,1000,200,700,,,112,526,154,,,,,,,28,,,,336,300,,120,,100,,672,360,,,,200,112,84,200,168,84,28,224,360,112,28,42,84,100,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,400,,,,168,224,,168,100,224,,,,392,100,,200,168,,200,56,336,28,,,30,,,,56,,,112,,84,168,,,,,140,,,168,,,,60,140,,84,,200,336,,,,147,,,56,200,100,,,448,,224,200,,,84,168,100,,210,56,,,,,84,56,168,,56,56,30,,84,,,100,200,,,,,,150,100,,84,448,,,,,28,,56,,224,,200,,,112,,100,60,224,84,28,200,,56,,,,100,,200,,,200,,,112,56,400,140,,100,,500,,,,,,,336,100,,,100,,100,406,360,56,,,200,100,224,,168,,28,,,,56,,,100,84,100,168,168,200,100,28,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,224,,,100,,112,,,392,,,200,84,,,28,336,28,,,60,,,336,56,,200,,56,56,252,168,,224,,140,,,,,,400,60,140,168,,,,336,500,,,315,56,,56,200,,60,,448,100,,200,,336,,210,,,168,,,,,,84,224,168,,28,56,30,83,84,,,100,400,,,,,,150,100,,84,,,,,,84,,56,200,,,200,,100,56,56,,,672,84,28,,,56,112,,,100,,200,,,200,700,,56,56,400,252,,,,,,,28,,,112,336,100,,,100,100,100,364,360,56,,,200,100,112,,84,,28,,,,,,84,100,,,,588,,,56,336,,100,200,300,28,168,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,168,,,84,224,200,,100,224,,,720,,,,,84,,,28,336,28,,,60,100,,,56,,200,112,,56,126,,,112,,196,,,168,,,200,60,140,168,,,,336,1000,,,84,56,,70,200,100,30,,448,,112,200,,,84,168,168,,210,56,,,,,84,,168,,28,56,30,,84,,,,,224,,,,,150,,,84,,56,,,336,56,,56,,224,,200,,100,56,56,200,60,,84,28,600,,112,,56,,100,,,,1000,,,,56,56,,126,,100,,,,,,,,,,,,120,,84,,42,720,,,,200,,112,,,,,300,,,56,,,100,,,,252,,,,468,,100,200,300,56,,,200,100,100,252,100,100,168,60,100,112,472,300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
