,K82013,D82005,C83064,Y02517,B86033,F86004,G85136,E85685,L83083,Y02572,Y03079,L85013,K82033,K81021,D82030,F81136,B86070,E81008,B87030,B85028,P92030,Y05643,L83035,B82026,A85017,E86005,E82089,K82049
2015-03-01,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,60,16,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,5,56,112,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,,56,,,,,,,,,,,,,,,,,,,,
2015-12-01,1,,,,56,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,3,32,,,,,,,,,,,,,,,,,,
2016-04-01,,,,,,,,,,,56,,,,,,,,,,,,,,,,,
2016-06-01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,,,1,112,,,,,,,,,,,,,,
2016-09-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,,,,,,,,,56,,,,56,,,,,,,,,,,,,
2016-11-01,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
2016-12-01,,,,,,,,,,,,,,,,,56,1,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,,,,,56,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,28,,,,,,,
2018-03-01,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,21,,,,,
2018-09-01,,,,,,,,,,,,,,,,,,,,,,,,56,,,,
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,56
