,L85013,G81680,C86002,J81019,J82056,M82041,B86096,L83664,G85109,K81048,Y01066,J82024,B83617,D82100,M85087,A82065
2015-02-01,2,,,,,,,,,,,,,,,
2015-03-01,,1,1,,,,,,,,,,,,,
2016-05-01,,,,1,,,,,,,,,,,,
2016-06-01,,,,,1,,,,,,,,,,,
2016-08-01,,,,,,2,,,,,,,,,,
2016-09-01,,,,,,,1,,,,,,,,,
2016-12-01,,,,,,,,1,,,,,,,,
2017-07-01,,,,,,,,,1,,,,,,,
2018-10-01,,,,,,,,,,4,,,,,,
2019-01-01,,,,,,,,,,,1,,,,,
2019-02-01,,,,,,,,,,,,2,,,,
2019-03-01,,,,,,,,,,,,2,,,,
2019-04-01,,,,,,,,,,,,2,,,,
2019-05-01,,,,,,,,,,,1,,1,,,
2019-06-01,,,,,,,,,,,,2,,,,
2019-07-01,,,,,,,,,,,,2,,1,,
2019-09-01,,,,,,,,,,,,,,,1,
2019-10-01,,,,,,,,,,,,4,,,,
2019-11-01,,,,,,,,,,,,2,,,,2
2019-12-01,,,,,,,,,,,,2,,,,
