,B85055,J82139,J82025,J81006,K83028,F85029,K83043,E87681,L81074,M91647,F85687,J81014,N83028,C86019,B82007,N82646,Y00860,A81046,L81086,J82171,F81098,P84644,P86004,L81089,P82018,F81029,E85745,P81129,F81751,G82006,Y02886,E81065,M83738,A84003
2015-01-01,1,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,,40,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,,40,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,40,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,80,,,,22,1,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,,40,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,40,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,80,,,,,,,,,5,20,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,,,,,40,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,,,,,28,,1,,,,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,,,28,,,2,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
2017-10-01,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
2018-05-01,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,1,,,,
2018-07-01,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
2018-10-01,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
2019-07-01,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,4
2019-09-01,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,4
2019-10-01,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,
2019-11-01,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,
