,C84106,J81087,P83623,B81018,Y02606,G85032,C87609,P92642,C83064,C88033,M84008,C83641,H81052,M91616,P88005,B81035,B81616,C82039,A82005,B85612,P88620,Y02896,P84021,A81054,D81607,P83007,L83069,L81041,C83071,M83015,P84051,B86081,H82008,P89013,L83137,B81049,P87610,E82075,E81046,M91025,B87013,P92646,L83125,B87016,B82003,C86029,G81104,B81040,E84042,B82097,P81129,B84613,A83031,F83059,C83054,B82073,N84003,B83033,C81064,L83021,C86017,P86019,B81003,B82021,B81084,G84004,B81068,J82093,L85032,P82011,B82063,D82064,P81115,B81065,B84623,L82054,N82113,L84033,P87015,B81041,G84019,B81682,L83015,P89002,B81006,G81022,C85010,D82029,F82625,L83092,B82066,B86066,B87604,J82139,P83010,P89004,J82100,M83052,M85061,M88633,B81606,L85001,B81008,G83668,G85014,P84673,L81083,M83709,P81002,P92023,B81053,D82054,B81112,J84011,P81061,M88002,B81024,M85107,J84019,L81091,G82015,F82678,B81119,E85685,B82013,B82083,G82046,L83042,B82005,Y02893,C87005,F81030,B82611,B86002,Y02354,B81090,N81054,Y02747,L85022,A83003,G85137,B86016,B81058,B86107,H81002,B82080,B82075,L83096,A84003,B87021,N81086,B83030,C82033,B81092,P81091,M84030,F82017,B82011,C87002,N81020,B86050,L81042,M92009,B81037,B83029,J82155,L81130,J84004,C88090,B81685,P81681,B87011,C88020,A81026,A81021,B82079,B81675,B81005,B81051,G83680,E85038,E85054,B82026,F83058,B85610,L81004,B81027,J82026,B82061,B81095,G81003,F81027,B87023,G85104,B81089,P81634,B86022,L81031,P89020,J82006,P86016,B81034,P84645,A81015,E87047,L83017,P81013,B81013,M92026,P84067,P88044,Y02512,M92008,C81026,N83619,C82003,M91655,L83002,M84021,K83035,P81684,F81636,H81066,B81619,B81064,J81027,P84019,M85053,B86057,D81059,P81005,G81059,M92040,B86014,B81054,C85007,B86018,G82693,L83013,J82083,B81653,B81036,J83042,N81082,J82091,P81182,F83025,M85009,B86010,B81045,L83050,C83613,M85071,A83037,B81021,P85017,M81094,M81068,F83019,E82005,P89003,D83016,G81021,B85021,M87629,C88092,P82006,B84008,C86616,D82037,B82002,G84023,J82021,M83067,B86042,C82121,P84630,P85008,Y04927,E81047,M83065,E85128,B81010,B81069,B81048,B81088,C82052,F81740,B84013,B86008,J82074,C87622,J81637,P88041,C84034,G85081,Y02849,B86041,M83036,Y01200,J81059,B81017,J82212,B81075,B81046,J82114,F81096,B82030,J82034,E82040,G85136,B84618,B83041,L81053,M83076,F84708,N83043,B81101,B86006,F83055,B84001,J82215,M84019,G84017,B85623,K81025,M88003,L84036,J83025,M83725,E87013,M85079,G81024,A87002,L85042,K83032,L84065,M85002,B81692,J84018,L84059,B86039,H85087,L82012,H81090,J82056,P92647,Y02521,H82036,B85015,F86627,G85084,E84061,C83049,L85011,M85756,C87608,E85042,B86019,G82063,P84028,C83042,M85072,P91017,L84001,H82009,Y03063,G81004,F81013,Y03052,C84107,H81058,H82055,B82041,N85040,B81620,L83039,Y05854,G82035,F81206,M91660,M81019,F84053,C82029,K81020,C84005,B86017,B85010,N83025,C85004,C82051,K83079,M83009,J82134,A81065,A81052,J82098,D83047,L84014,M92039,G82653,C88086,A81004,C82100,E82099,B86108,C82026,F81157,B81118,C82020,H81024,B81032,B86069,L84020,A81019,F82660,M83107,B82017,B81015,N83621,E85012,G84609,E87751,Y00351,H85111,L83107,P84039,E84018,H81015,J82181,J82028,L85035,B82023,P88043,C82002,B82038,B81658,C81012,B81082,L81086,M92024,K83066,H81128,C87006,M83616,F83002,K83024,L83008,C82073,G82051,H82063,H82034,E82129,M87041,B87030,P84074,G82013,B81026,B87005,F84003,H81062,L83648,M86027,F81153,E82626,B87026,A83644,Y02414,K83041,F82624,M83084,H81023,C81052,M83075,E84005,B86003,A86040,H83043,B81056,M85033,Y02672,B87002,B81020,C88008,B83624,F85017,B86658,B86051,P84032,P84025,Y02594,L81039,L83106,C84667,J82625,C82075,F82001,P81058,Y02646,G85138,M85066,B87036,B81011,E83006,A83054,A83055,B87004,J82124,C82018,C82061,C82064,J83047,P84054,C85016,H82013,H81057,P81113,P86010,F81205,Y00090,B81025,C84122,P92031,C82068,H81618,M85030,J83029,F81632,N82086,Y03418,K83039,P89005,P84035,E82643,C82046,F81150,G82141,E82023,Y04884,C88022,F81123,P84652,K83030,C82001
2015-02-01,28,60,120,20,28,30,100,60,30,30,30,40,60,20,30,30,56,60,30,20,320,56,10,30,120,112,80,20,28,60,120,30,28,240,60,56,28,60,200,112,20,60,40,40,60,60,120,20,28,20,28,28,30,10,20,80,20,40,60,40,120,28,80,40,120,40,40,60,30,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,,28,30,,,60,,,,,,60,,,,,28,,28,10,30,60,,80,20,28,,,,28,,,,,,,,,30,,,,60,,20,56,,28,,60,30,20,40,,,,40,40,28,,,344,40,,,,,,224,20,30,60,60,60,28,120,84,60,40,60,120,60,80,80,60,40,60,28,40,90,60,28,140,120,20,30,60,28,40,30,20,20,20,140,60,60,20,10,160,28,20,30,8,20,60,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,28,,,,30,,100,,90,,30,,,80,,,28,120,,40,,,,,60,,30,20,28,30,,,,120,,60,,60,,,,30,,,,,120,20,56,20,,,60,30,,40,,,60,,,,,,220,,,,,,,,20,,,,,,,,,,,,60,,,60,,,,40,,,,140,,,,,,40,60,,,,,,,,,,,,60,,40,,20,,40,30,100,28,160,60,40,20,60,30,30,40,20,60,28,30,28,30,40,40,60,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,,30,,,,,,,,,,,84,,,20,,28,,120,,,,,,60,120,,,,,60,,60,,,,,,,,,120,,,,,,30,10,10,,,,,,,,,,220,,,,,,,,100,,,,60,,,,,,60,120,60,,80,,,60,,,,,56,,,20,,60,56,40,60,20,,,140,,,,,,84,,30,,,60,30,,40,,,14,,,80,,60,20,,,,,,,,,,40,,,48,60,20,20,40,30,120,30,60,10,60,60,80,10,30,30,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,60,,,30,30,,,60,,30,,60,20,,40,,,60,20,160,28,,,,,80,,28,30,120,,84,,,,,,,112,,60,,40,,,,,,20,,28,,,,,,,,,,28,,,,40,,,30,,,,,60,,,60,,60,,100,,,,,,,60,120,,84,,,120,,140,,,,,28,,30,,20,,140,,,20,60,,,,,,200,60,20,,,,100,14,,,40,,60,,,80,20,120,,,,30,,40,,,48,,,,,,120,28,,,,60,,,30,,,28,40,60,42,20,100,30,60,20,120,40,40,40,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,108,60,,,,,,,30,,30,,,,,40,28,60,,20,160,,10,30,120,,,,56,,240,,28,,,60,,,200,,,30,,40,,,120,,,,,,,,10,120,,,60,,40,,,,120,,,30,,,40,28,,60,,,,,,28,,,,120,,,,,,,28,,,60,28,140,,20,,,28,40,,,20,,,,,,,80,,,60,,80,,,,,,100,,,,40,,,90,30,,20,,,,,,,,,40,96,20,,,40,30,,,120,,,,,,,30,80,,,120,,,,,,,,,40,,,,120,40,80,240,120,60,120,80,80,60,60,60,376,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,28,,180,,30,,100,,30,,30,,,,,40,,,,20,160,,10,60,60,,80,,,30,120,,,120,60,,,,,,,,,,,,,,,20,,,,,,80,,,60,,80,,,,112,40,,,30,30,,,,,60,,60,,,,,40,,,,,80,60,240,120,28,,,,28,140,,,,,56,,30,20,,,,,,,,,,,,,80,60,20,,80,,,14,,,,,60,30,,,20,,,,,,40,,,40,,80,,,,,120,56,,,60,,,,,,,,,,3,,100,,60,,60,,,40,,,,,,,,,,,30,,,60,,,60,120,28,60,20,2,30,20,30,20,60,7,40,100,228,42,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,28,60,,,,60,300,,30,30,30,,,,,40,28,,30,40,,,10,,,,,,,,,,28,120,,,28,,,,,,40,,,,,,,,,,90,,,40,,,,,,112,,,120,40,,,30,,,,,30,,,,,,,100,,,,120,,,60,,,28,,,,28,,,,,,28,,120,20,,,140,,,10,,,112,,30,,,,80,,40,,,,,,,,,60,40,,,60,,,56,,40,,,,,,20,,,,,58,60,,,,,,30,30,40,,,,,,,,,,60,40,,40,,,,,80,,,,,,,,,60,,,,120,28,180,,,,,,,,,,,,,168,60,40,160,30,30,60,180,31,30,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,28,120,,,60,,,,30,20,60,,,,30,40,,,,,160,28,,,60,,40,,28,60,,,56,120,,,,,,112,,,,40,,,,,,,,,,,,,,,60,,,56,,,112,40,,,60,,,28,,,,,60,,,,40,,,,,,80,,240,,,,,,,140,,20,,,,40,60,20,,,140,,,10,,,,,30,,,,,,40,,,,,,,,,,40,,,60,,,,,,,,,48,,,,,,,28,,,,,,,,60,80,,,,,,100,,60,,,40,,,,,,,,120,240,,,,,,,60,112,,,,28,120,,,,,,,,,,,,,140,60,,,20,30,,,,,,,60,40,60,40,84,40,30,30,84,100,20,112,28,28,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,28,,,,,,,,30,20,,,,,30,40,40,,,40,160,28,,60,,,30,,28,,240,,28,,,,,,120,,40,,40,,,,,,,20,,,30,,,,,,,,,,,,120,40,,,,,80,,,90,,,,,,60,20,,,,,,,120,,60,,,,,,,,,,60,56,,120,,,,,,,10,,,28,,60,,,60,,,40,30,,14,,,,,60,,40,40,,,,,,,40,20,,,,20,,,,30,120,,,,,,,,30,,40,,,,,,,,,,60,,120,,,,40,,,,,,,,60,,,,,,,,28,120,,,,,,,,,,,,,28,60,,,,,,,,,,,,,30,,84,,90,,,,,,,,,,40,56,20,112,60,30,40,60,56,60,28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
