,E82088,C83022,D83056,M85029,C83083,B82046,H81054,P82031,B81030,M85056,C83023,L85061,C83015,C88008,G81642,M83065,C83001,F82019,C83047,L85019,D81036,C83055,E82130,D83039,D81013,C83003,C83004,M91637,C83635,M92010,C83006
2015-01-01,240,56,120,60,60,60,120,120,56,120,60,180,,,,,,,,,,,,,,,,,,,
2015-02-01,,56,,,60,,,120,56,,,60,60,60,60,60,60,112,180,,,,,,,,,,,,
2015-03-01,120,56,120,60,60,60,120,120,56,,60,60,60,60,60,60,60,,,120,90,,,,,,,,,,
2015-04-01,,84,,,60,,,120,56,,60,,,120,,,,,180,,90,60,60,,,,,,,,
2015-05-01,,56,,,60,60,120,,112,,60,60,,60,60,,,,,,,60,,60,,,,,,,
2015-06-01,120,56,,,60,,,,,,60,120,,60,60,60,,112,,120,90,60,,60,,,,,,,
2015-07-01,120,84,60,,,60,120,,56,,120,120,,60,60,,,,60,120,90,60,,,120,60,,,,,
2015-08-01,,42,,,60,,120,120,112,,60,120,,60,,,,112,240,,90,60,,60,,,,,,,
2015-09-01,,70,,,60,60,,,,120,60,60,,60,,,,,60,,90,120,,,120,,,,,,
2015-10-01,120,56,60,,60,,,120,,,60,120,,60,,60,,,180,120,90,60,,,,,,,,,
2015-11-01,,70,60,,60,60,,,112,,60,60,,60,,60,60,,,120,90,,,,120,,120,60,,,
2015-12-01,120,130,60,,60,120,,,112,,60,180,,60,,,,,,,,,,,,,,60,,,
2016-01-01,,56,60,,60,60,,120,,,60,60,,60,,,,112,,120,,60,,,120,,,60,120,,
2016-03-01,,116,120,,60,60,,120,112,,60,60,,60,,,,,,120,,60,,,,,,60,60,,
2016-04-01,,56,60,,60,60,120,,,,60,180,,60,,,,,,,,60,,,,,,60,,60,
2016-05-01,,,60,,,180,,120,56,,120,,,60,,,,,180,,90,60,,,,,,60,60,,
2016-06-01,,,,,60,60,,,56,,60,180,,60,,,,112,,120,90,60,,,,,,60,120,60,
2016-08-01,,,60,,60,60,120,,56,120,60,120,,60,,,,,180,,,60,,,,,,60,60,,
2016-09-01,,,,,60,120,,120,,,60,120,,60,,,,112,,120,,60,,,,,,120,60,,56
2016-10-01,,60,60,,60,,120,120,56,,60,120,,60,,,,,,,90,60,,,,,,,,,56
2016-11-01,,,,,60,120,,,,,60,60,,120,,,,112,180,120,90,60,,60,,,,60,,,56
2016-12-01,240,,,,,60,120,120,,,60,,,60,,,,,,,90,,,60,,,,,240,,56
2017-01-01,,,,,,,,,56,,60,,,,,,,,,,90,,,,,,,,,,
2017-02-01,,,,,,,,,28,,,,,60,,,,,,120,,60,,,,,,,,,
2017-03-01,,,,,,,,120,,,,,,60,,,,,,,,,,,,,,,,,
2017-04-01,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,
2017-05-01,,,,,,,120,,,,,,,,,,,,,120,,,,,,,,,,,
2017-06-01,120,,,,,,,,,,,,,60,,,,,,,,,,,,,,,60,,
