,A82044,J83006,B83049,B81029,A82013,M84629,P81646,H85653,P85020,A82012,C85023,G85113,Y02192,P85008,P81008,A86038,G85011,J83047,M84603,Y04883,E85075,C83019,E85046,B82034,F85640,L81024,J82009,M84014,M91010,J81005,E82641,G81022,Y02018,H84005,H85095,C85008,C86029,E82092,L82038,M83148,H85001,P81157,L83101,P87634,M87013,E86018,L83136,M89012,B86008,B87028,L85036,H82038,N84611,H85030,H85116,M89028,C82108,C83006,F84069,M85006,M85081,P84037,H85022,P85011,P81017,K83013,D81012,F85060,A87009,H81030,B86057,M84026,P81112,F83030,F86664,L84009,Y04888,H85105
2015-01-01,30,5,10,2,2,2,10,10,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,30,,,1,1,,33,30,20,30,1,10,4,20,2,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,30,,,1,,2,2,,,30,,20,,30,,,,,5,5,13,10,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,1,,1,,,,30,,5,,50,,,15,,,,,,,3,,1,20,1,1,1,1,5,1,10,20,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,30,,,2,,,20,,,30,,,,20,,,7,,,,6,,,2,1,,20,,,,,,,10,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,90,,,1,,3,17,,,30,,10,,,,,,,1,,,,,,6,,20,,,,,,,,,,,,,,,,6,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,120,,,,,,10,,,30,,5,,40,,,10,,,,19,,,,13,,,,,,,,,,,,,,,1,,,9,,,,,1,1,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,60,5,,2,,,,,,30,,15,,20,,,,,,,14,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,40,30,1,5,,,,,,,,,,,,,,,,,,,,,
2015-09-01,60,3,,,,,4,,,30,,,,,,,,,,,16,,,11,4,,40,,2,,,,,,,,,,,1,,,,,,,,,,3,,1,,,10,,,3,2,4,2,,,,,,,,,,,,,,,,,
2015-10-01,,,,2,,,4,,,30,,35,,,,,6,,,,3,,,1,2,,20,,,,,,,,,,,,,,,,,3,,,,,,2,,1,,,,2,,3,,2,,2,30,5,,,,,,,,,,,,,,
2015-11-01,,4,,2,,1,1,,,30,,,,,,,5,,,,,,,1,,,20,,,,,,,10,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,5,1,1,3,,,,,,,,,,
2015-12-01,,,,1,,2,2,,,30,,,,,,,10,,5,,6,,,2,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,8,3,2,,,,,,,,
2016-01-01,,2,,,,,2,,,30,,15,,,,,5,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,5,,,1,,,1,1,1,1,,,,
2018-02-01,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,60,9,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
2019-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,
2019-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
2019-10-01,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
2019-11-01,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
