,B81082,C83039,F81085,G82042,P84074,P91017,G82160,N81654,P81123,J82088,L82049,H82056,P81057,G81041,H82045,P81079,C82066,M83084,M84006,F84620,N81065,A82005,C83635,F81681,P81664,C88073,G84017,M85042,B87028,J82083,F81691,G83066,E83032,L81026,P81735,L81034,G82074,C86001,F81052,J82605,C81024,P92648,H81109,C84124,C88028,A84022,G82110,N81051,E85007,M85011,H85048,A87013,J83603,N85007,E81076,M83100,K84044,A81052,G84003,Y00105,F85011,N81045,N82092,P88624,K84040,A83033,J82215,D83005,L83094,L84071,M86002,P84054,B86673,J83004,M91006,E81032,A88015,H82078,M91028,G85003,L83039,F81164,P91003,F83660,C84001,J83035,H85070,G83004,J83609,H83044,N81049,C84035,F84685,L81069,F81014,K84001,P81072,F83023,G82630,J83063,K84054,A89024,N81019,D83017,M81011,Y01051,N81123,P83009,M83001,E82046,F81121,C88647,C85020,E83027,A82008,M82026,L85018,Y04359,C83026,G83053,B83602,K82013,G81100,C84024,M88645,M87013,B86648,E82082,J81025,P89029,J82134,A82058,N81087,K81656,N82623,P92019,J84020,D83018,F81108,D81085,L83040,J81009,M81003,F81721,N81073,F82660,D81062,F82621,L84038,Y02627,D81623,H82065,L83072,P84050,K81015,H81073,L85034,L81040,F81126,M87016,J82127,N84615,J82072,G82185,B87017,M83127,A86031,N81625,F82678,L81038,G83034,M83009,P81683,N81060,P81036,A83041,C81032,P81218,K83002,P89015,Y01139,J81075,Y02704,Y02890,P81734,P81160,K84027,F82649,A82012,P81190,F84052,L84036,D82044,K81082,J82100,B84613,E82099,A88013,Y00542,G82650,N84003,G85024,L84081,N85024,F81707,F85004,G82118,B83621,D81061,M88022,L82040,C84115,G82203,A81042,L84003,G81074,M83032,E84078,C81034,N81085,J82098,M89011,P81668,L84014,C81096,L83045,M83064,L83074,D81618,H82048,M86014,P84035,M91625,M81024,Y00164,M85741,N81012,Y02886,B81113,H82032,L81669,P85017,C85010,H85072,M85070,E81011,K83041,L83095,N85008,Y02517,P81044,E83621,M83661,J82130,J82060,F81026,K84023,A83037,L84056,P81032,J82084,B81683,C84045,L85025,K81006,E86004,P92004,P88020,D82099,G82091,A82016,J81006,C81023,F84009,G85633,B82026,E81047,N81094,M85178,G82105,G81019,N85038,H82621,N83001,M83638,F82013,M81056,M87037,E82084,M81083,M83049,F82038,C81001,M86039,Y02532,N82110,H82007,N83022,J81626,K82062,B85025,Y01011,N82034,C84704,F81158,P86011,Y00984,L83121,D82045,M81047,C84142,B87013,L81077,L82052,G81026,P81109,F84006,C81019,M91611,P88004,F86022,F81132,F84121,G82060,P83609,C84051,M89601,Y00159,C81074,P82652,F81029,D82084,P86004,J82023,C86016,E85735,D81057,C83031,M87026,J82646,L81099,L84613,J83625,G82007,M88009,J82669,P81140,G83065,Y04957,B83042,M82009,J83064,M91029,G81104,N81068,B86107,M91647,E83007,N81108,L84039,J81045,D82105,P85020,E83008,H85041,D82047,G82796,F81074,J82633,B87002,G82218,A84043,H81068,M81048,A86003,L84010,M88035,M83625,G82021,J82082,P81006,P86001,J82090,M91010,C87608,B82005,E82048,E83046,A82619,N82670,P85001,F83015,M81043,N81052,N82641,C88652,C84069,J83023,M85722,Y02889,E82054,N82094,E85026,M81080,F85055,C81014,B81656,M85007,P81147,M83012,F81081,J81623,P81085,C83011,H83021,E83020,E83638,J82220,P81130,N81027,A82026,A83638,H83004,C82056,M89003,A87005,C81025,M88015,M85053,A84032,B85012,B83006,H82043,E82086,C88095,E85719,B81069,B81061,M81091,M85156,L84025,G85034,E85123,B81030,C81045,Y00988,L81065,G82205,A81048,M92010,H81613,G82016,M81066,E87740,A82044,L84011,G81065,K83037,K84075,N85012,D83050,L84042,A84044,H82023,E81013,E82640,B81034,C82078,B81634,L84007,L81089,M92028,M85048,M87638,F84088,N85018,F84682,P81112,G82067,H81013,Y00433,M83108,F81060,N84017,M82030,K82018,B87031,N83008,G82057,L85008,F84047,C87012,G82155,P84027,F81186,L82070,F84004,Y04094,G84607,G82170,L83003,C82039,D82037,D82054,F81152,C84612,P81074,P85002,J82144,E83024,B85036,G81099,C88091,D82029,Y04972,G85623,C82063,A82007,G82233,M83133,N85027,B85023,M88623,C83650,L84012,J82077,C85030,A86005,C82068,E84058,E84036,E85029,M89021,A88002,N83605,E82085,M85068,B81101,C88083,F82017,C87604,J82049,M92043,K82073,P91018,L83136,B81092,L83113,H82035,L82029,A82003,M85600,B85055,B83022,H85002,Y05108,E85115,B82037,N83636,Y02893,M85697,L83628,N81035,F81048,G81013,P81171,J81062,E81033,M84002,A83044,M88019,B86023,C81076,F82008,J83017,C81065,H82041,K83027,G81004,E82008,J81077,G82662,M83045,M88030,H84050,P91009,L83089,M83075,E83012,C81061,C81037,C84016,Y02639,N82117,A83073,C81647,A89015,Y02501,C81020,N85017,L83014,C81047,E81009,P81172,J82074,K82076,F81700,H83006,F82677,H83018,M84063,K83025,Y00347,M83016,G84004,H81051,H83046,P91007,M81063,F82014,K82016,H82100,M85069,N85031,F82619,F82646,K83621,A83045,L82009,C88010,J82021,G81083,B81112,F86073,B85030,H85090,G85031,M91011,C85001,G85685,Y02816,B82017,L84046,D82106,P81181,N82026,E85069,P89018,J82097,J81646,M85803,C88026,P81159,L83626,P85011,N83012,P81038,M85046,M83046,J82094,B85659,G82114,P81210,Y02790,E84084,M85175,F85032,A86016,K81087,P87026,G82679,M83719,M85009,A86023,Y03931,M83078,G85723,Y00351,F84702,A87003,A85004,B81666,J81033,N81057,C84048,B87600,F86691,M86020,E83622,M85063,B86035,B86016,N83028,N84611,F82604,J82099,B81038,L81004,F84740,M82619,D81025,K81027,H85077,H81021,H84635,H83011,P84673,D83001,N83027,M86622,N83054,F85035,F84018,G84022,F84122,N81032,J82002,G82112,P81003,M91020,G82125,H81019,M85087,G81003,F84119,L81024,N81075,J83058,A89016,H81015,H85656,M86021,Y02906,F81213,P85008,L83024,M92607,M81005,K81047,N83014,M84042,N82018,P87620,G85045,M83090,M86029,H85697,P87634,E82055,L85056,Y02887,P83623
2015-01-01,350,175,100,200,100,175,100,100,175,100,200,175,200,350,1400,175,350,100,100,175,100,100,175,100,100,350,350,200,175,100,175,175,175,175,200,175,100,350,100,175,500,175,100,175,100,100,175,200,100,175,200,100,100,175,175,300,200,100,100,350,175,100,100,200,175,100,175,175,100,100,100,175,100,100,175,100,100,175,100,400,100,100,175,350,350,350,175,100,175,200,100,175,100,200,200,100,350,175,350,300,100,350,550,175,350,350,350,200,200,100,175,175,100,100,175,100,175,100,175,175,100,200,100,275,200,100,100,175,100,350,100,100,175,100,100,100,700,200,100,175,175,350,200,200,875,525,200,300,525,350,100,175,100,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,,200,,,,,,,,,175,525,,100,,,,,,175,100,100,,,,,,,,,175,400,,,350,,,,200,100,175,100,,,,,,,,,,175,,,,100,,175,100,,,,,,,,,100,,,100,350,,,,,400,,,175,,350,,,,175,200,100,,,200,,100,700,350,,,,350,,,,350,,100,100,,,,,,,300,175,,175,,100,,,175,,,,175,,,100,,,,,,700,200,,,175,175,175,,350,175,200,725,175,,,175,,,100,100,100,175,175,100,100,100,100,175,300,100,175,175,175,100,100,100,100,175,100,200,175,100,875,300,700,100,200,175,175,100,175,300,100,200,350,175,175,100,200,200,100,200,100,175,100,700,175,350,100,350,200,100,100,100,100,175,175,100,525,100,175,700,100,100,100,100,100,100,350,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,200,100,,,,350,,,175,,175,525,175,100,,100,175,,,350,100,,350,350,,175,,350,,,175,,,100,350,,,,175,,,,,200,,,175,100,,100,,625,200,,,100,,175,200,100,,175,100,175,,100,,100,,100,,175,,,,100,400,,,175,,350,,175,100,175,,,175,100,300,,,350,175,175,,,350,525,,350,175,,200,200,100,,175,,,,,,,175,175,100,200,100,450,,,,350,,,,,,,,,700,200,,,175,175,,,175,175,,500,100,,,,,,,,,,,,,100,,,100,100,,175,,100,,,,175,100,,175,,,,700,100,,175,,100,,,,100,,,,,200,200,,200,,,100,700,,,,,,,200,,,,,,,,,700,,,,100,,,,,175,100,100,175,500,350,175,175,100,100,175,100,175,100,175,100,100,200,100,100,175,100,100,100,100,100,100,175,175,100,100,100,175,100,175,100,175,175,100,175,100,100,100,100,100,100,350,175,200,175,175,100,175,100,175,175,175,700,175,175,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,700,,,,100,,,,275,,,175,275,350,525,,100,,100,,200,100,,100,200,525,350,,175,,,,,175,,,100,350,,,,175,200,175,,,,,,,350,,100,,200,,,,,,175,100,100,,,100,,175,100,,100,,100,,350,,,,,400,400,,350,350,450,,,,,,100,,100,500,,200,350,175,,,,350,175,350,350,350,,,100,,,,100,,,200,,,350,,200,,100,175,,,100,175,100,,,,,,,,700,,,,175,175,,,175,175,200,300,,175,,,,,,,,175,,,,,,175,,100,,175,,100,,,,350,,200,175,,,,700,,,,175,100,175,,,200,,175,175,100,,100,,,100,,100,700,175,,,350,,,100,,,200,,,525,100,175,700,,,100,,100,,350,,100,100,,,500,,175,,,100,,,,,,100,,,,,,,,,100,,,,175,,,,,,,,175,175,,175,,,,,,200,,,,175,,,,,,350,,700,,,,,,100,200,175,100,100,100,175,175,175,100,100,100,175,175,100,100,175,200,100,100,100,800,100,100,175,100,200,175,700,100,100,100,100,175,100,175,100,175,100,175,350,100,175,100,100,100,175,175,175,100,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,700,,,,100,,,,275,,400,,275,350,350,,100,,100,,200,,,100,100,,175,,,,,,,175,,,100,350,,,,,,175,,,,,,175,,,,,175,100,200,,100,,175,100,100,,,100,175,175,,,100,175,200,100,175,,100,,,400,,,175,,525,350,175,100,175,,,,100,300,,,350,175,,,,350,200,175,,525,,100,,,,175,,,,100,,,,350,100,,,,200,100,,175,,175,100,,,100,,,700,200,,,175,175,,,700,,200,,175,175,100,,,,,,,,,100,375,100,,,,100,350,,,,,,,350,100,,,,350,,700,,,,,,,300,,,300,175,175,,200,100,,200,100,,,700,,,,350,200,,100,,,,,,525,,,700,,100,,100,,,175,,275,,,,500,,175,,,,175,,,,175,100,,,,,,,,,,,,,175,,,,,,,,,175,,,,,,100,,100,,,100,175,,,,,175,,,,,,,,,,200,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,100,,175,,,100,350,100,,,,,,,175,,175,,,,100,300,100,100,100,175,100,1000,100,200,175,175,100,175,100,100,175,100,350,200,100,350,175,175,100,100,200,100,175,100,100,100,175,175,175,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,350,175,,,100,,100,,,,100,,,175,525,,100,,100,175,200,,175,100,100,525,175,,175,,,,,,,,100,,,,,350,100,,,,,,,,,,200,,175,100,,,200,350,175,100,100,,175,100,,175,,,100,,,,175,,,,,800,200,,525,350,350,350,,,175,,,,100,300,,100,350,175,,,,350,,,350,350,,,,,,,100,,,,,,,,100,,,175,,,100,175,,,100,,175,175,,,1050,200,,,350,175,,,525,,,875,,175,,,,175,,,,,,100,,,,175,100,100,,175,,100,,,,,100,200,,,350,,700,,,,175,,175,,,,,175,,,,100,,,,,,,,,,,,,100,,,,,,,175,,1400,,100,,,,,350,,100,,,175,,,175,,,,175,,,175,175,100,,,,,,,,100,,,,,175,,100,100,,,,,,175,100,175,,,100,,,,,,,,,,175,,200,,175,700,,,,,,,200,175,,,,,,,,200,,,175,,,,,100,100,,,,100,,,,,,,,,,175,,,100,175,,175,,,,,,175,,350,175,,,,275,,,100,,200,,100,,,,,,,,175,,,,,175,,,,,100,,,,,,,,450,,175,100,175,175,200,100,175,350,100,200,350,175,100,100,100,100,100,100,100,175,200,175,100,100,100,100,100,100,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,350,,,,,,,,350,100,,,,175,350,,100,,,,200,,,100,100,,175,,,,175,,,175,,175,100,,,,,175,100,,,,,,,175,350,,,,350,100,100,,200,,175,275,100,,175,200,,175,,,100,,100,100,175,,275,175,,400,200,,525,,450,,,100,175,,,,100,200,,200,350,175,,,100,350,,,,175,,200,,,475,175,,,,100,,,,,,,,,,,,175,,350,,,175,275,,,700,200,,,175,350,,,525,,200,500,275,175,,100,,,,,100,175,,100,,,,,200,,175,,,,,,,175,100,,,,825,,700,,,,175,100,,,,100,100,,,,200,100,,200,,,,700,175,,,350,,,100,,,175,,,525,,175,700,,,200,,100,,,,,,,,,350,175,,,,,,,,,100,,,,,,100,100,200,,,,,175,100,,200,,,,,,175,,,100,,,,,100,350,,300,,175,100,,,200,350,,,,,,,,,200,,,,,,,,100,350,100,,175,,100,,,,100,100,,,,,,,,,,,200,200,175,,,200,175,,,350,,,,,200,,,,300,,,300,100,,,,100,1000,,175,,,,,,,,,,,,,,,,,100,,,,100,,,,,100,,,,,200,,175,,,,175,,,100,,,100,,100,,200,,,,,,,,,,175,200,100,100,175,175,100,175,100,175,200,550,100,100,100,175,100,100,100,175,100,100,100,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,350,,,200,100,,100,,175,,,,200,525,,,550,,100,175,400,,175,,100,525,175,,175,,,,,175,,,,,,,,200,100,,,,,,,,,,100,,175,100,,,100,,175,100,,,,100,,,100,,200,,100,,175,,100,,,400,,,350,350,350,,,100,350,,,,100,400,,,350,175,,,,,200,,,350,175,200,,100,,,,,,100,,,,,100,,,,,,100,175,,175,,,175,175,,,350,200,,175,175,175,200,,350,,200,300,,175,,,,,,,,,,100,,,,,,,,,,,,,,175,100,200,,,,,700,100,,,,,175,,,200,,175,,,200,100,,,,,,,175,,,,,,100,,,,,,,175,,700,,,,,,,350,,175,,,,,,350,,,,,,,,175,,,,,,,,,200,,,,,175,100,,,,,,,,175,,,,,,,,100,,,100,175,,,,,200,175,,700,,,,,,,200,,,,,,,,,,,100,100,,,,,,200,,,,100,,,,,,,,,100,,,,100,175,100,175,,,,,,,,175,175,,,,1000,,,,,,,,,,350,,,,,,,,,,175,,,,,100,,,,100,,,,350,,,,,,100,,200,,,,175,,,100,,,100,,100,175,100,,,,,,,,,,,,,,,350,,,,,,350,,,,,,100,,,,,,100,,175,175,100,100,350,175,100,175,175,200,100,100,100,100,175,100,200,100,175,175,200,100,100,200,175,100,100,200,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,700,,,,,,,,275,,,,,350,350,,450,,100,175,,,,100,,,350,175,,,,,175,175,,,100,,,,,200,,350,,,,,,175,,,100,175,175,200,100,,100,,350,100,100,,175,100,,175,,,100,,,,175,,,,,,,,350,,800,350,175,,,,,,,500,,,350,,,,,350,,350,,350,,,,,,,,,,100,,,,175,,,,,,,,175,100,175,100,,,175,,,1050,,,,175,350,200,,525,,100,200,350,175,100,,,,,,,175,,100,,,,175,100,100,,,,,,,,175,100,200,,,700,,700,100,,350,175,,,,,100,,175,,,,,,,100,,,,175,,,350,,,100,,,200,175,,,,,700,,100,,,,,,,,,,,,,175,,,100,175,,,100,,100,,,,,,,,,200,,,175,,,,,,,,,,175,,,,,100,,,100,,,,275,175,,,,200,,,,,,,,,,,,,,,,,,,,100,175,175,,100,175,,,100,100,,,,,,,,,,100,100,200,,,,200,175,,,,,175,,,,,175,,,,,625,100,,,,,,,175,,,,,,,,,,,100,175,,,,,200,,,,,,,,175,100,,,175,,200,,,,,,,,,100,,,,100,100,,100,200,,,,,,100,,,,100,,,,,,,,,,525,,,,,,100,,,100,,,100,,,,,,350,175,100,,,,,,,,,,,,,100,200,,,100,,,,500,,,,350,175,100,175,100,350,175,100,100,175,100,100,100,200,175,175,100,100,175,175,100,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,350,,,200,,,,,275,,,,,350,700,,100,100,200,,200,,175,100,100,,175,,175,100,,,,,,,100,,,,,200,,,,,,,,,,,100,175,175,100,,,200,,175,,,,,100,175,175,,,100,,,100,175,,100,,,1200,,,175,350,350,,,100,350,,100,,100,300,,200,350,,,,,350,,175,350,350,,,,,,175,,,,200,,,,175,100,,,175,,,100,175,,200,,,,175,,,700,400,,,175,,400,,525,,200,200,175,175,,175,,,,,,175,,,,,,,200,,,175,,,,,,,100,,175,,350,,700,,,175,175,,175,,,100,,175,,100,,200,,,,,,,175,,,350,,,100,,,,,,525,175,175,700,,100,,,,,350,,175,100,,,,,,,,,175,100,,,,100,,,,,175,,,,,,,,175,100,,,,,,,,175,,,,,,,,100,175,,100,,175,,175,,,175,,,,,,,,,200,,,,,,,,,,,350,,,,,,,100,,,,100,175,,,,,,100,,100,,,,100,175,,,,,,,,,,175,175,,,,100,,,,,,,,,,175,,,,,,,,,,175,175,,100,,100,,,,,,175,,350,100,,,175,175,775,100,,,,,175,,,100,,,100,,100,,100,200,,,,,,,,,,,,,,350,,,,,,175,,,,,,,100,,,,,100,,175,,,,,175,100,,,,,,,,,100,,,,175,200,,,100,,,100,500,,,100,,,,175,,350,,100,100,,,,,,,,,100,,,,175,100,100,200,100,100,100,175,100,200,100,100,350,200,100,175,100,100,100,100,175,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
