,L84020,L81081,J82088,A89021,A85609,A83028,P91006,D83010,C83611,M92006,A87016,A83037,E85026,Y01242,A83076,F86057,B82041,A83017,C87006,F82675,E87756,J81042,C81035,G82026,P81086,F85615,E83624,F85663,F86708,F85053,Y00612,F85002,A87008,E84040,D83022,K82079,A89034,A81054,J82035,F81070,E83036,B83064,L81052,F86658,E82117,G82150,H84012,G82076,D83050,C84131,F84686,G82048,H81094
2015-01-01,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,2,,8,5,2,9,5,1,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,4,5,4,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,2,,4,5,,,,,8,16,,2,6,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,2,5,5,,,,,1,,,,2,,,,,1,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,2,,4,5,,,,,,,,2,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,4,,3,5,,,5,1,8,16,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,5,5,,6,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,5,4,,,,,1,,,5,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,4,5,,,,1,,16,,,6,,,,,,,10,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,5,,,,3,,1,,,,4,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,8,5,,6,,,12,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,5,5,,,,,,,5,2,,,5,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,,3,,,,,,,,5,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,5,,5,,3,5,,12,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,,,,5,,3,,1,,,,2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,,5,,,,,,,,,,2,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,,,,5,,,5,2,,16,,2,,,,,,,,,,,,,,1,1,1,1,1,53,2,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,,5,,3,,1,,,,4,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,1,,,5,4,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-01,,,,,,,,,,16,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,,,,,,6,,,,,,10,,,,4,,,,10,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
2016-12-01,,5,,5,,,5,,,16,,4,,,5,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,5,,5,,,,,,,5,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
2017-03-01,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,
2017-04-01,,,,5,,,,1,,16,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2017-05-01,,5,,,,,5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2017-06-01,,5,,,,,,1,,16,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,5,,,,,,,,16,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
2017-09-01,,,,5,,,,1,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,,,,,,,,,,,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,,,,,,,5,,,16,,2,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
2017-12-01,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,
2018-01-01,,5,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2018-02-01,,,,,,,,,,16,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2018-03-01,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,5,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,
2018-05-01,,5,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,,,,,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,,,,,,,,1,,16,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,,5,,,,,,1,,,2,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2018-10-01,,5,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2018-12-01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
2019-01-01,,5,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2019-03-01,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,,5,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01,,10,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,,10,,,,,5,1,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,
2019-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
2019-12-01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
