,K81082,J82083,Y03385,M81604,J83018,M91015,C82040,E82084,D83047,H85026,A83036,P84049,Y02953,D81619,Y01755,K82032,F83624,D82106,Y02082,K82026,G82098,Y00442,N84038,D82036,Y00505,Y03906,Y04655,B86043,L82004,E81037,M91626,Y02451,Y02808,P91018,N84003,L85037,M81044,K83043,G83680,F81136,F86658,Y00090,H85116,M83026,Y03734,K83610,G81668,H84007,F83019,A82014,H84032,K81069,B83014,Y03049,D83023,A82020,F81108,J82010,D82058,H81107,Y04338,Y03322,F81733,C88015,F81099,Y04155,D82062,F83004,Y02917,A87011,F81758,D83029,D82044,Y02598,P85614,Y02662,Y04251,Y03825,C86003,D81005,C88020,F81037,P86621,C81029,E82041,E82060,C83063,D83018,B86034,D82007,A89001,D81085,M81080,E81024,Y00411,F81690,K83025,L84043,P84070,M89010,Y05132,J82005,D82066,D82019,M83030,D83012,D82059,G85087,Y03934,G82164,D82022,C81080,G85024,Y04018,C86018,H84039,D83014,P91633,C84001,C81008,E85635,Y03762,C81015,D82064,A86022,M83703,D82104,P88043,D82012,Y01696,F86060,Y04661,B86100,Y02622,L82056,D81633,A83634,Y03700,M81032,G82039,M83117,F86627,D81027,D83608,A83048,P85606,H81026,D82065,H81056,Y05648,E82074,A86601,Y04167,J82155,A86023,H81091,K84024,Y04632,E82109,A84034,Y01061,P88006,P88026,H81664,E82124,D83040,G82035,G82135,F86638,B83011,E82073,D82079,F81144,M81066,D82069,Y00910,Y03331,C82026,D82008,E86026,D82051,D82027,Y05244,K83027,M91011,B86066,G85690,E82106,F81181,C81667,K82074,E82042,K83005,F86032,M81018,P83012,F82609,N84020,K83009,D82032,Y03596,C88039,M84012,F81027,P87657,A83026,Y05113,N84621,D83036,A83616,K82016,F82030,Y00142,E85708,D82001,G82754,D82030,H81083,Y00399,C82017,Y04031,E82121,G85114,Y00042,A86011,K81063,C81016,D82099,H85653,D82042,Y01259,A83018,G82013,A83008,N81108,Y00035,Y02085,E82032,E81036,G85041,Y04032,K82003,A83632
2015-01-01,30,2,4,20,5,35,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,60,3,6,20,,28,,30,5,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,15,3,8,,,28,1,,,,,10,1,5,10,1,6,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,47,4,,20,,35,,30,,,,,1,,,,,,,2,1,10,28,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,26,3,,20,,28,2,,,,,,,,,,,,,,2,,,30,2,6,10,5,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,1,6,20,,14,1,,,,,,,,,,,,,,1,,,10,7,,,,7,14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,2,,,,28,,,,,,,,,,,,,,,,,,,5,,,,,,,21,4,10,10,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,18,6,,20,,28,,30,,,,,,30,,,,,,,,,,,,,,,,,,28,,,,,,20,53,5,30,10,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,55,4,2,20,,28,,,,,,,,9,,,,,,,,,,,,,,,,,,56,,,,,,10,30,,,,,,5,10,3,10,5,1,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,21,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,20,,28,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,4,1,3,1,5,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,100,,,48,,28,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,25,,,,3,,,,10,,7,10,10,10,20,28,7,1,10,10,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
