,K83010,J82033,A82019,H81055,M84023,A82033,B86055,M85062,J83014,N81122,L83086,N81059,N81109,B82078,N81020,C84113,J83632,N81012,A82016,C85010,A84018,N81041,N81007,B83020,A82030,Y04925,N81623,L85024
2015-01-01,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,,3,13,2,8,,,,,,,,,,,,,,,,,,,,,
2015-03-01,2,2,,1,20,,8,11,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,3,4,,4,,1,,,,,,,,,,,,,,,,,,,
2015-05-01,3,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
2015-06-01,2,1,,3,11,,,,,1,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,6,,4,,1,,,,,,,,,,,,,,,,,,,
2015-08-01,,2,,1,,,4,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,2,,,,,,,,,13,1,1,,,,,,,,,,,,,,,
2015-10-01,1,,,1,6,,,,,,63,,,1,,,,,,,,,,,,,,
2015-11-01,,,,1,12,,,,,,24,,,,,,,,,,,,,,,,,
2015-12-01,1,1,,1,12,,,,,,,,,,1,,,,,,,,,,,,,
2016-01-01,,1,,1,6,,,,,,12,,,,,,,,,,,,,,,,,
2016-02-01,1,,,,,,8,,,,113,,,,,,,,,,,,,,,,,
2016-03-01,,,,,12,,4,1,,,28,,,,,,,,,,,,,,,,,
2016-04-01,1,1,,,6,,,,,,49,1,,,,2,,,,,,,,,,,,
2016-05-01,,1,,4,6,,,,1,1,60,,,,,,1,,,,,,,,,,,
2016-06-01,1,1,,1,,,8,,1,,64,,,,,,,,,,,,,,,,,
2016-07-01,,,,1,6,,8,,1,,50,,,,,,,,,,,,,,,,,
2016-08-01,1,2,,2,3,,,,1,,78,,,,,,,,,,,,,,,,,
2016-09-01,1,1,,1,6,,4,,,,71,,,,,,,,,,,,,,,,,
2016-10-01,,,,,6,,,,,,68,,,,,,,1,,,,,,,,,,
2016-12-01,1,,,1,3,,,,,,32,,,,,,,,,,,,,,,,,
2017-02-01,,,,1,,,,,,,20,1,,,1,,,,,,,,,,,,,
2017-05-01,,,,,12,,,,,,38,,,,,,,,2,1,,,,,,,,
2017-10-01,,2,,1,12,,,,,,18,,,,,,,,,45,,,,,,,,
2017-11-01,,2,,1,8,,6,,,,26,,,,,,,,2,42,1,2,,,,,,
2017-12-01,,1,,,8,,,,,,23,,,,,,,,,44,,,,,,,,
2018-01-01,,,,,8,,,,,,25,1,,,,,,,,48,,,,,,,,
2018-02-01,,,,,4,,6,,,,23,,,,,,,,,22,1,,,,,,,
2018-03-01,,,,1,,,,,1,,19,,,,1,,1,,,11,,1,1,,,,,
2018-04-01,,,,2,20,,,,1,,17,,,,,,,,,11,,,,,,,,
2018-05-01,,,,1,12,,,,,,23,,,,,,,1,,11,,,,6,6,,,
2018-06-01,,,,2,,,,,,,20,,,,,,,,,,,,,,,,,
2018-07-01,,,,1,16,,,,2,,5,,,,,,,1,,6,,1,,6,,,,
2018-08-01,,,,,7,,,,,,33,,1,,,,1,,,,1,,,,,1,,
2018-09-01,,,,2,,,,,,,38,1,,,,,,,,,,,,,,,,
2018-10-01,,,,,,,12,,1,,74,,,,,,,,,,2,,,,,,,
2018-11-01,,,,,12,,,,,,41,,,,,,,,,,2,,,,6,,1,
2018-12-01,,,,,8,,,,,,,1,,,,,,,,8,1,,,,,,,
2019-01-01,,,,,,,6,,,,34,,,,,,,,,32,,,,,,,,
2019-02-01,,,,,4,,,,,,1,,,,,,,,,8,1,,,,,,,
2019-03-01,,,,1,,,6,,,,,,,,,,,,,4,,,,12,,,,
2019-04-01,,,,1,28,,,,,,,,,,,,,,,,2,,,,,,,
2019-05-01,,,,2,20,,,,1,,,,,,,,,,,4,2,,,,,,,
2019-06-01,,,,1,,,,,,,,,,,,,,,,,,,,6,,,,
2019-07-01,,,,1,,,,,1,,,,,,,,1,,,,2,,,6,,,,
2019-08-01,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,
2019-09-01,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2019-10-01,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,2
2019-11-01,,,,1,50,,,,,,,,,,,,,,,,1,,,,,,,11
2019-12-01,,,,,20,,6,,,,,,,,,,,,,,,,,,,,,
