,A83040,A83066,A83003,A83001,A83037,L84041,A83050,A83009,H81644,Y05920,G84624,B81004,L81066
2015-03-01,1000,,,,,,,,,,,,
2015-04-01,500,,,,,,,,,,,,
2015-05-01,2000,,,,,,,,,,,,
2015-06-01,2000,,,,,,,,,,,,
2015-07-01,3000,,,,,,,,,,,,
2015-08-01,1000,1000,,,,,,,,,,,
2015-09-01,1000,,,,,,,,,,,,
2015-10-01,2000,,,,,,,,,,,,
2015-11-01,1000,,,,,,,,,,,,
2015-12-01,1500,,500,,,,,,,,,,
2016-01-01,1000,,,,,,,,,,,,
2016-02-01,2000,,,500,500,,,,,,,,
2016-03-01,912,,,,,,,,,,,,
2016-04-01,,,,,,2000,,,,,,,
2016-05-01,2000,,,,,,500,,,,,,
2016-06-01,,,,,,,,500,,,,,
2016-07-01,,,,,,,500,,,,,,
2016-10-01,,,,,,,,,500,,,,
2017-12-01,,,,,,,,,,100,,,
2018-01-01,,,,,,,,,,,450,,
2018-04-01,,,,,,,,,,,,12,
2018-06-01,,,,,,,,,,,,,1140
