,B84005,B85634,M83001,C81045,K81022,C81029,C81041,J82052,B85059,C81056,C81024,J82017,P81061,F81741,J82046,J82056,Y04995,J82220,C81067,H83006,L84006,H81087,P81123,B85033,L82025,J82633,K81092,J82077,B84019,J82136,P82633,Y00612,K81025,J82094,J82103,K81003,P89003,C82044,Y00433,J82069,J81054,A82015,P81160,H83015,A82020,G85011,G85054,J82079,E81057,A82058,G85125,Y05249,G85118,K81605
2015-01-01,100,200,200,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,100,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,100,,100,100,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,,,,100,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,100,,100,,,100,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,100,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,100,,,,,,100,,,,100,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,100,,,,,,,,200,,,,,300,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,200,,,,,,,,100,,,,100,,,,126,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,,100,,,,,,,,100,,,,100,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,,,100,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-01,,,,100,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-01,,,,100,,100,,,,,,,,,,,,,,,,,100,100,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,,,,100,,100,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-01,,,,100,,,,,,,,,,,,100,,,,,,,,,,,200,400,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,,,,,,,,,,,,
