,L84041,E81013,J82034,A81057,M84047,C82026,P85605,E82643,H85116,C82046,N81060,G85082,P92621,F84062,C82023,Y01291,B83052,C82038,G85685,J82089,J82145,C82063,P87002,Y00825,M81064,K82076,B82057,B81063,P88025,A83014,M87620,E82014,F81136,B82020,M81068,J81076,F81076,E85050,C83003,M83001,H85076,Y01924,F86001,E81052,A82008,H84608,M83044,C82043,C83026,E82012,M81074,H81070,D83059,D81039,D81633,M83050,M81021,M91612,B83642,Y02567,L84051,B85006,B81005,M84036,J82074,L85026,C82080,A83045,B83033,C82047,C82003,Y03506,B86633,G84033,C82096,C82073,N81089,C81070,M85092,F82051,N82099,M92011,C83031,J82115,Y03402,N83028,J81003,M81019,M83129,L85039,C82660,C81083,D81011,M83127,J81021,C82024,P82003,M81047,Y02735,M81094,E87003,A81030,N81634,C83045,M92024,F81749,F85072,E84706,C82094,C82037,C82650,F84711,J82061,F81679,M85100,F81683,B86061,L83035,G82769,G81034,A83043,P81031,G82160,C83029,M81091,P91016,E85723,M89027,E82641,A84009,B81031,M87018,A81027,D82006,D81029,C82012,F84034,C82121,L81010,F81152,B85641,N82037,P92003,N83013,M83700,F86025,P92026,Y00527,A89019,P89006,G81032,G81086,B81038,D81013,M81015,M85624,G81677,K84017,P82008,N81016,C88047,F86679,J81058,F82017,B86016,B85024,C82054,M87628,A84021,N83605,B83049,G82014,F84647,P81119,P91604,N82662,B82060,B81027,J83018,M81040,C88656,B81054,C81065,G85135,D82059,C84024,M83070,J82139,P91006,Y03836,B83604,M86027,Y00280,H83034,N82623,F81060,C82050,Y01221,E81029,K82065,E82115,J82019,A86030,M81034,A86037,M85026,H82045,E85064,Y01838,L83029,G85051,E85055,B85030,H81618,P81032,A83635,L84021,F81044,F83032,G85083,C82022,M85178,M83715,M81020,C82081,C84094,Y02164,N83001,C84019,M92009,E81046,M83017,M88645,K84001,N82041,A83007,B85041,N82066,F86007,K83052,H82095,M81082,H85038,F84054,F81023,P89025,C83041,C88010,Y03574,H84032,G81017,C83032,Y03909,H85018,C82071,B84006,B81004,F86010,B84612,M81616,C83074,D81026,M91029,B87006,J82138,B82063,M85024,C82009,B81051,Y02589,G81037,H85031,C82021,M88001,B82031,M91008,J81054,B81007,A81036,B81677,E85739,B83628,M85029,B87030,Y04882,D81020,Y00868,N81053,Y01948,P88624,G82052,Y01138,D83041,Y02671,Y02511,C82671,Y02721,C82680,M85128,P91019,C82051,L85030,E87063,G82125,B81046,B84009,E82100,J82183,L84075,B86064,D83038,Y02469,C87022,P88043,C82070,G85118,C82109,C82035,B81112,H82092,C84605,J82187,L81039,L83068,C88096,C82643,A81629,F85030,D83046,G82025,B81109,C86605,M85028,N83635,K83017,Y04094,M84029,C81002,M83079,F83012,Y02636,N84015,P86004,M92043,M86039,Y02736,M87023,M85699,K82037,N81122,K83050,C82114,D81082,C82667,E85060,H81026,M92013,E84015,N81096,B81039,F84087,J82663,K81066,D83067,F86018,B82098,C82011,J83007,K83621,P84030,A85008,G85105,B81037,C82100,A82030,M85019,P92019,K83008,G81023,E81011,N81651,J81059,H82037,Y02162,E84048,L83046,P88021,A82016,A83076,M85159,F81067,B86678,M85108,M89026,Y02606,M81010,J81041,C83635,C86613,M85116,N82009,C84032,N82050,C81028,B86002,C82010,H82070,L83057,M92028,M81070,E85040,B84618,C85010,D83048,P81212,Y02838,C87020,M91009,C86033,P81055,C82099,N82676,M82031,E82019,E82025,Y00445,C82031,B81026,M84609,M85085,B81617,F84702,M83616,B81118,M81605,C83007,B85042,C88045,M81608,B81045,N82095,A83040,B81030,K83006,P81077,E81001,J82017,F81105,B86019,P89023,B81065,A88002,B82083,M85020,M81636,P85016,G81055,F81016,P91007,J82178,N82003,N83045,N82019,E85718,M81002,Y01719,B81024,L83006,F81216,C82013,P92016,M81022,N82062,F85002,M91034,H85012,P83025,M81046,E84057,M89028,N81065,B81077,C81661,B82628,B85620,N82090,L83025,J81062,C82042,B82026,J82180,M85018,M85124,B81061,B81688,K84610,B86004,F81097,M92010,N81114,F85650,Y02823,F84714,B84613,B81035,P87036,M86028,Y02686,M81627,C86029,A84002,B81016,Y00026,P83009,Y02669,E84014,Y01794,Y00384,B83050,D82005,C81081,F84658,D82012,B87011,N85012,C82072,M81037,H85001,B81101,B81042,D81618,C82027,H85005,B81013,P84651,H81021,B83641,K83079,N81111,E81041,F85025,P81129,Y02352,Y00312,Y02330,M81075,D82099,K83007,E85007,F83006,B86055,B83040,Y02627,C82019,B86047,H81069,F81623,K82013,Y02322,B82038,F84692,M86034,B86059,P84650,E86027,F84039,C86019,P83017,H81051,B85031,D81022,A81037,B86023,N82024,B86030,L85064,M86004,P91003,A81002,P83024,B81048,C87616,L82042,F84730,Y03949,C84018,C82044,E83045,C84078,A84006,M85177,M92042,A86017,G82221,C81068,E84635,B83021,N81642,D81603,N84041,L85024,J82002,B86666,B81100,E82089,E84707,B86654,F82008,M83141,G85044,M92019,F83020,A81001,G82225,A83044,K83618,M92044,G82186,E82099,M83140,Y05857,B86094,D82066,H82040,K81636,M89009,Y00159,N81033,H82066,P83605,E82117,H81037,B85634,G85026,B86048,Y01839,N81014,M82047,C88049,B81642,D81043,C82033,M81061,D82063,F81090,B86008,F81027,A89018,J81012,M85087,C82656,C86024,E83621,F86638,H85105,E87681,C82077,H81087,H85070,K83012,B86089,C83054,M91004,N83014,Y00155,B82036,B81006,B86081,G81035,M92012,M81078,B81068,E83038,P84043,C85623,M83723,C82045,K82006
2015-01-01,23,8,6,6,2,35,15,1,90,28,40,120,5,28,20,18,1,84,3,56,56,28,16,1,66,8,5,28,4,5,21,60,10,17,1,8,10,28,28,21,1,1241,12,2,7,42,42,30,1,56,14,12,24,3,12,10,28,28,30,84,2,30,28,28,45,30,20,12,15,29,5,6,28,12,30,41,15,10,16,42,28,20,14,20,30,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,10,,6,,35,,,,,50,,,28,,14,,84,,28,96,28,,,,8,5,,,,21,60,10,17,1,,,,28,21,,1455,12,,,42,,,1,28,14,12,,,,,56,,15,,2,,36,28,45,30,10,,,,20,,28,,,,,,32,42,28,32,,,60,56,6,28,10,3,1,28,10,28,10,134,1,12,1,30,56,28,28,32,20,28,16,30,24,33,30,8,70,4,32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,,,6,,,35,,7,30,28,30,60,,,,14,1,84,3,,68,28,,,,,,,4,,,60,10,,1,8,10,28,,42,,1437,12,2,,56,,74,,,14,,24,3,,,28,,,28,2,60,,28,,30,20,12,,28,5,,28,12,,,,,16,42,,40,,,,112,,,10,,,,,,,,1,12,,30,,28,28,,20,,16,30,20,84,30,,56,4,28,,20,4,84,4,60,30,6,2,10,112,12,1,1,30,6,84,2,28,4,10,100,28,14,4,2,30,12,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,,,6,,35,,,60,,30,60,,,,14,,56,3,,68,56,16,,,,,,,,,60,,34,1,8,10,56,28,84,,2298,17,,,,,30,,28,14,,24,3,,,28,,,,2,30,,28,45,30,,12,,56,10,6,56,12,,,,,,42,28,,,10,24,56,6,,10,,,,,,10,,,,,30,,14,28,,,,,,8,,,,,4,32,,,,,,,,3,,,224,,,,30,,56,,,,,,,,,1,,,90,5,56,3,4,28,16,1,1,16,6,28,1,1,2,9,2,28,28,20,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,6,,,35,15,,60,,30,25,,,,28,,28,3,,96,56,8,,,8,,,,,,,,17,,8,,,28,56,,1886,12,2,,84,,,,28,14,,,3,4,,56,,15,56,2,60,,56,45,30,10,24,,,5,,56,12,,,,,,42,,40,,10,,112,,,,,,,,,1,,,,,30,,28,,,20,,,,12,,,,,1,28,,,,84,,,,3,,,140,,,,30,,,,28,,10,100,,,,,,,,,,,,,,,,,12,28,,,,,,,,,,,1,14,8,6,30,3,1,5,1,28,1,4,56,56,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,,6,,,35,,,30,,90,85,,,,56,,112,3,,117,28,,,,8,,,,,,120,,17,2,8,,28,28,56,,2033,,,,56,,,,28,14,,48,,,,28,,45,56,4,30,,,65,30,,,,28,15,6,28,12,,,30,,16,42,,40,,,,56,6,,,1,,56,,,,,,,,,,14,,,10,,16,,12,,,,84,1,,,,,,,,30,3,1,,140,4,,,,28,,,,,,,,,,4,,,,5,,,,,16,,,,,28,,,,,,,,,,,,,,,,,,,,56,,,56,,8,22,1,16,24,6,5,20,28,28,6,15,1,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,,,35,,,,,60,60,,,,14,,56,,,56,28,,,,,5,,,,,,,17,1,,8,,28,28,,1667,92,,,275,,,1,56,14,,,12,,,28,28,15,28,,30,,28,45,30,1,24,,28,20,,28,12,,,,,16,42,,,,,,,,,,,,,,,,,,,,,,,,,10,,16,,,,,,84,1,28,,,4,84,,,,3,2,,196,20,,,30,28,,,28,,,1,56,,,4,,,,,,,,,,,,,6,28,,,,,,,,,,,,,,,,,,,,,,,,,24,15,2,16,,,,,,,,,,8,28,28,28,10,2,14,9,14,30,30,10,2,14,6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,,,,,,30,,30,60,,,,15,,56,6,,84,,,,,,,,,,,60,,17,,16,8,56,28,56,,2081,12,2,,56,,,,28,28,,24,12,,,28,,,,2,60,,28,,30,,,,,25,,28,12,,,,,,84,,,,20,,,,,,1,,28,,,,,,,,,,28,28,,10,,,,,,,,,1,32,,,,,,,30,3,,,84,20,,,30,28,,2,,,10,,28,,,4,,,,,,,,,16,,,,6,28,,,,,2,,,,,2,,,,,,,,,,,,,,,8,15,2,,,,5,10,,28,,15,1,8,28,,14,,,,11,,,,,,14,,,2,,1,10,28,30,5,1,1,30,20,12,7,10,20,10,30,29,112,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,6,,,,,,30,,30,25,,,,37,,84,3,,192,56,,,,,,,,,,60,,17,1,,8,,,56,,2007,48,,,216,,,,28,14,,,6,,,28,,15,,,30,,28,,30,15,12,,28,25,,28,24,,,,,,42,28,20,28,,,,,15,,1,,,,,10,,,,,30,,14,,,35,,16,,,,,,56,2,32,1,,,,,,30,6,2,,,40,,,,,,,28,,,,,,,4,,,,5,,,,,,,,,,28,,,,,,,,,,,,,,,30,,,,,,,,56,,23,30,,16,,,,10,,,,15,1,8,,,,,,,,,,,,,14,,,,,,10,,,,,,,,6,7,,,,,28,28,,14,24,4,2,3,28,24,8,1,15,10,30,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,15,,30,,30,,,,20,28,,84,3,,28,28,,,,8,5,,,,,60,,17,,8,,28,,42,,1454,,,,266,,,,,14,,,6,,,28,,15,,,30,,,98,30,,12,,28,15,,28,12,,,,,32,42,28,,56,,,,18,,,1,,,,,,,,,,30,,14,,,10,,16,,,,,,56,,,,,,84,,,,3,,,140,,,,,,,,,,,100,,,,4,,,,,,,,,16,,,,4,,,,,,,28,,,,,,14,,,,,,,,,,,,,16,15,,,12,,,,,,,,,8,,,44,,,,9,,,,,2,,,,,,,16,,,,,,,,6,,,,,,,28,,,2,,,1,,,,,15,,,,48,14,13,30,28,42,28,72,30,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
