,P81078,D82064,G82094,K84015,L81079,D83010,A82631,M83680,G82050,K84009,D82034,L82013,Y02669,K83049,F81149,M81067,J82119,D81038,F81133,E81036,A82023,F81044,K82057,A82057,C82038,C82051,B85011,G82025,G82143,D81010,E81024,E82620,F81210,J82106,C82055,K83065,M82025,M84006,D81049,Y03051,C85004,L82056,A82021,A83046,C81063,A83035,G82093,E81033,D82031,D83006,N81032,D83619,F81076,J82064,D83049,D81058,Y02725,M85058,C82014,K83028,H82031,D82053,A84022,D83011,D83035,H81007,L82029,C82017,D81027,D83037,H82032,K84003,L83097,J82136,F82625,M82009,D81039,A82013,L85038,A84007,M83050,B82086,D82104,Y02463,J82134,M83074,K84023,Y00078,F81130,F81132,K81047,D81637,D83034,G82215,D82006,D83043,D82037,B82033,J82124,H82069,F83063,B82044,D83057,D81031,G82085,D81612,D82016,M81009,E81057,D81043,Y02568,B81647,L83105,C81032,D82050,B82007,H82078,M86004,N81077,F81035,D81048,D83007,M81018,C82077,D83026,E82094,C81062,D83036,L84037,F81022,G82777,D83029,H81044,E82011,C81037,G82114,J82099,B82075,B82042,C84001,J82131,P81087,K84038,A82024,C81039,P81100,D83027,M82620,K83031,F81028,L84051,D81081,J82009,K83032,D81070,J82039,A82038,J82150,K84031,P81029,F81020,C82039,E81003,D82039,C84042,J82143,K84002,D83060,B85054,F81195,K84040,D81041,B82105,C84017,D81084,K83055,M85034,K84071,M83065,G82732,N81038,L83663,K83064,N81002,M89017,G82186,J83060,N81614,E81050,C86623,L82057,L85033,J83019,J81620,M81074,C82016,D81051,D81087,C82624,K84022,H85048,D82029,D83033,A82003,H81035,M81605,A82012,F81055,K84058,J82094,D83080,K83017,H81060,C83063,L83129,Y00523,A82014,A82033,M89012,J81006,D83069,D81009,G81073,E82080,Y02422,L83020,B81036,J83057,B82002,M81048,B82063,G82074,B82061,D83016,A84025,H81091,F81038,E81074,A89021,L82054,D82058,Y02421,M82019,E81035,L83044,C82078,C87620,H82095,D83021,D82057,L83123,Y02628,D82063,L83048,P81620,A81618,C82123,B82030,B87016,C83035,L83042,D82044,B82032,J82074,H81031,C82047,C83017,K83620,D83017,Y02476,C81025,A84008,L82012,B82622,D82056,K81041,K82049,F81105,F85069,C81110,P81059,D82022,L84043,D83028,D83079,G82111,J83030,C82095,M89015,A82620,G82790,D82078,H82055,D81014,Y01968,M82604,H82070,J82218,M82050,M82046,L84080,D81054,P81017,K83023,D81061,D83055,J83045,K81076,C83030,L81034,J81022,M82030,A83043,F81068,J83038,M86018,C83026,M82619,L81012,D82042,F81116,C81115,D82100,D81633,K84046,L83054,J83603,E84024,D82028,A82074,G85089,L85009,D82105,K84613,L81019,M84069,G84017,F81100,A83036,K83052,L82048,D81016,C84021,Y02847,J83629,D83070,J82051,J81014,F81114,M85753,F81049,C84049,D81046,D82009,C82027,F81015,C81114,D81042,H81077,D83003,F81061,D83019,L82045,K84016,D81085,H85041,G82120,M81029,M83016,L81600,A82036,C81082,G82235,J81040,A82650,G82112,C81097,C83083,M82041,K82615,N82657,C82623,F81173,J81065,L82058,C88023,C84028,B83021,P81643,E85636,L83049,E81072,A82613,E81043,Y05080,B83027,D81619,D83022,K82007,G82053,B82072,H81021,F82642,B82046,E82001,D81025,P81778,B82068,B82012,N81006,A82608,E84009,F82660,L82037,H81052,B82053,L83067,E81022,D83053,K83068,L83007,D81035,M85048,D81060,B81005,L84072,G81614,D81050,B86010,L81065,K84037,K83066,G82055,H82030,M84620,K84075,A82006,L85004,K84030,E82072,M83097,B82619,K84033,H84043,A83634,M92044,L82015,C81086,A86023,C81013,C83643,L82622,D83076,J84010,C82002,J83014,G82017,A86030,H85095,G81051,M82021,L82620,J83004,E82064,L85003,E81007,H85027,E81012,Y02900,L82035,C84065,H82022,C83024,L83079,A82029,Y00252,F81144,D82059,G82667,F81126,D83009,A82026,P81734,Y02868,N81095,M85066,C82012,Y02759,A82070,L84058,G82164,F81131,M86005,M84042,L81131,G82158,N81031,D82001,K83019,K82067,A83022,K81052,D82070,F81214,C84008,Y03432,Y02532,A82046,F81006,L85005,E81044,Y00293,Y02778,M84062,N81026,B85018,P89014,J83002,L84027,J81050,K83009,A82031,J82008,L82004,G82118,C84048,C82034,K81012,P81063,C81016,L81013,M82008,F84124,B82057,B86006,D82030,A82068,C81049,M82056,D81012,J83055,D81044,F81683,F81757,J82097,B82045,L81010,B81026,D81028,M84018,F81108,C83047,D81074,M83013,C81076,Y01924,C82048,N84617,G82024,H81085,A89016,E85064,L82003,P88002,C87016,E81040,K83011,Y02769,D81059,M83117,Y01812,D82088,A81610,Y05118,F81023,B86033,A84016,B82023,Y02423,C88051,J82089,N85024,E81002,A81034,E84053,J82034,P85017,Y02666,D83054,Y04085,D81018,E85020,M85136,J81073,G81077,A81058,K84082,H82091,L84028,F84070,D82072,A82055,N81102,B85062,K82617,N85044,E81077,F81215,D81030,J82201,H81088,L82036,F81123,A83618,F81183,M88004,G82200,D83050,A84040,K82021,K81055,K82016,B82031,K84052,N81075,Y05696,H85114,C81067,C83064,E82104,K83080,J82007,L81085,Y02751,F81119,J82069,Y05944,G81025,D82035,L83038,L83018,D82036,C87002,N81021,F84062,N85648,C84059,L84030,N83054,B83624,G82730,N81033,F84658,G82027,L84010,B82005,L83100,M81016,B82020,D81013,E84061,L81071,C82062,Y03921,C82009,B85020,L83125,P91604,D81611,M81041,D82018,J82016,H81084,B82059,M82060,L85001,B81617,Y05286,C83617,C83019,H82060,D82084,M86032,P81073,E82022,F81030,B81031,E81038,M81091,C82076,Y01922,P82002,B85636,P81042,D81022,H81101,B82025,L84077,D82049,Y01285,F86664,G82751,C84112,P81069,L83137,L81072,D83047,D82106,C88026,C82022,M85079,D81606,J82049,P89017,L83035,Y01929,A82049,P86022,M81054,D82023,K84013,M83062,B81628,L83088,E81019,J81009,L83019,D83041,H85051,J82019,N81014,F84096,H82027,L84018,E85007,D82087,H81019,B86015,Y02854,M85061,F81751,D82011,F81635,Y00090,P89005,M88006,D82038,A82005,C82663,E85055,F81051,K84055,C83023,J82112,C81042,Y02333,L83026,C84024,M91020,L83016,C82109
2015-01-01,4,1,4,3,2,1,1,1,20,2,1,1,7,1,1,1,3,1,1,3,1,1,4,1,7,1,1,1,1,1,1,2,1,1,2,1,1,2,1,3,6,2,1,2,1,1,2,1,2,3,4,1,1,2,1,1,5,1,2,1,1,1,2,1,2,2,13,2,2,3,10,1,1,1,1,10,1,1,2,1,2,3,1,5,1,1,1,1,2,2,1,2,1,1,1,10,2,3,1,1,1,2,1,2,2,1,1,1,6,4,9,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,3,,2,3,1,,,,,,,,,2,,1,3,2,,,1,2,2,,9,1,,,2,,1,2,,,4,,,,,4,4,,2,,,1,1,,,,2,,,1,1,,3,,2,,,,1,,1,,3,1,,,,2,1,1,,,,2,13,,,1,,,,2,,1,1,,,,,1,3,,,1,,1,,2,,2,1,1,,,2,4,4,,2,,1,2,1,1,1,1,1,1,2,1,5,1,2,1,2,1,1,1,1,1,4,1,1,2,3,2,1,1,1,1,1,15,1,1,1,2,1,1,1,1,1,5,20,2,1,1,18,2,1,2,1,1,2,3,1,2,1,1,1,2,2,1,2,3,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,4,1,,4,2,1,,2,,,,,7,2,,,3,,1,,,2,1,,11,3,,,,,,,,,6,,,,,,,,2,,,,,,1,,1,,,1,2,1,5,,9,3,,,3,,5,,3,3,1,1,,2,,2,,,1,4,,,,1,2,1,2,4,,,,,,2,1,4,,,,1,,,,,1,2,2,2,,,4,9,9,,2,,,1,,1,,,,,1,,,,,1,1,,,3,,1,,1,,,,1,,,,,,,2,1,,,2,1,,2,,,,,,2,1,,,2,,,,,,,1,,3,2,1,,1,,1,,,,,,3,1,2,1,2,1,1,1,1,3,1,1,2,1,1,1,1,1,1,5,1,3,2,10,1,4,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,1,,2,3,1,,,,,1,2,,2,,3,,1,3,3,2,,2,,,14,3,3,,1,,,,,,1,,10,2,,,2,3,2,,,,1,,,,,,,,,,,,1,3,1,,1,,,2,,5,2,,,,,1,,1,1,,4,1,1,,2,,1,4,,,2,,,1,,2,2,1,,1,,,3,,,,1,,,,4,,2,,,,,1,1,1,1,2,,,2,,1,,,1,,,,2,,1,2,1,,,3,1,,,,,,,,,,1,,,,,,,,2,,4,1,,,,,,,2,,,,,4,2,1,,1,,,,1,,,,,,,,2,,1,,,2,1,,,4,,,,,,,,,1,,,,,1,,,,1,4,2,,,1,,,,,1,,,,,,2,1,2,3,10,1,1,10,1,1,1,1,2,1,2,29,5,5,2,2,4,1,1,1,10,1,1,1,2,3,1,2,1,1,2,1,2,1,19,10,1,1,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,3,,,,2,,1,2,,,,,,2,2,,2,1,1,,,1,6,,8,1,,,,,,,,,,,,,,2,,,2,,,1,2,,,2,3,,,1,,,,,,,,,1,,,,,5,,1,10,2,2,4,1,,,1,,,,,,,3,3,3,,,2,,1,,3,1,,,1,,,,,2,,,1,2,,3,4,7,2,,,,1,,1,1,,1,,,,,,,,2,,,2,,,,3,,,,,1,,,,,,1,5,1,,2,,5,5,,,,,,2,1,,,,,,,,,,,,1,,3,,1,,,,,,1,,,,,,2,,,,,2,,,,1,,,,,1,,,,,,1,6,,3,,1,,,2,1,1,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,,8,,,,,1,,1,,,,,,,2,,,,,,,,1,,1,,,,,,,,,5,3,2,1,2,1,10,2,3,1,4,1,1,1,1,1,2,1,1,2,2,1,1,1,7,5,1,1,1,10,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,2,1,1,,1,1,,,,,1,1,,1,1,,1,,3,3,1,,1,,8,2,,1,1,,1,,,,5,,,,,1,,2,,,,,,1,3,,,,,1,1,2,,,4,,,1,,,2,,9,4,2,,10,1,,6,,1,4,2,,,,,,,2,2,,,,,4,1,,5,,,,,,,,,,6,2,,1,,1,,8,,3,,,2,,,,2,2,1,,1,,,3,2,,,,2,,3,,,,,,1,1,,2,,,,4,,2,1,2,,4,,,,,,,4,1,1,,,4,,,,1,,,,1,,1,,,,,,,,,,,,1,,,,1,,1,2,,,,1,,,,,,4,,,,5,,8,,1,1,1,,,,1,,,,5,,,,,,,2,1,1,1,1,,,,,,10,1,2,,1,,,2,,5,,,1,,,,,,1,,,,,2,,,,,,,,,,,,,1,,,,,,,1,,1,,,,1,3,,1,,,,,,4,,,,1,,2,,,,,,,,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,2,5,1,1,20,1,1,2,1,1,2,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,3,,,2,,,,1,,,2,,,2,2,,5,2,1,3,,1,1,,14,3,4,,,3,10,,,,2,,,,,2,1,2,1,,,1,1,,,,11,,,,,2,,,3,,,1,4,,3,2,3,4,,,10,1,3,,,,1,3,,,,,,,,,,,,,,,2,2,1,1,1,3,2,1,,1,1,2,,,,,4,,7,,,,,2,,2,,,1,1,,,1,,,2,2,,,2,,4,,4,,,,2,1,,,,,,3,2,,,1,,4,,,,,,,10,5,,1,,,1,,,1,,,1,2,1,3,,,2,2,2,,,,,1,,,1,,,,,3,4,,,,3,,,,2,,1,,,1,,,9,,,,1,,,2,,1,,,6,,,,,,,1,,,,1,,,,1,,,,1,,1,,,,,5,,,1,,,,,,1,,,2,,,12,,,,,1,1,4,,1,,,,1,,,,3,,1,,,,,,,2,1,1,,,,,1,2,,,1,1,1,,1,,,,,,,1,,,,,,,,,2,,,4,,,,1,,1,,,,,,1,,,,,1,2,,2,1,1,1,1,1,1,1,1,3,1,2,2,4,1,1,1,1,1,2,2,5,1,5,1,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,3,1,1,6,,,1,2,,,,2,,1,1,,,,,3,,,2,,8,,,1,,,,,,,,,1,1,,2,1,,,,,,2,,2,,,,,,1,,,,2,1,,,,,5,,7,,1,2,,,3,5,1,1,1,,,,,1,4,1,1,,1,,,,1,2,,1,,,,32,,1,,,,,1,1,,,1,4,7,2,,,,,,,1,,1,2,,,,,,,2,,,,3,1,1,1,,1,,,,1,4,,,,2,1,1,1,,1,3,1,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,2,,,,,,3,3,,,1,,,,,,,,,,4,,,5,,2,,,,,,1,,,,,1,,,2,,,,,,1,1,,,,1,,10,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,1,1,,,,,,,,,,,2,,2,1,,,,,,2,,1,,3,,,,,,,,,,,1,,,,,,,2,1,,,2,,,1,,1,,,,,,,,,,1,,,4,,,,,1,,,1,,,,1,,,,,,,,1,,,,,,,,,5,1,5,1,1,2,2,2,1,2,2,10,1,1,3,2,2,10,6,4,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,1,4,1,,1,2,,,2,,,1,,,1,1,1,2,,2,2,,6,3,4,,,,1,,,,2,,,1,,,,4,,,,,1,1,,,,,,,,2,,,3,1,,1,3,,8,2,1,3,1,,,1,3,7,,,2,1,,1,,1,,,2,,,,4,,,1,,,1,,1,2,,5,,,,5,,,,2,2,,10,,1,,,,,,,,,,1,,1,,,,,1,,,1,2,,2,,,3,1,,2,1,,,,1,,1,3,,1,,5,,,,,,1,2,,,,,,,,,,,,3,,2,,1,,1,1,,,,,,,,,,,,,,2,,,,4,,,,2,,5,,,2,,,4,,1,,1,,,,3,,,,1,,,,1,,,,1,,,1,1,,,,,,,1,,,,1,1,,5,,,,,2,,,,,,,2,,,,,,,,2,,,,3,,,1,,,,,,,,,1,,,,,6,,,1,,,,,1,,,,,,,3,,2,,,,,2,,1,,,,,,,,,,,1,10,,2,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,2,2,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,2,,,1,,,,,,1,10,2,1,1,1,2,1,1,10,2,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,4,3,2,,,,,,1,,,,1,,,,3,5,,,1,,11,3,1,,,,,,,,,,,1,,1,1,,,,,,,1,,2,,,,,,,,,,2,,,1,,,,2,,2,1,,,,5,,1,2,,,,,1,2,,,,,,,,,1,2,2,1,11,,10,,,,1,,,2,,,,2,,10,2,,,,,1,,1,,,,1,,1,,,3,,1,,,1,1,,1,,,,1,,,,,,,1,,1,,,,2,1,,1,20,,,1,,,,2,,,,,,,,,2,,1,,,,,,,,2,,,1,,,,,,,,2,,,2,1,1,,,,,,,,1,,,10,,,,,,,6,,,,2,,,,,1,,,2,,,,3,,,,,,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,3,,,,,,3,,,,1,,1,,,,1,,,,1,1,,,,,,1,5,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,10,,,1,1,,,,,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,,2,,,,2,1,,1,10,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
