,C82062,C83631,H85680,M84006,G81084,F81053,M88005,H82026,K81644,G81077,F85019,G81050,G81033,G81030,Y03051,M83117,G81658,P81055,F85063,Y02625,C84047,A89013,L85015,G82031,H83012,G81027,H83037
2015-04-01,10000,500,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,500,500,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,500,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,500,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,500,500,,,,,,,,,,,,,,,,,,,,
2016-01-01,,,,,,1000,,29464,1000,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,500,500,,,,,,,,,,,,,,,,
2016-03-01,,,,,,,,,,,,3000,5000,,,,,,,,,,,,,,
2016-04-01,,,,,12000,,,,,,,,,500,500,,,,,,,,,,,,
2016-05-01,5000,,,,,,,,,,500,,,,,,,,,,,,,,,,
2016-07-01,,,,,,,,,,,,500,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,,,,500,,,,,,,,,,,
2016-11-01,,,,,,,,,,,,,,,,,500,500,,,,,,,,,
2016-12-01,,,,,,,,,,,,,,,,,,,7500,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,2000,,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,500,,,,,,,
2017-10-01,,,,,,,,,,,,,,,,,,,,,500,,,,,,
2017-11-01,,,,,,,,,,,,,,,,,,,,,,500,,,,,
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,1000,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,,,,1000,,,
2018-02-01,,,,,,,,,,,,,,,,,500,,,,,,,,,,
2018-03-01,5000,,,,,,,,,,,,,,,,,,,,,,,,500,,
2018-05-01,,,,,,,,,,,,,,,,,500,,,,,,,,,,
2018-09-01,,,,,,,,1000,,,,,,,,,,,,,,,,,,,
2018-10-01,,,,,,,,1000,,,,,,,,,500,,,,,,,,,,
2018-12-01,,,,,,,,1500,,,,,,,,,,,,,,,,,,,
2019-01-01,5000,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,,,,,15000,,,,,,,,,,,,,,,,,,,
2019-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,500,
2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,500
