,L82070,M81020,A83020,C84059,F84118,J82117,C85009,H82014,D82085,B86058,N84002,E87665,E87714,Y04334,M83638,J81631,B83661,H85061,N85007,E82069,G82681
2015-01-01,1,,,,,,,,,,,,,,,,,,,,
2015-02-01,1,4,1,1,2,,,,,,,,,,,,,,,,
2015-05-01,,,,,,1,,,,,,,,,,,,,,,
2015-09-01,,,,,,,1,1,,,,,,,,,,,,,
2015-11-01,,,,,,,,,2,,,,,,,,,,,,
2016-04-01,,,,,,,,,,2,,,,,,,,,,,
2016-06-01,,,,,,,,,,,1,1,,,,,,,,,
2016-07-01,,,,,,2,,,,,,,1,,,,,,,,
2016-08-01,,,,,,,,,,,1,,,2,2,,,,,,
2016-09-01,,,,,,,,,,,2,,,,2,,,,,,
2016-10-01,,,,,,,,,,,,,,,2,,,,,,
2016-11-01,,,,,,,,,,,2,,,,,,,,,,
2016-12-01,,,,,,,,,,,1,,,,,2,,,,,
2017-02-01,,,,,,,,1,,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,,,2,,,,
2017-06-01,,,,,,,,,,2,,,,,,,,,,,
2017-09-01,,,,,,2,,,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,,,,,,2,2,,
2018-08-01,,,,,,2,,,,,,,,,,,,,,,
2018-09-01,,,,,,,,,,,,,,,,,,,,2,
2019-02-01,,,,,,2,,,,,,,,,,,,,,,
2019-06-01,,,,,,2,,,,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,,,,,,,,,,1
