,B82025,D82022,B87033,F81069,B83030,Y03812,B85037,Y01652,C86611,B86033,C83035,C86022,E82100,B83063,Y04099,B82008,C86018,B82057,Y03892,B82033,Y03955,C83004,M85146,B82074,B82098,B83040,B83054,B86064,C84060,Y03906,C86025,C83023,B86048,F81052,B87023,H82009,Y04113,C83044,F81094,B87015,B82032,Y03903,C87009,C86024,C83644,Y04020,B86015,B87017,C85019,C85004,B85033,B82005,Y03774,F81749,B82097,B83067,C85003,E82006,B82003,E82090,C87620,B85612,B87028,F81056,B82041,F81116,B82026,B81036,E82089,C84081,F81608,G82025,C85006,C87604,C83019,B87039,Y03762,B87027,C86029,B83050,C87002,C87029,C87007,B81088,C87030,B82083,B84623,C86609,Y03889,Y03418,B81043,C87014,Y03112,M84013,C86020,B82054,M84020,B87008,C87017,Y05290,C87622,B82092,B87001,B82063,Y03773,C87005,B82077,Y05113,C87020,C87008,B82088,B82037,Y02669,C87016,B82001,Y04019,B82073,B87022,B82038,H81109,C85016,C87015,Y06071,B87030,Y05248,B87011,B87020,C85023,C85020,C85030,C85005,C85007
2015-01-01,30,60,63,42,84,30,168,20,15,21,24,90,84,120,162,60,56,42,60,180,156,144,84,61,24,30,20,12,84,30,42,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-01,,60,42,42,,30,84,,,,,,84,60,87,,,15,54,120,138,168,,30,24,,20,,42,,,30,42,60,24,60,30,120,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,90,120,63,,,,84,20,,120,,90,84,60,114,,,15,42,140,189,,,30,9,,20,,42,,,40,,,,60,45,120,,84,60,30,15,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,20,42,42,,,84,,,,,90,84,,102,60,,5,60,120,45,84,84,30,,,20,,42,,,30,,,,60,30,120,,84,,45,,243,,15,30,30,103,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,90,,63,,,,84,,,,,90,84,,42,,,6,30,240,135,,84,30,147,,20,,42,,,30,,60,,60,48,120,,168,,,,28,,,63,,90,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,54,42,42,,,,20,15,,,90,84,120,90,,,6,24,120,152,56,,30,84,,20,,42,,,30,,,,,30,,,84,,98,,168,,,30,60,,30,54,30,12,42,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,60,63,,,,,60,,,,,84,60,105,,,,,180,150,55,84,,84,,40,,,,42,60,,,,60,,,,84,120,,,168,,,,,90,30,144,60,,42,,30,12,18,42,15,42,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,63,,,,,,15,,,90,,60,60,60,,,,120,30,54,,,72,,20,,42,,,30,,60,,,,,,84,,63,,168,,,,,90,,72,60,,,,,,,,75,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,42,,,,,,,,,90,,60,18,60,,6,,180,114,54,84,,168,,20,,42,,,30,,,,60,,,,,,41,,84,,,,30,,,,30,,,,30,,,42,,,,,3,42,30,60,63,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,63,,,,,,,,,90,,60,81,60,,18,,180,168,,,,114,,20,,42,,,30,,,,60,,,,,,,,,,,,63,180,,,60,,,,,,,,,,18,,,,,42,,,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
