,G81054,K83070,J81016,C84004,P89014,L85047,N83022,L85036,K83010,F81010,H82066,C82068,B81113,B81037,G82107,G82046,A81030,L85611,G82025,C88039,J82106,C81114,K83032,J82028,L84044,B81008,G82650,C84014,J83018,C83007,A82033,N81019,M83108,N81059,D81012,P86022,N85059,J82102,C81110,K81657,B86100,G83028,G82037,E83053,B84019,C84034,D82008,N84016,K83625,B85051,C83023,P89020,K83014,G82686,P91012,E82073,M92024,C85007,C84114,C88026,Y02085,P92012,J82143,E86001,B82044,L82018,C82052,C81070,G82665,E85681,M83097,N83028,P81070,M83681,G81102,P88009,K81102,M81016,L84073,C85020,G82076,G81051,B83028,K82010,E84068,K82064,P81683,J81620,C88021,K83026,J83031,G85028,G82231,B81688,H81020,A81618,L82008,D82068,C82051,C81048,K81655,M85087,Y04926,P89004,C81056,Y02605,J82094,E81009,B87003,C88656,J84016,N85044,L84029,N81057,M84036,B86062,A81052,F81047,C81005,Y03051,J81009,B85023,H85022,B84009,L84075,A88008,N83020,B81024,N82086,K81025,E85016,K81046,M84013,K81027,L81055,L83028,B86050,H81075,C83082,M89017,B81020,E85015,P88018,K82018,H81644,B83037,A88006,K82013,E85025,C84090,B86003,P81014,F84111,M83007,E86028,M89015,N81068,J83042,B81011,B81023,F81134,D82051,J81018,B82077,H81089,E86026,F82607,P88025,P84014,M83146,N83621,B86106,N81623,C83059,E84061,C84703,G81050,L83096,M92627,B82026,N83043,Y02663,D81043,J83636,Y01051,F85008,A85008,B83039,C81032,J82034,M82027,B86022,J81070,P86016,E82013,M81069,C82076,B86086,C84001,M86624,L83095,A89041,C83008,J82042,H81134,N85007,E82005,A81027,Y00185,D83080,M82044,P81072,H81615,Y04809,G81024,E84058,B85054,E82063,H81057,E85739,J82181,L82026,K81006,N81037,N81056,M92044,D81065,G82160,B85606,P84009,F81741,G82074,P84650,G81658,B84623,B86002,N84018,F84673,D82054,C88023,F82609,F83048,L83019,J82119,N81016,B86075,Y02890,M86007,D82104,M83009,L84014,B82080,J83006,B86089,F86034,M83070,C81002,E87045,L83137,H85662,B83033,B86051,J82005,N81032,C85023,C83020,F84657,H82059,C84005,Y00159,F81023,M83069,P92005,P81681,P82037,P85020,F84718,M81032,K84049,P88026,B86104,B86048,P84059,M85722,B86049,P82015,B83005,N83010,P81036,H81015,G84040,J81628,Y05749,J82069,F84121,B86039,B81041,K81001,H81010,G82100,J82007,M87017,D81022,N85625,B86020,K83052,L83043,M85063,P84072,J81044,C83063,J82083,J82622,H81111,B86024,P81077,C83009,M89009,A83616,B81043,B87028,J82139,F85004,H85026,F85019,M85081,B86675,N84626,C83080
2018-04-01,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,,,2,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,10,1,2,1,1,3,3,1,2,2,2,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,,,,,,,,,,1,1,1,,,,,,2,,1,3,,,8,,,1,,,3,,4,5,,,2,,,1,,,2,,1,,1,1,1,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,3,1,3,6,1,1,1,1,2,2,2,1,2,1,2,1,3,4,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,,,,2,3,,,,,1,,,,,,1,,1,1,3,2,,,,,,1,1,,1,2,4,2,2,,1,,2,1,,,2,,1,,,2,,1,1,,,,,1,,,,2,1,,,1,2,,1,,,1,,,,,,1,,3,,,,1,,2,,2,,1,,,1,,2,1,4,,,,2,,,,,,1,2,,5,,,2,2,,1,,,,,2,,,,,,,,,1,1,,,,1,,,,,1,1,1,2,4,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,2,1,1,1,2,1,2,2,2,1,2,2,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,,,2,2,3,,,,,1,1,,,,,,,1,,1,2,,,8,,,1,,2,3,,5,2,,,1,,,1,,,,,2,,1,1,,1,1,,,,,1,,,,1,,,,,2,2,1,,,1,,,,,,1,,,,,1,1,,1,,,1,1,1,,,2,,,,,1,2,1,,2,,,,2,2,,,,,6,1,,2,,,,1,1,,1,,,,,2,,1,1,,,,3,,,,,,,,,2,,,,,,,,,,2,,,,,,1,,,1,,2,1,1,1,,2,,,2,1,1,2,,,,,,,,,1,1,1,1,,,,,1,1,1,1,1,1,10,3,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,1,,,,,,,,,,,1,,,,,2,,,4,,,,1,1,1,2,,,,,,,,1,2,,,,1,,1,,,1,,,,2,,1,,,,1,,,,,,1,,,,,,,,,,1,,,,,,2,,,,,1,1,,,,,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,1,,,,,,2,,1,,1,,,,1,,,,,1,,,,,1,,2,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,2,1,,1,1,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,1,,,,,1,,,,,,,,,,3,,,,8,,,,,2,,,4,2,,,,,1,2,,,2,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,2,2,,,,,,,,,,1,,4,7,,,,,,2,,3,2,,,,,,2,,,,1,,,3,1,,,,4,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,1,1,,,1,,,3,,,,1,,2,,3,1,,,,2,,1,,1,,,,2,,2,,,,,,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,1,,1,,4,,,,,,1,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,1,,3,,,,,,1,,2,,,,2,4,,,,,4,,,,,,,,,,,,,,2,,,1,,,,,,,,,,1,,,,,,,,1,1,,,,,2,,,,,,,,,,1,,,1,1,,,,,2,,1,4,3,,,,,,1,,1,,,,,,,,1,,,,,,,6,,,,,,,,,1,,,,2,,2,,,,1,,,,,,,,,,1,,,,,,3,1,1,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,4,1,,,,,,1,2,,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,1,,,,,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,2,1,,,,,,,,,,,,2,,,,,,,1,,,1,,,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,,2,,1,,1,,,,,,,,,1,1,,,,,,,1,2,2,,,,1,,,,,1,,,,,1,,1,,,,,,,11,,1,,,,,,6,,,,,1,,,,,,,,,,1,,,,1,,3,2,,,,,,1,,,,,,,1,1,2,1,2,1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,6,1,1,,,,1,3,,,,,,,,1,,,,,,,,,,1,,1,,4,2,,,,,,2,,,,,1,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,2,,1,,1,,,1,1,,,,,,,,,,,,,2,,1,,2,4,,,,1,1,2,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,2,,,,,,,,1,1,,,,,,,1,,,,,,,15,,,,,,,,,1,,,,1,,1,,1,,2,,,,1,,,,,,,,1,,,,1,2,,,,,,,1,,,,,1,1,,,6,,2,1,2,1,2,1,2,2,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
