,C81026,M82003,P81214,F84672,L81007,M91010,Y02928,C85023,G81102,C83061,J82007,C82667,M85128,D82102,Y05290,C82043,K81051,J81069,E82075,H84033,F81123,H81003,H82058,D83026,Y05116,H85656,A89030,J82066,D82038,H82100,J83034,B82073,H81081,J81045,G83065
2015-01-01,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-01,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-01,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-01,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2016-03-01,,2,,,,,,,,,,,1,5,1,5,,,,,,,,,,,,,,,,,,,
2016-05-01,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-07-01,,2,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2016-08-01,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,
2016-09-01,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,
2016-11-01,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,
2017-05-01,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
2017-07-01,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
2017-10-01,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
2018-01-01,,,,,,,,,,,,,,,,,,,,,4,,,,,6,,,,,,,,,
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,12,,,,,
2018-06-01,,,,,,,,,,,,,,,,,,,,,4,,,,3,,,,,,,,,,
2018-11-01,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,
2019-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2019-04-01,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
2019-05-01,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
2019-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,
2019-10-01,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,2
2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
