Time period,OrgCode,ParentOrgCode,Sex,QuitStatus,MonitoringCategory,Total
2018/19,E06000001,E12000001,Female,Not known,18-34,52
2018/19,E06000001,E12000001,Female,Not known,35-44,16
2018/19,E06000001,E12000001,Female,Not known,45-59,31
2018/19,E06000001,E12000001,Female,Not known,60 and over,10
2018/19,E06000001,E12000001,Female,Not known,Under 18,6
2018/19,E06000001,E12000001,Female,Not quit,18-34,110
2018/19,E06000001,E12000001,Female,Not quit,35-44,35
2018/19,E06000001,E12000001,Female,Not quit,45-59,78
2018/19,E06000001,E12000001,Female,Not quit,60 and over,47
2018/19,E06000001,E12000001,Female,Not quit,Under 18,7
2018/19,E06000001,E12000001,Female,Quit,18-34,80
2018/19,E06000001,E12000001,Female,Quit,35-44,44
2018/19,E06000001,E12000001,Female,Quit,45-59,72
2018/19,E06000001,E12000001,Female,Quit,60 and over,64
2018/19,E06000001,E12000001,Female,Quit,Under 18,1
2018/19,E06000001,E12000001,Female,Quit CO,18-34,19
2018/19,E06000001,E12000001,Female,Quit CO,35-44,21
2018/19,E06000001,E12000001,Female,Quit CO,45-59,51
2018/19,E06000001,E12000001,Female,Quit CO,60 and over,46
2018/19,E06000001,E12000001,Female,Quit CO,Under 18,0
2018/19,E06000001,E12000001,Female,Set quit date,18-34,242
2018/19,E06000001,E12000001,Female,Set quit date,35-44,95
2018/19,E06000001,E12000001,Female,Set quit date,45-59,181
2018/19,E06000001,E12000001,Female,Set quit date,60 and over,121
2018/19,E06000001,E12000001,Female,Set quit date,Under 18,14
2018/19,E06000001,E12000001,Male,Not known,18-34,24
2018/19,E06000001,E12000001,Male,Not known,35-44,21
2018/19,E06000001,E12000001,Male,Not known,45-59,35
2018/19,E06000001,E12000001,Male,Not known,60 and over,14
2018/19,E06000001,E12000001,Male,Not known,Under 18,2
2018/19,E06000001,E12000001,Male,Not quit,18-34,36
2018/19,E06000001,E12000001,Male,Not quit,35-44,21
2018/19,E06000001,E12000001,Male,Not quit,45-59,68
2018/19,E06000001,E12000001,Male,Not quit,60 and over,42
2018/19,E06000001,E12000001,Male,Not quit,Under 18,4
2018/19,E06000001,E12000001,Male,Quit,18-34,30
2018/19,E06000001,E12000001,Male,Quit,35-44,37
2018/19,E06000001,E12000001,Male,Quit,45-59,51
2018/19,E06000001,E12000001,Male,Quit,60 and over,47
2018/19,E06000001,E12000001,Male,Quit,Under 18,2
2018/19,E06000001,E12000001,Male,Quit CO,18-34,14
