Time period,OrgCode,ParentOrgCode,QuitStatus,MonitoringCategory,Total
2018/19,E06000001,E12000001,Quit,Children's centre,0
2018/19,E06000001,E12000001,Quit,Community,415
2018/19,E06000001,E12000001,Quit,Community psychiatric,1
2018/19,E06000001,E12000001,Quit,Dental,0
2018/19,E06000001,E12000001,Quit,General practice,0
2018/19,E06000001,E12000001,Quit,Hospital,1
2018/19,E06000001,E12000001,Quit,Maternity,3
2018/19,E06000001,E12000001,Quit,Military base,0
2018/19,E06000001,E12000001,Quit,Other,0
2018/19,E06000001,E12000001,Quit,Pharmacy,6
2018/19,E06000001,E12000001,Quit,Prison,0
2018/19,E06000001,E12000001,Quit,Psychiatric hospital,0
2018/19,E06000001,E12000001,Quit,School,0
2018/19,E06000001,E12000001,Quit,Workplace,2
2018/19,E06000001,E12000001,Set quit date,Children's centre,0
2018/19,E06000001,E12000001,Set quit date,Community,1043
2018/19,E06000001,E12000001,Set quit date,Community psychiatric,1
2018/19,E06000001,E12000001,Set quit date,Dental,0
2018/19,E06000001,E12000001,Set quit date,General practice,0
2018/19,E06000001,E12000001,Set quit date,Hospital,1
2018/19,E06000001,E12000001,Set quit date,Maternity,9
2018/19,E06000001,E12000001,Set quit date,Military base,0
2018/19,E06000001,E12000001,Set quit date,Other,0
2018/19,E06000001,E12000001,Set quit date,Pharmacy,24
2018/19,E06000001,E12000001,Set quit date,Prison,0
2018/19,E06000001,E12000001,Set quit date,Psychiatric hospital,0
2018/19,E06000001,E12000001,Set quit date,School,7
2018/19,E06000001,E12000001,Set quit date,Workplace,2
2018/19,E06000002,E12000001,Quit,Children's centre,0
2018/19,E06000002,E12000001,Quit,Community,318
2018/19,E06000002,E12000001,Quit,Community psychiatric,0
2018/19,E06000002,E12000001,Quit,Dental,0
2018/19,E06000002,E12000001,Quit,General practice,84
2018/19,E06000002,E12000001,Quit,Hospital,0
2018/19,E06000002,E12000001,Quit,Maternity,0
2018/19,E06000002,E12000001,Quit,Military base,0
2018/19,E06000002,E12000001,Quit,Other,0
2018/19,E06000002,E12000001,Quit,Pharmacy,98
2018/19,E06000002,E12000001,Quit,Prison,0
2018/19,E06000002,E12000001,Quit,Psychiatric hospital,0
2018/19,E06000002,E12000001,Quit,School,0
2018/19,E06000002,E12000001,Quit,Workplace,0
2018/19,E06000002,E12000001,Set quit date,Children's centre,0
2018/19,E06000002,E12000001,Set quit date,Community,617
2018/19,E06000002,E12000001,Set quit date,Community psychiatric,0
2018/19,E06000002,E12000001,Set quit date,Dental,0
2018/19,E06000002,E12000001,Set quit date,General practice,197
2018/19,E06000002,E12000001,Set quit date,Hospital,0
2018/19,E06000002,E12000001,Set quit date,Maternity,0
2018/19,E06000002,E12000001,Set quit date,Military base,0
2018/19,E06000002,E12000001,Set quit date,Other,0
2018/19,E06000002,E12000001,Set quit date,Pharmacy,362
2018/19,E06000002,E12000001,Set quit date,Prison,0
2018/19,E06000002,E12000001,Set quit date,Psychiatric hospital,0
2018/19,E06000002,E12000001,Set quit date,School,0
2018/19,E06000002,E12000001,Set quit date,Workplace,0
2018/19,E06000003,E12000001,Quit,Children's centre,0
2018/19,E06000003,E12000001,Quit,Community,263
2018/19,E06000003,E12000001,Quit,Community psychiatric,0
2018/19,E06000003,E12000001,Quit,Dental,0
2018/19,E06000003,E12000001,Quit,General practice,193
2018/19,E06000003,E12000001,Quit,Hospital,0
2018/19,E06000003,E12000001,Quit,Maternity,0
2018/19,E06000003,E12000001,Quit,Military base,0
2018/19,E06000003,E12000001,Quit,Other,0
2018/19,E06000003,E12000001,Quit,Pharmacy,101
2018/19,E06000003,E12000001,Quit,Prison,0
2018/19,E06000003,E12000001,Quit,Psychiatric hospital,0
2018/19,E06000003,E12000001,Quit,School,0
2018/19,E06000003,E12000001,Quit,Workplace,0
2018/19,E06000003,E12000001,Set quit date,Children's centre,0
2018/19,E06000003,E12000001,Set quit date,Community,478
2018/19,E06000003,E12000001,Set quit date,Community psychiatric,0
2018/19,E06000003,E12000001,Set quit date,Dental,0
2018/19,E06000003,E12000001,Set quit date,General practice,394
2018/19,E06000003,E12000001,Set quit date,Hospital,0
2018/19,E06000003,E12000001,Set quit date,Maternity,0
2018/19,E06000003,E12000001,Set quit date,Military base,0
2018/19,E06000003,E12000001,Set quit date,Other,0
2018/19,E06000003,E12000001,Set quit date,Pharmacy,315
2018/19,E06000003,E12000001,Set quit date,Prison,0
2018/19,E06000003,E12000001,Set quit date,Psychiatric hospital,0
2018/19,E06000003,E12000001,Set quit date,School,0
2018/19,E06000003,E12000001,Set quit date,Workplace,0
2018/19,E06000004,E12000001,Quit,Children's centre,0
2018/19,E06000004,E12000001,Quit,Community,575
2018/19,E06000004,E12000001,Quit,Community psychiatric,0
2018/19,E06000004,E12000001,Quit,Dental,0
