Time period,OrgCode,ParentOrgCode,QuitStatus,MonitoringCategory,Total
2018/19,E06000001,E12000001,Quit,Bupropion,0
2018/19,E06000001,E12000001,Quit,Licensed NCP,64
2018/19,E06000001,E12000001,Quit,Licensed NCP multiple,183
2018/19,E06000001,E12000001,Quit,Licensed NCP plus bup/var,0
2018/19,E06000001,E12000001,Quit,Med plus unlicensed NCP - conc,9
2018/19,E06000001,E12000001,Quit,Med plus unlicensed NCP - cons,5
2018/19,E06000001,E12000001,Quit,None,1
2018/19,E06000001,E12000001,Quit,Not known,0
2018/19,E06000001,E12000001,Quit,Unlicensed NCP,3
2018/19,E06000001,E12000001,Quit,Varenicline,163
2018/19,E06000001,E12000001,Set quit date,Bupropion,0
2018/19,E06000001,E12000001,Set quit date,Licensed NCP,213
2018/19,E06000001,E12000001,Set quit date,Licensed NCP multiple,571
2018/19,E06000001,E12000001,Set quit date,Licensed NCP plus bup/var,1
2018/19,E06000001,E12000001,Set quit date,Med plus unlicensed NCP - conc,19
2018/19,E06000001,E12000001,Set quit date,Med plus unlicensed NCP - cons,8
2018/19,E06000001,E12000001,Set quit date,None,5
2018/19,E06000001,E12000001,Set quit date,Not known,1
2018/19,E06000001,E12000001,Set quit date,Unlicensed NCP,6
2018/19,E06000001,E12000001,Set quit date,Varenicline,263
2018/19,E06000002,E12000001,Quit,Bupropion,0
2018/19,E06000002,E12000001,Quit,Licensed NCP,69
2018/19,E06000002,E12000001,Quit,Licensed NCP multiple,209
2018/19,E06000002,E12000001,Quit,Licensed NCP plus bup/var,6
2018/19,E06000002,E12000001,Quit,Med plus unlicensed NCP - conc,15
2018/19,E06000002,E12000001,Quit,Med plus unlicensed NCP - cons,9
2018/19,E06000002,E12000001,Quit,None,6
2018/19,E06000002,E12000001,Quit,Not known,0
2018/19,E06000002,E12000001,Quit,Unlicensed NCP,1
2018/19,E06000002,E12000001,Quit,Varenicline,185
2018/19,E06000002,E12000001,Set quit date,Bupropion,0
2018/19,E06000002,E12000001,Set quit date,Licensed NCP,187
2018/19,E06000002,E12000001,Set quit date,Licensed NCP multiple,552
2018/19,E06000002,E12000001,Set quit date,Licensed NCP plus bup/var,16
2018/19,E06000002,E12000001,Set quit date,Med plus unlicensed NCP - conc,41
2018/19,E06000002,E12000001,Set quit date,Med plus unlicensed NCP - cons,15
2018/19,E06000002,E12000001,Set quit date,None,20
2018/19,E06000002,E12000001,Set quit date,Not known,8
2018/19,E06000002,E12000001,Set quit date,Unlicensed NCP,1
2018/19,E06000002,E12000001,Set quit date,Varenicline,336
2018/19,E06000003,E12000001,Quit,Bupropion,0
2018/19,E06000003,E12000001,Quit,Licensed NCP,49
2018/19,E06000003,E12000001,Quit,Licensed NCP multiple,181
2018/19,E06000003,E12000001,Quit,Licensed NCP plus bup/var,10
