Time period,OrgCode,ParentOrgCode,QuitStatus,Total
2018/19,E06000001,E12000001,Not known,29
2018/19,E06000001,E12000001,Not quit,67
2018/19,E06000001,E12000001,Quit,43
2018/19,E06000001,E12000001,Quit CO,4
2018/19,E06000001,E12000001,Set quit date,139
2018/19,E06000002,E12000001,Not known,36
2018/19,E06000002,E12000001,Not quit,39
2018/19,E06000002,E12000001,Quit,31
2018/19,E06000002,E12000001,Quit CO,18
2018/19,E06000002,E12000001,Set quit date,106
2018/19,E06000003,E12000001,Not known,24
2018/19,E06000003,E12000001,Not quit,19
2018/19,E06000003,E12000001,Quit,14
2018/19,E06000003,E12000001,Quit CO,10
2018/19,E06000003,E12000001,Set quit date,57
2018/19,E06000004,E12000001,Not known,42
2018/19,E06000004,E12000001,Not quit,79
2018/19,E06000004,E12000001,Quit,49
2018/19,E06000004,E12000001,Quit CO,10
2018/19,E06000004,E12000001,Set quit date,170
2018/19,E06000005,E12000001,Not known,14
2018/19,E06000005,E12000001,Not quit,10
2018/19,E06000005,E12000001,Quit,6
2018/19,E06000005,E12000001,Quit CO,6
2018/19,E06000005,E12000001,Set quit date,30
2018/19,E06000006,E12000002,Not known,4
2018/19,E06000006,E12000002,Not quit,24
2018/19,E06000006,E12000002,Quit,45
2018/19,E06000006,E12000002,Quit CO,27
2018/19,E06000006,E12000002,Set quit date,73
2018/19,E06000007,E12000002,Not known,7
2018/19,E06000007,E12000002,Not quit,14
2018/19,E06000007,E12000002,Quit,44
2018/19,E06000007,E12000002,Quit CO,26
2018/19,E06000007,E12000002,Set quit date,65
2018/19,E06000008,E12000002,Not known,0
2018/19,E06000008,E12000002,Not quit,17
2018/19,E06000008,E12000002,Quit,8
2018/19,E06000008,E12000002,Quit CO,8
2018/19,E06000008,E12000002,Set quit date,25
2018/19,E06000009,E12000002,Not known,11
2018/19,E06000009,E12000002,Not quit,20
2018/19,E06000009,E12000002,Quit,7
2018/19,E06000009,E12000002,Quit CO,3
2018/19,E06000009,E12000002,Set quit date,38
2018/19,E06000010,E12000003,Not known,9
2018/19,E06000010,E12000003,Not quit,4
2018/19,E06000010,E12000003,Quit,34
2018/19,E06000010,E12000003,Quit CO,17
2018/19,E06000010,E12000003,Set quit date,47
2018/19,E06000011,E12000003,Not known,57
2018/19,E06000011,E12000003,Not quit,9
2018/19,E06000011,E12000003,Quit,33
2018/19,E06000011,E12000003,Quit CO,23
2018/19,E06000011,E12000003,Set quit date,99
2018/19,E06000012,E12000003,Not known,55
2018/19,E06000012,E12000003,Not quit,18
2018/19,E06000012,E12000003,Quit,27
2018/19,E06000012,E12000003,Quit CO,20
2018/19,E06000012,E12000003,Set quit date,100
2018/19,E06000013,E12000003,Not known,12
2018/19,E06000013,E12000003,Not quit,0
2018/19,E06000013,E12000003,Quit,14
2018/19,E06000013,E12000003,Quit CO,7
2018/19,E06000013,E12000003,Set quit date,26
2018/19,E06000015,E12000004,Not known,30
2018/19,E06000015,E12000004,Not quit,13
