Time period,OrgCode,ParentOrgCode,Quarter,QuitStatus,Total
2018/19,E06000001,E12000001,1,Not known,70
2018/19,E06000001,E12000001,1,Not quit,121
2018/19,E06000001,E12000001,1,Quit,90
2018/19,E06000001,E12000001,1,Quit CO,49
2018/19,E06000001,E12000001,1,Set quit date,281
2018/19,E06000001,E12000001,2,Not known,47
2018/19,E06000001,E12000001,2,Not quit,116
2018/19,E06000001,E12000001,2,Quit,120
2018/19,E06000001,E12000001,2,Quit CO,67
2018/19,E06000001,E12000001,2,Set quit date,283
2018/19,E06000001,E12000001,3,Not known,49
2018/19,E06000001,E12000001,3,Not quit,111
2018/19,E06000001,E12000001,3,Quit,110
2018/19,E06000001,E12000001,3,Quit CO,69
2018/19,E06000001,E12000001,3,Set quit date,270
2018/19,E06000001,E12000001,4,Not known,45
2018/19,E06000001,E12000001,4,Not quit,100
2018/19,E06000001,E12000001,4,Quit,108
2018/19,E06000001,E12000001,4,Quit CO,58
2018/19,E06000001,E12000001,4,Set quit date,253
2018/19,E06000002,E12000001,1,Not known,62
2018/19,E06000002,E12000001,1,Not quit,90
2018/19,E06000002,E12000001,1,Quit,111
2018/19,E06000002,E12000001,1,Quit CO,78
2018/19,E06000002,E12000001,1,Set quit date,263
2018/19,E06000002,E12000001,2,Not known,52
2018/19,E06000002,E12000001,2,Not quit,98
2018/19,E06000002,E12000001,2,Quit,111
2018/19,E06000002,E12000001,2,Quit CO,85
2018/19,E06000002,E12000001,2,Set quit date,261
2018/19,E06000002,E12000001,3,Not known,75
2018/19,E06000002,E12000001,3,Not quit,98
2018/19,E06000002,E12000001,3,Quit,110
2018/19,E06000002,E12000001,3,Quit CO,82
2018/19,E06000002,E12000001,3,Set quit date,283
2018/19,E06000002,E12000001,4,Not known,73
2018/19,E06000002,E12000001,4,Not quit,128
2018/19,E06000002,E12000001,4,Quit,168
2018/19,E06000002,E12000001,4,Quit CO,121
2018/19,E06000002,E12000001,4,Set quit date,369
2018/19,E06000003,E12000001,1,Not known,76
2018/19,E06000003,E12000001,1,Not quit,85
2018/19,E06000003,E12000001,1,Quit,126
2018/19,E06000003,E12000001,1,Quit CO,104
2018/19,E06000003,E12000001,1,Set quit date,287
2018/19,E06000003,E12000001,2,Not known,64
2018/19,E06000003,E12000001,2,Not quit,74
2018/19,E06000003,E12000001,2,Quit,121
2018/19,E06000003,E12000001,2,Quit CO,96
2018/19,E06000003,E12000001,2,Set quit date,259
2018/19,E06000003,E12000001,3,Not known,83
2018/19,E06000003,E12000001,3,Not quit,59
2018/19,E06000003,E12000001,3,Quit,121
2018/19,E06000003,E12000001,3,Quit CO,99
2018/19,E06000003,E12000001,3,Set quit date,263
2018/19,E06000003,E12000001,4,Not known,100
2018/19,E06000003,E12000001,4,Not quit,89
2018/19,E06000003,E12000001,4,Quit,189
2018/19,E06000003,E12000001,4,Quit CO,160
2018/19,E06000003,E12000001,4,Set quit date,378
2018/19,E06000004,E12000001,1,Not known,99
2018/19,E06000004,E12000001,1,Not quit,149
2018/19,E06000004,E12000001,1,Quit,159
2018/19,E06000004,E12000001,1,Quit CO,105
2018/19,E06000004,E12000001,1,Set quit date,407
2018/19,E06000004,E12000001,2,Not known,80
2018/19,E06000004,E12000001,2,Not quit,182
2018/19,E06000004,E12000001,2,Quit,167
2018/19,E06000004,E12000001,2,Quit CO,103
2018/19,E06000004,E12000001,2,Set quit date,429
2018/19,E06000004,E12000001,3,Not known,61
2018/19,E06000004,E12000001,3,Not quit,143
2018/19,E06000004,E12000001,3,Quit,164
2018/19,E06000004,E12000001,3,Quit CO,106
2018/19,E06000004,E12000001,3,Set quit date,368
2018/19,E06000004,E12000001,4,Not known,92
2018/19,E06000004,E12000001,4,Not quit,176
2018/19,E06000004,E12000001,4,Quit,202
2018/19,E06000004,E12000001,4,Quit CO,130
2018/19,E06000004,E12000001,4,Set quit date,470
2018/19,E06000005,E12000001,1,Not known,11
2018/19,E06000005,E12000001,1,Not quit,14
2018/19,E06000005,E12000001,1,Quit,48
2018/19,E06000005,E12000001,1,Quit CO,45
2018/19,E06000005,E12000001,1,Set quit date,73
2018/19,E06000005,E12000001,2,Not known,8
2018/19,E06000005,E12000001,2,Not quit,12
2018/19,E06000005,E12000001,2,Quit,45
2018/19,E06000005,E12000001,2,Quit CO,42
2018/19,E06000005,E12000001,2,Set quit date,65
2018/19,E06000005,E12000001,3,Not known,16
2018/19,E06000005,E12000001,3,Not quit,8
2018/19,E06000005,E12000001,3,Quit,50
2018/19,E06000005,E12000001,3,Quit CO,44
2018/19,E06000005,E12000001,3,Set quit date,74
2018/19,E06000005,E12000001,4,Not known,13
2018/19,E06000005,E12000001,4,Not quit,10
2018/19,E06000005,E12000001,4,Quit,47
2018/19,E06000005,E12000001,4,Quit CO,44
2018/19,E06000005,E12000001,4,Set quit date,70
2018/19,E06000006,E12000002,1,Not known,46
2018/19,E06000006,E12000002,1,Not quit,66
2018/19,E06000006,E12000002,1,Quit,159
2018/19,E06000006,E12000002,1,Quit CO,113
2018/19,E06000006,E12000002,1,Set quit date,271
2018/19,E06000006,E12000002,2,Not known,40
2018/19,E06000006,E12000002,2,Not quit,40
2018/19,E06000006,E12000002,2,Quit,121
2018/19,E06000006,E12000002,2,Quit CO,91
2018/19,E06000006,E12000002,2,Set quit date,201
2018/19,E06000006,E12000002,3,Not known,30
2018/19,E06000006,E12000002,3,Not quit,42
2018/19,E06000006,E12000002,3,Quit,137
2018/19,E06000006,E12000002,3,Quit CO,100
2018/19,E06000006,E12000002,3,Set quit date,209
2018/19,E06000006,E12000002,4,Not known,25
2018/19,E06000006,E12000002,4,Not quit,61
2018/19,E06000006,E12000002,4,Quit,152
2018/19,E06000006,E12000002,4,Quit CO,110
2018/19,E06000006,E12000002,4,Set quit date,238
2018/19,E06000007,E12000002,1,Not known,18
2018/19,E06000007,E12000002,1,Not quit,22
2018/19,E06000007,E12000002,1,Quit,230
2018/19,E06000007,E12000002,1,Quit CO,82
2018/19,E06000007,E12000002,1,Set quit date,270
2018/19,E06000007,E12000002,2,Not known,19
2018/19,E06000007,E12000002,2,Not quit,35
2018/19,E06000007,E12000002,2,Quit,182
2018/19,E06000007,E12000002,2,Quit CO,70
2018/19,E06000007,E12000002,2,Set quit date,236
2018/19,E06000007,E12000002,3,Not known,38
2018/19,E06000007,E12000002,3,Not quit,52
2018/19,E06000007,E12000002,3,Quit,190
2018/19,E06000007,E12000002,3,Quit CO,56
2018/19,E06000007,E12000002,3,Set quit date,280
2018/19,E06000007,E12000002,4,Not known,6
2018/19,E06000007,E12000002,4,Not quit,25
2018/19,E06000007,E12000002,4,Quit,286
2018/19,E06000007,E12000002,4,Quit CO,94
2018/19,E06000007,E12000002,4,Set quit date,317
2018/19,E06000008,E12000002,1,Not known,1
2018/19,E06000008,E12000002,1,Not quit,158
2018/19,E06000008,E12000002,1,Quit,75
2018/19,E06000008,E12000002,1,Quit CO,72
2018/19,E06000008,E12000002,1,Set quit date,234
2018/19,E06000008,E12000002,2,Not known,1
2018/19,E06000008,E12000002,2,Not quit,152
2018/19,E06000008,E12000002,2,Quit,68
2018/19,E06000008,E12000002,2,Quit CO,65
2018/19,E06000008,E12000002,2,Set quit date,221
2018/19,E06000008,E12000002,3,Not known,0
2018/19,E06000008,E12000002,3,Not quit,158
2018/19,E06000008,E12000002,3,Quit,77
2018/19,E06000008,E12000002,3,Quit CO,77
2018/19,E06000008,E12000002,3,Set quit date,235
2018/19,E06000008,E12000002,4,Not known,0
2018/19,E06000008,E12000002,4,Not quit,165
2018/19,E06000008,E12000002,4,Quit,118
2018/19,E06000008,E12000002,4,Quit CO,117
2018/19,E06000008,E12000002,4,Set quit date,283
2018/19,E06000009,E12000002,1,Not known,16
2018/19,E06000009,E12000002,1,Not quit,168
