CCG,CV,Fcast
E38000159,1942,1996.584176
E38000153,1949,1949.216874
E38000010,3560,3645.413775
E38000177,2971,3109.056794
E38000188,2723,2782.733821
E38000205,2730,2859.68503
E38000077,2150,2208.902006
E38000003,2073,2063.236376
E38000028,1236,1209.355338
E38000095,1187,1196.359893
E38000050,3075,3089.053249
E38000107,1712,1676.576983
E38000021,2021,2048.855188
E38000136,5728,5634.440413
E38000101,3414,3363.166515
E38000009,1751,1798.811063
E38000059,2067,2168.289264
E38000120,1730,1725.124302
E38000141,2667,2614.566002
E38000029,2085,2113.867242
E38000099,2773,2737.262047
E38000082,1935,1940.439637
E38000203,1819,1803.310032
E38000124,2211,2192.606479
E38000168,1993,1898.70523
E38000158,5000,5074.316004
E38000185,1102,1048.478961
E38000129,1594,1642.427718
E38000122,1511,1524.047587
E38000084,1574,1605.89607
E38000144,3013,3049.780787
E38000169,2462,2553.36102
E38000143,1979,2026.14517
E38000083,2451,2503.757879
E38000213,6027,6003.63317
E38000161,1284,1276.041716
E38000108,5101,5087.816356
E38000089,5138,4791.047334
E38000176,2449,2538.517273
E38000038,3125,3131.496578
E38000116,2220,2284.791005
E38000048,2433,2450.99662
E38000006,2171,2184.571363
E38000192,1378,1426.059193
E38000004,848,879.7624588
E38000104,1598,1635.155102
E38000032,2014,2032.747759
E38000178,901,924.7245534
E38000052,3290,3328.689868
E38000150,5541,5583.841035
E38000151,1611,1610.51048
E38000142,1345,1328.398543
E38000214,1919,1931.270548
E38000118,1820,1808.248349
E38000007,2221,2277.212309
E38000042,1120,1104.506169
E38000133,1340,1379.438647
E38000119,1551,1484.776528
E38000113,1107,1110.419224
E38000125,4046,4027.404775
E38000069,1362,1396.723287
E38000190,2868,2915.628078
E38000180,821,856.7626864
E38000198,5599,5694.733457
E38000157,1665,1583.829165
E38000054,1527,1533.959779
E38000068,963,949.7683204
E38000167,1665,1697.155931
E38000163,1459,1490.792089
E38000189,851,819.01948
E38000097,2683,2686.46121
E38000044,2805,2807.892255
E38000155,2667,2605.291402
E38000181,1376,1343.941415
E38000033,2457,2418.957351
E38000055,2598,2650.433866
E38000093,1932,2007.317101
E38000026,6940,7039.455875
E38000139,1398,1437.592848
E38000027,1493,1590.408396
E38000078,1808,1794.313091
E38000145,1134,1139.372632
E38000149,1265,1325.438386
E38000152,1083,1086.547232
E38000201,3459,3466.329133
E38000015,1856,1844.507067
E38000102,1285,1308.840947
E38000023,3107,2952.495625
E38000121,1413,1418.669507
E38000140,1448,1469.728219
E38000058,2227,2241.653513
E38000041,1905,1959.080581
E38000115,1689,1793.187186
E38000020,1919,1979.842289
E38000011,1957,1998.496155
E38000087,1758,1816.269789
E38000114,2549,2669.636984
E38000096,4775,4763.836094
E38000184,1300,1324.437672
E38000164,2551,2551.889422
E38000160,5189,5185.613456
E38000012,2348,2239.052064
E38000030,1871,1824.194017
E38000065,1070,1072.664252
E38000001,1805,1796.355678
E38000002,922,923.8919655
E38000138,1780,1869.963205
E38000187,1943,2004.683942
E38000092,1609,1605.336359
E38000109,1209,1224.454011
E38000088,1210,1214.186071
E38000148,4051,3997.381168
E38000210,2216,2298.332978
E38000043,1722,1685.169271
E38000117,3601,3644.226312
E38000130,3405,3479.606399
E38000183,1271,1269.514217
E38000171,1326,1326.016976
E38000053,1096,1115.233409
E38000179,1416,1424.974624
E38000045,8483,8455.179001
E38000070,866,892.6987978
E38000202,1392,1375.80702
E38000060,2282,2287.051801
E38000147,3653,3790.38311
E38000197,2745,2826.390083
E38000013,1231,1353.007184
E38000063,2520,2514.738931
E38000173,1356,1353.706965
E38000208,3155,3177.564254
E38000200,1105,1121.153603
E38000051,3388,3507.464196
E38000056,2571,2681.938658
E38000195,1445,1551.482996
E38000212,4250,4245.732376
E38000022,641,662.1106505
E38000106,3098,3105.119021
E38000075,2867,2877.886562
E38000064,1969,2009.048789
E38000105,1319,1345.317842
E38000123,2552,2592.372894
E38000100,2253,2261.761634
E38000094,1175,1170.491094
E38000175,2960,3103.481287
E38000137,1523,1534.505258
E38000135,1951,1956.506668
E38000008,1306,1363.061725
E38000206,4855,4956.297345
E38000047,3046,3024.691409
E38000128,2989,3014.816502
E38000057,1909,2024.864949
E38000018,576,633.5003131
E38000073,1939,1919.64678
E38000182,2155,2146.884824
E38000039,822,816.4397917
E38000131,2842,2880.026778
E38000165,1159,1147.957789
E38000071,1356,1353.756033
E38000074,1771,1763.326112
E38000035,971,980.0091608
E38000025,1693,1721.141669
E38000046,2713,2768.360612
E38000066,1263,1225.886855
E38000081,1671,1692.292094
E38000085,2314,2355.895109
E38000230,1875,1894.995024
