actual_cost,ccg,date,items,quantity,row_id,row_name,setting
358.26,00K,2015-01-01,24,814,A81001,THE DENSHAM SURGERY,4
2116.87,00K,2015-01-01,121,4009,A81002,QUEENS PARK MEDICAL CENTRE,4
23.42,00K,2015-01-01,25,294,A81003,VICTORIA MEDICAL PRACTICE,4
279.29,00M,2015-01-01,31,832,A81004,BLUEBELL MEDICAL CENTRE,4
340.08,00M,2015-01-01,38,1208,A81005,SPRINGWOOD SURGERY,4
1092.72,00K,2015-01-01,64,2110,A81006,TENNANT STREET MEDICAL PRACTICE,4
639.02,00K,2015-01-01,62,1780,A81007,BANKHOUSE SURGERY,4
99.05,00M,2015-01-01,17,268,A81008,ALBERT HOUSE CLINIC,4
186.3,00M,2015-01-01,18,627,A81009,VILLAGE MEDICAL CENTRE,4
656.75,00K,2015-01-01,47,1253,A81011,CHADWICK PRACTICE,4
106.57,00M,2015-01-01,25,385,A81012,WESTBOURNE MEDICAL CENTRE,4
331.17,00M,2015-01-01,18,534,A81013,BROTTON SURGERY,4
316.41,00K,2015-01-01,17,510,A81014,QUEENSTREE PRACTICE,4
151.02,00M,2015-01-01,16,345,A81015,LAGAN SURGERY,4
162.69,00M,2015-01-01,23,651,A81016,PARK SURGERY,4
1291.42,00K,2015-01-01,84,2313,A81017,WOODBRIDGE PRACTICE,4
81.26,00M,2015-01-01,11,330,A81018,BENTLEY MEDICAL PRACTICE,4
408.63,00M,2015-01-01,58,1404,A81019,CROSSFELL HEALTH CENTRE,4
526.02,00M,2015-01-01,42,1101,A81020,MARTONSIDE MEDICAL CENTRE,4
935.37,00M,2015-01-01,78,1511,A81021,NORMANBY MEDICAL CENTRE,4
175.68,00M,2015-01-01,25,629,A81022,HILLSIDE PRACTICE,4
11.44,00M,2015-01-01,5,182,A81023,THE ENDEAVOUR PRACTICE,4
423.95,00K,2015-01-01,24,789,A81025,THE DOVECOT SURGERY,4
366.96,00M,2015-01-01,62,1794,A81026,LINTHORPE SURGERY,4
886.18,00K,2015-01-01,50,1464,A81027,YARM MEDICAL PRACTICE,4
28.66,00M,2015-01-01,17,392,A81029,PROSPECT SURGERY,4
395.59,00M,2015-01-01,77,1366,A81030,BOROUGH ROAD & NUNTHORPE MEDICAL GROUP,4
528.25,00K,2015-01-01,55,1811,A81031,HAVELOCK GRANGE PRACTICE,4
591.44,00M,2015-01-01,49,1451,A81032,THE GARTH,4
89.54,00M,2015-01-01,30,398,A81033,OAKFIELD MEDICAL PRACTICE,4
1478.24,00K,2015-01-01,65,1994,A81034,THORNABY & BARWICK MEDICAL GROUP,4
188.42,00M,2015-01-01,32,891,A81035,NEWLANDS MEDICAL CENTRE,4
1390.01,00K,2015-01-01,106,2618,A81036,NORTON MEDICAL CENTRE,4
144.85,00M,2015-01-01,33,792,A81037,THE ERIMUS PRACTICE,4
4.4,00M,2015-01-01,3,84,A81038,HIRSEL MEDICAL CENTRE,4
625.76,00K,2015-01-01,43,1342,A81039,EAGLESCLIFFE MEDICAL PRACTICE,4
288.8,00K,2015-01-01,33,963,A81040,MARSH HOUSE MEDICAL PRACTICE,4
213.21,00K,2015-01-01,42,857,A81041,HART MEDICAL PRACTICE,4
197.85,00M,2015-01-01,20,373,A81042,SOUTH GRANGE MEDICAL GROUP PRACTICE,4
293.29,00M,2015-01-01,58,1025,A81043,THE MANOR HOUSE SURGERY,4
533.68,00K,2015-01-01,86,1570,A81044,MCKENZIE HOUSE SURGERY,4
710.52,00M,2015-01-01,57,1362,A81045,THE COATHAM ROAD SURGERY,4
1019.28,00K,2015-01-01,54,1596,A81046,WOODLANDS FAMILY MEDICAL CENTRE,4
246.6,00M,2015-01-01,36,821,A81047,MARSKE MEDICAL CENTRE,4
493.35,00M,2015-01-01,81,1061,A81048,ZETLAND MEDICAL PRACTICE,4
89.62,00M,2015-01-01,19,341,A81049,KINGS MEDICAL CENTRE,4
449.75,00M,2015-01-01,31,1040,A81051,CAMBRIDGE MEDICAL GROUP,4
197.88,00M,2015-01-01,43,774,A81052,THE GREEN HOUSE SURGERY,4
390.23,00M,2015-01-01,60,649,A81053,WOODSIDE SURGERY,4
534.65,00M,2015-01-01,65,1181,A81054,THE SALTSCAR SURGERY,4
103.14,00K,2015-01-01,5,140,A81056,MELROSE SURGERY,4
533.28,00K,2015-01-01,30,960,A81057,KINGSWAY MEDICAL CENTRE,4
214.8,00M,2015-01-01,26,868,A81058,COULBY MEDICAL PRACTICE,4
222.34,00K,2015-01-01,24,668,A81060,THE KOH PRACTICE,4
132.55,00K,2015-01-01,34,784,A81063,THE HEADLAND MEDICAL CENTRE,4
260.52,00M,2015-01-01,14,480,A81064,THE DISCOVERY PRACTICE,4
133.4,00M,2015-01-01,16,219,A81065,THE ESTON SURGERY,4
255.86,00K,2015-01-01,20,594,A81066,PARK LANE SURGERY,4
445.85,00K,2015-01-01,36,1080,A81067,ALMA MEDICAL CENTRE,4
26.66,00M,2015-01-01,20,266,A81069,RAINBOW SURGERY,4
98.02,00K,2015-01-01,12,277,A81070,MCKENZIE GROUP PRACTICE,4
191.71,00K,2015-01-01,11,310,A81602,DR RASOOL,4
158.0,00M,2015-01-01,7,175,A81605,PARK AVENUE SURGERY,4
69.62,00K,2015-01-01,5,140,A81608,ELM TREE SURGERY,4
42.3,00K,2015-01-01,3,86,A81609,TENNANT STREET MEDICAL PRACTICE,4
732.31,00K,2015-01-01,26,736,A81610,THE ROSEBERRY PRACTICE,4
399.28,00M,2015-01-01,22,829,A81611,PARKWAY MEDICAL CENTRE,4
122.02,00K,2015-01-01,17,336,A81612,THE PATEL PRACTICE,4
30.54,00K,2015-01-01,21,406,A81613,JOURNEE MEDICAL PRACTICE,4
668.45,00M,2015-01-01,46,1397,A81618,HUNTCLIFF SURGERY,4
350.98,00K,2015-01-01,28,573,A81622,GLADSTONE HOUSE SURGERY,4
1.58,00K,2015-01-01,1,28,A81623,NORTH SHORE MEDICAL PRACTICE,4
537.86,00K,2015-01-01,16,584,A81629,RIVERSIDE MEDICAL PRACTICE,4
257.57,00K,2015-01-01,20,590,A81631,WEST VIEW MILLENIUM SURGERY A,4
1147.77,01K,2015-01-01,50,1834,A82003,ULVERSTON HEALTH CENTRE (MURRAY),4
241.31,01H,2015-01-01,41,625,A82004,ALSTON MEDICAL PRACTICE,4
280.98,01K,2015-01-01,18,455,A82005,AMBLESIDE HEALTH CENTRE,4
538.73,01H,2015-01-01,21,977,A82006,APPLEBY MEDICAL PRACTICE,4
765.27,01K,2015-01-01,54,1512,A82007,DUKE STREET SURGERY,4
1275.61,01K,2015-01-01,67,2181,A82008,NORWOOD MEDICAL CENTRE,4
983.79,01K,2015-01-01,57,2003,A82009,BRIDGEGATE MEDICAL CENTRE,4
