Column,Name of Field,Description,Comments,,,,,
A,PRAC_CODE,General Practice Code,,,,,,
B,PRAC_NAME,General Practice Name,,,,,,
C,CCG_CODE,Clinical Commissioning Group Code,,,,,,
D,CCG_NAME,Clinical Commissioning Group Name,,,,,,
E,REGION_GEOG_CODE,NHS England Region (Geography) Code,,,,,,
F,REGION_GEOG_NAME,NHS England Region (Geography) Name,,,,,,
G,REGION_CODE,NHS England Commissioning Region Code,,,,,,
H,REGION_NAME,NHS England Commissioning Region Name,,,,,,
I,HEE_REGION_CODE,Health Education England Local Education Training Board Code,,,,,,
J,HEE_REGION_NAME,Health Education England Local Education Training Board Name,,,,,,
K,CONTRACT,Type of contract held by GP Practice,,,,,,
L,TOTAL_PATIENTS,Total GP Registered Patients,,,,,,
M,TOTAL_MALE,Male GP Registered Patients,,,,,,
N,TOTAL_FEMALE,Female GP Registered Patients,,,,,,
O,MALE_PATIENTS_0TO4,Male GP Registered Patients aged 0 to 4 years,,,,,,
P,MALE_PATIENTS_5TO14,Male GP Registered Patients aged 5 to 14 years,,,,,,
Q,MALE_PATIENTS_15TO44,Male GP Registered Patients aged 15 to 44 years,,,,,,
R,MALE_PATIENTS_45TO64,Male GP Registered Patients aged 45 to 64 years,,,,,,
S,MALE_PATIENTS_65TO74,Male GP Registered Patients aged 65 to 74 years,,,,,,
T,MALE_PATIENTS_75TO84,Male GP Registered Patients aged 75 to 84 years,,,,,,
U,MALE_PATIENTS_85PLUS,Male GP Registered Patients aged 85 years and over,,,,,,
V,FEMALE_PATIENTS_0TO4,Female GP Registered Patients aged 0 to 4 years,,,,,,
W,FEMALE_PATIENTS_5TO14,Female GP Registered Patients aged 5 to 14 years,,,,,,
X,FEMALE_PATIENTS_15TO44,Female GP Registered Patients aged 15 to 44 years,,,,,,
Y,FEMALE_PATIENTS_45TO64,Female GP Registered Patients aged 45 to 64 years,,,,,,
Z,FEMALE_PATIENTS_65TO74,Female GP Registered Patients aged 65 to 74 years,,,,,,
AA,FEMALE_PATIENTS_75TO84,Female GP Registered Patients aged 75 to 84 years,,,,,,
AB,FEMALE_PATIENTS_85PLUS,Female GP Registered Patients aged 85 years and over,,,,,,
AC,TOTAL_DISP_PATIENTS,Number of Dispensing Patients,,,,,,
AD,GP_SOURCE,"Whether GP records for this practice were ""Fully provided"", provided but requiring some record-level estimations of missing hours (""Includes FTE Estimates""), or estimated for at a CCG level (""CCG Estimates"") where no valid data was recorded under this staff group at the practice.",,,,,,
AE,NURSE_SOURCE,"Whether Nurse records for this practice were ""Fully provided"", provided but requiring some record-level estimations of missing hours (""Partial FTE Estimates""), or estimated for at a CCG level (""CCG Estimates"") where no valid data was recorded under this staff group at the practice.",,,,,,
AF,DPC_SOURCE,"Whether DPC records for this practice were ""Fully provided"", provided but requiring some record-level estimations of missing hours (""Partial FTE Estimates""), or estimated for at a CCG level (""CCG Estimates"") where no valid data was recorded under this staff group at the practice.",,,,,,
AG,ADMIN_SOURCE,"Whether Admin/non-clinical records for this practice were ""Fully provided"", provided but requiring some record-level estimations of missing hours (""Partial FTE Estimates""), or estimated for at a CCG level (""CCG Estimates"") where no valid data was recorded under this staff group at the practice.",,,,,,
AH,TOTAL_GP_HC,Total GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AI,TOTAL_GP_EXR_HC,All Fully Qualified GPs (excludes Registrars) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AJ,TOTAL_GP_EXL_HC,All Regular GPs (excludes Locums) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AK,TOTAL_GP_EXRL_HC,All Qualified Permanent GPs (excludes Registrars & Locums) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AL,TOTAL_GP_SEN_PTNR_HC,Total GP Senior Partners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AM,TOTAL_GP_PTNR_PROV_HC,Total GP Partner/Providers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AN,TOTAL_GP_SAL_BY_PRAC_HC,Total Salaried by Practice GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AO,TOTAL_GP_SAL_BY_OTH_HC,Total Salaried by Other GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AP,TOTAL_GP_REG_ST1_4_HC,Total GP Registrars ST1/4 Headcount,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
AQ,TOTAL_GP_REG_F1_2_HC,Total GP Registrars F1/2 Headcount,"As TIS is a complete data source, no estimations are required for Registars. Registrar data is only included where a valid practice could be identified for the trainee's record, other trainee records are classed as of 'Unknown' practice and region.",,,,,
AR,TOTAL_GP_RET_HC,Total GP Retainers Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AS,TOTAL_GP_LOCUM_VAC_HC,Total GP Locums covering Vacancies Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AT,TOTAL_GP_LOCUM_ABS_HC,Total GP Locums covering Sickness/Maternity/Paternity Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AU,TOTAL_GP_LOCUM_OTH_HC,Total GP Locums - Other Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AV,TOTAL_GP_LOCUM_INF_HC,Total GP Infrequent Locums Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AW,MALE_GP_HC,Male GPs Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AX,MALE_GP_EXR_HC,Male Fully Qualified GPs (excludes Registrars) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AY,MALE_GP_EXL_HC,Male Regular GPs (excludes Locums) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
AZ,MALE_GP_EXRL_HC,Male Qualified Permanent GPs (excludes Registrars & Locums) Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
BA,MALE_GP_SEN_PTNR_HC,Male GP Senior Partners Headcount," 'ND' denotes practices who have No (valid) Data in the current extraction (excluding TIS data), having not passed data quality validation rules. Along with those practices who provided 0 records overall for this staff group in the current extraction, these practices will form part of the CCG level estimates for their area",,,,,
