Time Period,OrgCode,ParentOrgCode,Sex,QuitStatus,MonitoringCategory,Total
2019/20 Q2,E06000002,E12000001,Female,Not known,18-34,34
2019/20 Q2,E06000002,E12000001,Female,Not known,35-44,17
2019/20 Q2,E06000002,E12000001,Female,Not known,45-59,16
2019/20 Q2,E06000002,E12000001,Female,Not known,60 and over,13
2019/20 Q2,E06000002,E12000001,Female,Not known,Under 18,1
2019/20 Q2,E06000002,E12000001,Female,Not quit,18-34,22
2019/20 Q2,E06000002,E12000001,Female,Not quit,35-44,14
2019/20 Q2,E06000002,E12000001,Female,Not quit,45-59,32
2019/20 Q2,E06000002,E12000001,Female,Not quit,60 and over,15
2019/20 Q2,E06000002,E12000001,Female,Not quit,Under 18,2
2019/20 Q2,E06000002,E12000001,Female,Quit,18-34,31
2019/20 Q2,E06000002,E12000001,Female,Quit,35-44,26
2019/20 Q2,E06000002,E12000001,Female,Quit,45-59,46
2019/20 Q2,E06000002,E12000001,Female,Quit,60 and over,20
2019/20 Q2,E06000002,E12000001,Female,Quit,Under 18,0
2019/20 Q2,E06000002,E12000001,Female,Quit CO,18-34,18
2019/20 Q2,E06000002,E12000001,Female,Quit CO,35-44,19
2019/20 Q2,E06000002,E12000001,Female,Quit CO,45-59,41
2019/20 Q2,E06000002,E12000001,Female,Quit CO,60 and over,17
2019/20 Q2,E06000002,E12000001,Female,Quit CO,Under 18,0
2019/20 Q2,E06000002,E12000001,Female,Set quit date,18-34,87
2019/20 Q2,E06000002,E12000001,Female,Set quit date,35-44,57
2019/20 Q2,E06000002,E12000001,Female,Set quit date,45-59,94
2019/20 Q2,E06000002,E12000001,Female,Set quit date,60 and over,48
2019/20 Q2,E06000002,E12000001,Female,Set quit date,Under 18,3
2019/20 Q2,E06000002,E12000001,Male,Not known,18-34,14
2019/20 Q2,E06000002,E12000001,Male,Not known,35-44,9
2019/20 Q2,E06000002,E12000001,Male,Not known,45-59,16
2019/20 Q2,E06000002,E12000001,Male,Not known,60 and over,5
2019/20 Q2,E06000002,E12000001,Male,Not known,Under 18,0
2019/20 Q2,E06000002,E12000001,Male,Not quit,18-34,14
2019/20 Q2,E06000002,E12000001,Male,Not quit,35-44,13
2019/20 Q2,E06000002,E12000001,Male,Not quit,45-59,24
2019/20 Q2,E06000002,E12000001,Male,Not quit,60 and over,22
2019/20 Q2,E06000002,E12000001,Male,Not quit,Under 18,3
2019/20 Q2,E06000002,E12000001,Male,Quit,18-34,22
2019/20 Q2,E06000002,E12000001,Male,Quit,35-44,20
2019/20 Q2,E06000002,E12000001,Male,Quit,45-59,44
2019/20 Q2,E06000002,E12000001,Male,Quit,60 and over,27
2019/20 Q2,E06000002,E12000001,Male,Quit,Under 18,0
2019/20 Q2,E06000002,E12000001,Male,Quit CO,18-34,17
2019/20 Q2,E06000002,E12000001,Male,Quit CO,35-44,15
2019/20 Q2,E06000002,E12000001,Male,Quit CO,45-59,38
2019/20 Q2,E06000002,E12000001,Male,Quit CO,60 and over,20
2019/20 Q2,E06000002,E12000001,Male,Quit CO,Under 18,0
2019/20 Q2,E06000002,E12000001,Male,Set quit date,18-34,50
2019/20 Q2,E06000002,E12000001,Male,Set quit date,35-44,42
2019/20 Q2,E06000002,E12000001,Male,Set quit date,45-59,84
2019/20 Q2,E06000002,E12000001,Male,Set quit date,60 and over,54
2019/20 Q2,E06000002,E12000001,Male,Set quit date,Under 18,3
2019/20 Q2,E06000003,E12000001,Female,Not known,18-34,32
2019/20 Q2,E06000003,E12000001,Female,Not known,35-44,23
2019/20 Q2,E06000003,E12000001,Female,Not known,45-59,36
2019/20 Q2,E06000003,E12000001,Female,Not known,60 and over,16
2019/20 Q2,E06000003,E12000001,Female,Not known,Under 18,1
2019/20 Q2,E06000003,E12000001,Female,Not quit,18-34,28
2019/20 Q2,E06000003,E12000001,Female,Not quit,35-44,21
2019/20 Q2,E06000003,E12000001,Female,Not quit,45-59,30
2019/20 Q2,E06000003,E12000001,Female,Not quit,60 and over,17
2019/20 Q2,E06000003,E12000001,Female,Not quit,Under 18,1
2019/20 Q2,E06000003,E12000001,Female,Quit,18-34,32
2019/20 Q2,E06000003,E12000001,Female,Quit,35-44,25
2019/20 Q2,E06000003,E12000001,Female,Quit,45-59,42
2019/20 Q2,E06000003,E12000001,Female,Quit,60 and over,30
2019/20 Q2,E06000003,E12000001,Female,Quit,Under 18,1
2019/20 Q2,E06000003,E12000001,Female,Quit CO,18-34,23
2019/20 Q2,E06000003,E12000001,Female,Quit CO,35-44,21
2019/20 Q2,E06000003,E12000001,Female,Quit CO,45-59,36
2019/20 Q2,E06000003,E12000001,Female,Quit CO,60 and over,26
2019/20 Q2,E06000003,E12000001,Female,Quit CO,Under 18,1
2019/20 Q2,E06000003,E12000001,Female,Set quit date,18-34,92
2019/20 Q2,E06000003,E12000001,Female,Set quit date,35-44,69
2019/20 Q2,E06000003,E12000001,Female,Set quit date,45-59,108
2019/20 Q2,E06000003,E12000001,Female,Set quit date,60 and over,63
2019/20 Q2,E06000003,E12000001,Female,Set quit date,Under 18,3
2019/20 Q2,E06000003,E12000001,Male,Not known,18-34,13
2019/20 Q2,E06000003,E12000001,Male,Not known,35-44,7
2019/20 Q2,E06000003,E12000001,Male,Not known,45-59,34
2019/20 Q2,E06000003,E12000001,Male,Not known,60 and over,12
2019/20 Q2,E06000003,E12000001,Male,Not known,Under 18,1
2019/20 Q2,E06000003,E12000001,Male,Not quit,18-34,9
2019/20 Q2,E06000003,E12000001,Male,Not quit,35-44,15
2019/20 Q2,E06000003,E12000001,Male,Not quit,45-59,19
2019/20 Q2,E06000003,E12000001,Male,Not quit,60 and over,8
2019/20 Q2,E06000003,E12000001,Male,Not quit,Under 18,0
2019/20 Q2,E06000003,E12000001,Male,Quit,18-34,13
2019/20 Q2,E06000003,E12000001,Male,Quit,35-44,18
2019/20 Q2,E06000003,E12000001,Male,Quit,45-59,41
2019/20 Q2,E06000003,E12000001,Male,Quit,60 and over,22
2019/20 Q2,E06000003,E12000001,Male,Quit,Under 18,1
2019/20 Q2,E06000003,E12000001,Male,Quit CO,18-34,7
2019/20 Q2,E06000003,E12000001,Male,Quit CO,35-44,16
2019/20 Q2,E06000003,E12000001,Male,Quit CO,45-59,38
2019/20 Q2,E06000003,E12000001,Male,Quit CO,60 and over,20
2019/20 Q2,E06000003,E12000001,Male,Quit CO,Under 18,0
2019/20 Q2,E06000003,E12000001,Male,Set quit date,18-34,35
2019/20 Q2,E06000003,E12000001,Male,Set quit date,35-44,40
2019/20 Q2,E06000003,E12000001,Male,Set quit date,45-59,94
2019/20 Q2,E06000003,E12000001,Male,Set quit date,60 and over,42
2019/20 Q2,E06000003,E12000001,Male,Set quit date,Under 18,2
2019/20 Q2,E06000004,E12000001,Female,Not known,18-34,41
2019/20 Q2,E06000004,E12000001,Female,Not known,35-44,17
2019/20 Q2,E06000004,E12000001,Female,Not known,45-59,27
2019/20 Q2,E06000004,E12000001,Female,Not known,60 and over,10
2019/20 Q2,E06000004,E12000001,Female,Not known,Under 18,3
2019/20 Q2,E06000004,E12000001,Female,Not quit,18-34,56
2019/20 Q2,E06000004,E12000001,Female,Not quit,35-44,38
2019/20 Q2,E06000004,E12000001,Female,Not quit,45-59,57
2019/20 Q2,E06000004,E12000001,Female,Not quit,60 and over,36
2019/20 Q2,E06000004,E12000001,Female,Not quit,Under 18,1
2019/20 Q2,E06000004,E12000001,Female,Quit,18-34,50
2019/20 Q2,E06000004,E12000001,Female,Quit,35-44,30
2019/20 Q2,E06000004,E12000001,Female,Quit,45-59,49
2019/20 Q2,E06000004,E12000001,Female,Quit,60 and over,38
2019/20 Q2,E06000004,E12000001,Female,Quit,Under 18,3
2019/20 Q2,E06000004,E12000001,Female,Quit CO,18-34,17
2019/20 Q2,E06000004,E12000001,Female,Quit CO,35-44,17
2019/20 Q2,E06000004,E12000001,Female,Quit CO,45-59,22
2019/20 Q2,E06000004,E12000001,Female,Quit CO,60 and over,31
2019/20 Q2,E06000004,E12000001,Female,Quit CO,Under 18,0
2019/20 Q2,E06000004,E12000001,Female,Set quit date,18-34,147
2019/20 Q2,E06000004,E12000001,Female,Set quit date,35-44,85
2019/20 Q2,E06000004,E12000001,Female,Set quit date,45-59,133
2019/20 Q2,E06000004,E12000001,Female,Set quit date,60 and over,84
2019/20 Q2,E06000004,E12000001,Female,Set quit date,Under 18,7
2019/20 Q2,E06000004,E12000001,Male,Not known,18-34,35
2019/20 Q2,E06000004,E12000001,Male,Not known,35-44,15
2019/20 Q2,E06000004,E12000001,Male,Not known,45-59,15
2019/20 Q2,E06000004,E12000001,Male,Not known,60 and over,6
2019/20 Q2,E06000004,E12000001,Male,Not known,Under 18,3
2019/20 Q2,E06000004,E12000001,Male,Not quit,18-34,32
2019/20 Q2,E06000004,E12000001,Male,Not quit,35-44,20
2019/20 Q2,E06000004,E12000001,Male,Not quit,45-59,42
2019/20 Q2,E06000004,E12000001,Male,Not quit,60 and over,16
2019/20 Q2,E06000004,E12000001,Male,Not quit,Under 18,3
2019/20 Q2,E06000004,E12000001,Male,Quit,18-34,25
2019/20 Q2,E06000004,E12000001,Male,Quit,35-44,28
2019/20 Q2,E06000004,E12000001,Male,Quit,45-59,48
2019/20 Q2,E06000004,E12000001,Male,Quit,60 and over,28
2019/20 Q2,E06000004,E12000001,Male,Quit,Under 18,1
2019/20 Q2,E06000004,E12000001,Male,Quit CO,18-34,10
2019/20 Q2,E06000004,E12000001,Male,Quit CO,35-44,17
2019/20 Q2,E06000004,E12000001,Male,Quit CO,45-59,36
2019/20 Q2,E06000004,E12000001,Male,Quit CO,60 and over,19
2019/20 Q2,E06000004,E12000001,Male,Quit CO,Under 18,1
2019/20 Q2,E06000004,E12000001,Male,Set quit date,18-34,92
2019/20 Q2,E06000004,E12000001,Male,Set quit date,35-44,63
2019/20 Q2,E06000004,E12000001,Male,Set quit date,45-59,105
2019/20 Q2,E06000004,E12000001,Male,Set quit date,60 and over,50
2019/20 Q2,E06000004,E12000001,Male,Set quit date,Under 18,7
2019/20 Q2,E06000005,E12000001,Female,Not known,18-34,14
2019/20 Q2,E06000005,E12000001,Female,Not known,35-44,3
2019/20 Q2,E06000005,E12000001,Female,Not known,45-59,5
2019/20 Q2,E06000005,E12000001,Female,Not known,60 and over,6
2019/20 Q2,E06000005,E12000001,Female,Not known,Under 18,0
2019/20 Q2,E06000005,E12000001,Female,Not quit,18-34,2
