Time Period,OrgCode,ParentOrgCode,QuitStatus,MonitoringCategory,Total
2019/20 Q2,E06000002,E12000001,Quit,Children's centre,0
2019/20 Q2,E06000002,E12000001,Quit,Community,152
2019/20 Q2,E06000002,E12000001,Quit,Community psychiatric,0
2019/20 Q2,E06000002,E12000001,Quit,Dental,0
2019/20 Q2,E06000002,E12000001,Quit,General practice,45
2019/20 Q2,E06000002,E12000001,Quit,Hospital,0
2019/20 Q2,E06000002,E12000001,Quit,Maternity,0
2019/20 Q2,E06000002,E12000001,Quit,Military base,0
2019/20 Q2,E06000002,E12000001,Quit,Other,0
2019/20 Q2,E06000002,E12000001,Quit,Pharmacy,39
2019/20 Q2,E06000002,E12000001,Quit,Prison,0
2019/20 Q2,E06000002,E12000001,Quit,Psychiatric hospital,0
2019/20 Q2,E06000002,E12000001,Quit,School,0
2019/20 Q2,E06000002,E12000001,Quit,Workplace,0
2019/20 Q2,E06000002,E12000001,Set quit date,Children's centre,0
2019/20 Q2,E06000002,E12000001,Set quit date,Community,282
2019/20 Q2,E06000002,E12000001,Set quit date,Community psychiatric,0
2019/20 Q2,E06000002,E12000001,Set quit date,Dental,0
2019/20 Q2,E06000002,E12000001,Set quit date,General practice,95
2019/20 Q2,E06000002,E12000001,Set quit date,Hospital,0
2019/20 Q2,E06000002,E12000001,Set quit date,Maternity,0
2019/20 Q2,E06000002,E12000001,Set quit date,Military base,0
2019/20 Q2,E06000002,E12000001,Set quit date,Other,0
2019/20 Q2,E06000002,E12000001,Set quit date,Pharmacy,145
2019/20 Q2,E06000002,E12000001,Set quit date,Prison,0
2019/20 Q2,E06000002,E12000001,Set quit date,Psychiatric hospital,0
2019/20 Q2,E06000002,E12000001,Set quit date,School,0
2019/20 Q2,E06000002,E12000001,Set quit date,Workplace,0
2019/20 Q2,E06000003,E12000001,Quit,Children's centre,0
2019/20 Q2,E06000003,E12000001,Quit,Community,114
2019/20 Q2,E06000003,E12000001,Quit,Community psychiatric,1
2019/20 Q2,E06000003,E12000001,Quit,Dental,0
2019/20 Q2,E06000003,E12000001,Quit,General practice,75
2019/20 Q2,E06000003,E12000001,Quit,Hospital,0
2019/20 Q2,E06000003,E12000001,Quit,Maternity,0
