Time Period,OrgCode,ParentOrgCode,QuitStatus,MonitoringCategory,Total
2019/20 Q2,E06000002,E12000001,Quit,Closed group,0
2019/20 Q2,E06000002,E12000001,Quit,Drop-in clinic,142
2019/20 Q2,E06000002,E12000001,Quit,Family/couples group,0
2019/20 Q2,E06000002,E12000001,Quit,One to one,94
2019/20 Q2,E06000002,E12000001,Quit,Open group,0
2019/20 Q2,E06000002,E12000001,Quit,Other,0
2019/20 Q2,E06000002,E12000001,Quit,Telephone support,0
2019/20 Q2,E06000002,E12000001,Set quit date,Closed group,0
2019/20 Q2,E06000002,E12000001,Set quit date,Drop-in clinic,265
2019/20 Q2,E06000002,E12000001,Set quit date,Family/couples group,0
2019/20 Q2,E06000002,E12000001,Set quit date,One to one,257
2019/20 Q2,E06000002,E12000001,Set quit date,Open group,0
2019/20 Q2,E06000002,E12000001,Set quit date,Other,0
2019/20 Q2,E06000002,E12000001,Set quit date,Telephone support,0
2019/20 Q2,E06000003,E12000001,Quit,Closed group,0
2019/20 Q2,E06000003,E12000001,Quit,Drop-in clinic,111
2019/20 Q2,E06000003,E12000001,Quit,Family/couples group,0
2019/20 Q2,E06000003,E12000001,Quit,One to one,114
2019/20 Q2,E06000003,E12000001,Quit,Open group,0
2019/20 Q2,E06000003,E12000001,Quit,Other,0
2019/20 Q2,E06000003,E12000001,Quit,Telephone support,0
2019/20 Q2,E06000003,E12000001,Set quit date,Closed group,0
2019/20 Q2,E06000003,E12000001,Set quit date,Drop-in clinic,192
2019/20 Q2,E06000003,E12000001,Set quit date,Family/couples group,0
2019/20 Q2,E06000003,E12000001,Set quit date,One to one,356
2019/20 Q2,E06000003,E12000001,Set quit date,Open group,0
2019/20 Q2,E06000003,E12000001,Set quit date,Other,0
2019/20 Q2,E06000003,E12000001,Set quit date,Telephone support,0
2019/20 Q2,E06000004,E12000001,Quit,Closed group,0
2019/20 Q2,E06000004,E12000001,Quit,Drop-in clinic,261
2019/20 Q2,E06000004,E12000001,Quit,Family/couples group,0
2019/20 Q2,E06000004,E12000001,Quit,One to one,39
2019/20 Q2,E06000004,E12000001,Quit,Open group,0
2019/20 Q2,E06000004,E12000001,Quit,Other,0
2019/20 Q2,E06000004,E12000001,Quit,Telephone support,0
2019/20 Q2,E06000004,E12000001,Set quit date,Closed group,0
2019/20 Q2,E06000004,E12000001,Set quit date,Drop-in clinic,598
2019/20 Q2,E06000004,E12000001,Set quit date,Family/couples group,0
2019/20 Q2,E06000004,E12000001,Set quit date,One to one,174
2019/20 Q2,E06000004,E12000001,Set quit date,Open group,1
2019/20 Q2,E06000004,E12000001,Set quit date,Other,0
2019/20 Q2,E06000004,E12000001,Set quit date,Telephone support,0
2019/20 Q2,E06000005,E12000001,Quit,Closed group,0
2019/20 Q2,E06000005,E12000001,Quit,Drop-in clinic,1
2019/20 Q2,E06000005,E12000001,Quit,Family/couples group,0
2019/20 Q2,E06000005,E12000001,Quit,One to one,79
2019/20 Q2,E06000005,E12000001,Quit,Open group,0
2019/20 Q2,E06000005,E12000001,Quit,Other,0
2019/20 Q2,E06000005,E12000001,Quit,Telephone support,0
2019/20 Q2,E06000005,E12000001,Set quit date,Closed group,0
2019/20 Q2,E06000005,E12000001,Set quit date,Drop-in clinic,1
2019/20 Q2,E06000005,E12000001,Set quit date,Family/couples group,0
2019/20 Q2,E06000005,E12000001,Set quit date,One to one,131
2019/20 Q2,E06000005,E12000001,Set quit date,Open group,0
2019/20 Q2,E06000005,E12000001,Set quit date,Other,0
2019/20 Q2,E06000005,E12000001,Set quit date,Telephone support,0
