Time Period,OrgCode,ParentOrgCode,QuitStatus,MonitoringCategory,Total
2019/20 Q2,E06000002,E12000001,Quit,Bupropion,0
2019/20 Q2,E06000002,E12000001,Quit,Licensed NCP,37
2019/20 Q2,E06000002,E12000001,Quit,Licensed NCP multiple,77
2019/20 Q2,E06000002,E12000001,Quit,Licensed NCP plus bup/var,2
2019/20 Q2,E06000002,E12000001,Quit,Med plus unlicensed NCP - conc,15
2019/20 Q2,E06000002,E12000001,Quit,Med plus unlicensed NCP - cons,2
2019/20 Q2,E06000002,E12000001,Quit,None,3
2019/20 Q2,E06000002,E12000001,Quit,Not known,0
2019/20 Q2,E06000002,E12000001,Quit,Unlicensed NCP,1
2019/20 Q2,E06000002,E12000001,Quit,Varenicline,99
2019/20 Q2,E06000002,E12000001,Set quit date,Bupropion,0
2019/20 Q2,E06000002,E12000001,Set quit date,Licensed NCP,95
2019/20 Q2,E06000002,E12000001,Set quit date,Licensed NCP multiple,223
2019/20 Q2,E06000002,E12000001,Set quit date,Licensed NCP plus bup/var,5
2019/20 Q2,E06000002,E12000001,Set quit date,Med plus unlicensed NCP - conc,26
2019/20 Q2,E06000002,E12000001,Set quit date,Med plus unlicensed NCP - cons,3
2019/20 Q2,E06000002,E12000001,Set quit date,None,6
2019/20 Q2,E06000002,E12000001,Set quit date,Not known,3
2019/20 Q2,E06000002,E12000001,Set quit date,Unlicensed NCP,1
2019/20 Q2,E06000002,E12000001,Set quit date,Varenicline,160
2019/20 Q2,E06000003,E12000001,Quit,Bupropion,0
2019/20 Q2,E06000003,E12000001,Quit,Licensed NCP,23
2019/20 Q2,E06000003,E12000001,Quit,Licensed NCP multiple,85
2019/20 Q2,E06000003,E12000001,Quit,Licensed NCP plus bup/var,5
2019/20 Q2,E06000003,E12000001,Quit,Med plus unlicensed NCP - conc,4
2019/20 Q2,E06000003,E12000001,Quit,Med plus unlicensed NCP - cons,2
2019/20 Q2,E06000003,E12000001,Quit,None,2
2019/20 Q2,E06000003,E12000001,Quit,Not known,0
2019/20 Q2,E06000003,E12000001,Quit,Unlicensed NCP,0
2019/20 Q2,E06000003,E12000001,Quit,Varenicline,104
2019/20 Q2,E06000003,E12000001,Set quit date,Bupropion,0
2019/20 Q2,E06000003,E12000001,Set quit date,Licensed NCP,70
2019/20 Q2,E06000003,E12000001,Set quit date,Licensed NCP multiple,245
2019/20 Q2,E06000003,E12000001,Set quit date,Licensed NCP plus bup/var,14
2019/20 Q2,E06000003,E12000001,Set quit date,Med plus unlicensed NCP - conc,10
2019/20 Q2,E06000003,E12000001,Set quit date,Med plus unlicensed NCP - cons,5
2019/20 Q2,E06000003,E12000001,Set quit date,None,7
2019/20 Q2,E06000003,E12000001,Set quit date,Not known,5
2019/20 Q2,E06000003,E12000001,Set quit date,Unlicensed NCP,0
2019/20 Q2,E06000003,E12000001,Set quit date,Varenicline,192
2019/20 Q2,E06000004,E12000001,Quit,Bupropion,0
2019/20 Q2,E06000004,E12000001,Quit,Licensed NCP,29
2019/20 Q2,E06000004,E12000001,Quit,Licensed NCP multiple,101
2019/20 Q2,E06000004,E12000001,Quit,Licensed NCP plus bup/var,1
2019/20 Q2,E06000004,E12000001,Quit,Med plus unlicensed NCP - conc,18
2019/20 Q2,E06000004,E12000001,Quit,Med plus unlicensed NCP - cons,3
2019/20 Q2,E06000004,E12000001,Quit,None,2
2019/20 Q2,E06000004,E12000001,Quit,Not known,0
2019/20 Q2,E06000004,E12000001,Quit,Unlicensed NCP,0
2019/20 Q2,E06000004,E12000001,Quit,Varenicline,146
2019/20 Q2,E06000004,E12000001,Set quit date,Bupropion,0
2019/20 Q2,E06000004,E12000001,Set quit date,Licensed NCP,97
2019/20 Q2,E06000004,E12000001,Set quit date,Licensed NCP multiple,377
2019/20 Q2,E06000004,E12000001,Set quit date,Licensed NCP plus bup/var,4
2019/20 Q2,E06000004,E12000001,Set quit date,Med plus unlicensed NCP - conc,47
2019/20 Q2,E06000004,E12000001,Set quit date,Med plus unlicensed NCP - cons,5
2019/20 Q2,E06000004,E12000001,Set quit date,None,5
2019/20 Q2,E06000004,E12000001,Set quit date,Not known,2
2019/20 Q2,E06000004,E12000001,Set quit date,Unlicensed NCP,1
2019/20 Q2,E06000004,E12000001,Set quit date,Varenicline,235
2019/20 Q2,E06000005,E12000001,Quit,Bupropion,2
2019/20 Q2,E06000005,E12000001,Quit,Licensed NCP,4
2019/20 Q2,E06000005,E12000001,Quit,Licensed NCP multiple,21
