Time Period,OrgCode,ParentOrgCode,QuitStatus,Total
2019/20 Q2,E06000002,E12000001,Not known,19
2019/20 Q2,E06000002,E12000001,Not quit,7
2019/20 Q2,E06000002,E12000001,Quit,16
2019/20 Q2,E06000002,E12000001,Quit CO,8
2019/20 Q2,E06000002,E12000001,Set quit date,42
2019/20 Q2,E06000003,E12000001,Not known,12
2019/20 Q2,E06000003,E12000001,Not quit,15
2019/20 Q2,E06000003,E12000001,Quit,12
2019/20 Q2,E06000003,E12000001,Quit CO,8
2019/20 Q2,E06000003,E12000001,Set quit date,39
2019/20 Q2,E06000004,E12000001,Not known,26
2019/20 Q2,E06000004,E12000001,Not quit,25
2019/20 Q2,E06000004,E12000001,Quit,21
2019/20 Q2,E06000004,E12000001,Quit CO,2
2019/20 Q2,E06000004,E12000001,Set quit date,72
2019/20 Q2,E06000005,E12000001,Not known,12
2019/20 Q2,E06000005,E12000001,Not quit,1
2019/20 Q2,E06000005,E12000001,Quit,4
2019/20 Q2,E06000005,E12000001,Quit CO,3
2019/20 Q2,E06000005,E12000001,Set quit date,17
2019/20 Q2,E06000006,E12000002,Not known,2
2019/20 Q2,E06000006,E12000002,Not quit,18
2019/20 Q2,E06000006,E12000002,Quit,22
2019/20 Q2,E06000006,E12000002,Quit CO,18
2019/20 Q2,E06000006,E12000002,Set quit date,42
2019/20 Q2,E06000007,E12000002,Not known,4
2019/20 Q2,E06000007,E12000002,Not quit,7
2019/20 Q2,E06000007,E12000002,Quit,16
2019/20 Q2,E06000007,E12000002,Quit CO,4
2019/20 Q2,E06000007,E12000002,Set quit date,27
2019/20 Q2,E06000008,E12000002,Not known,0
2019/20 Q2,E06000008,E12000002,Not quit,8
2019/20 Q2,E06000008,E12000002,Quit,3
2019/20 Q2,E06000008,E12000002,Quit CO,3
2019/20 Q2,E06000008,E12000002,Set quit date,11
2019/20 Q2,E06000009,E12000002,Not known,18
2019/20 Q2,E06000009,E12000002,Not quit,32
2019/20 Q2,E06000009,E12000002,Quit,26
2019/20 Q2,E06000009,E12000002,Quit CO,21
2019/20 Q2,E06000009,E12000002,Set quit date,76
2019/20 Q2,E06000010,E12000003,Not known,7
2019/20 Q2,E06000010,E12000003,Not quit,2
2019/20 Q2,E06000010,E12000003,Quit,14
2019/20 Q2,E06000010,E12000003,Quit CO,5
2019/20 Q2,E06000010,E12000003,Set quit date,23
2019/20 Q2,E06000011,E12000003,Not known,13
2019/20 Q2,E06000011,E12000003,Not quit,4
2019/20 Q2,E06000011,E12000003,Quit,16
2019/20 Q2,E06000011,E12000003,Quit CO,15
2019/20 Q2,E06000011,E12000003,Set quit date,33
2019/20 Q2,E06000012,E12000003,Not known,16
2019/20 Q2,E06000012,E12000003,Not quit,6
2019/20 Q2,E06000012,E12000003,Quit,20
2019/20 Q2,E06000012,E12000003,Quit CO,13
2019/20 Q2,E06000012,E12000003,Set quit date,42
2019/20 Q2,E06000013,E12000003,Not known,8
2019/20 Q2,E06000013,E12000003,Not quit,0
2019/20 Q2,E06000013,E12000003,Quit,0
2019/20 Q2,E06000013,E12000003,Quit CO,0
2019/20 Q2,E06000013,E12000003,Set quit date,8
2019/20 Q2,E06000015,E12000004,Not known,23
2019/20 Q2,E06000015,E12000004,Not quit,11
2019/20 Q2,E06000015,E12000004,Quit,14
2019/20 Q2,E06000015,E12000004,Quit CO,14
2019/20 Q2,E06000015,E12000004,Set quit date,48
2019/20 Q2,E06000016,E12000004,Not known,18
2019/20 Q2,E06000016,E12000004,Not quit,18
2019/20 Q2,E06000016,E12000004,Quit,32
2019/20 Q2,E06000016,E12000004,Quit CO,13
2019/20 Q2,E06000016,E12000004,Set quit date,68
2019/20 Q2,E06000017,E12000004,Not known,1
2019/20 Q2,E06000017,E12000004,Not quit,0
2019/20 Q2,E06000017,E12000004,Quit,1
2019/20 Q2,E06000017,E12000004,Quit CO,0
2019/20 Q2,E06000017,E12000004,Set quit date,2
2019/20 Q2,E06000019,E12000005,Not known,12
2019/20 Q2,E06000019,E12000005,Not quit,12
2019/20 Q2,E06000019,E12000005,Quit,12
2019/20 Q2,E06000019,E12000005,Quit CO,7
2019/20 Q2,E06000019,E12000005,Set quit date,36
2019/20 Q2,E06000020,E12000005,Not known,79
2019/20 Q2,E06000020,E12000005,Not quit,5
2019/20 Q2,E06000020,E12000005,Quit,23
2019/20 Q2,E06000020,E12000005,Quit CO,21
2019/20 Q2,E06000020,E12000005,Set quit date,107
2019/20 Q2,E06000021,E12000005,Not known,27
2019/20 Q2,E06000021,E12000005,Not quit,0
