Clinical Commissioning Group Code (2015),Clinical Commissioning Group Name (2015),Income Deprivation Affecting Older People (IDAOPI) - Average rank,Income Deprivation Affecting Older People (IDAOPI) - Rank of average rank,Income Deprivation Affecting Older People (IDAOPI) - Average score,Income Deprivation Affecting Older People (IDAOPI) - Rank of average score,Income Deprivation Affecting Older People (IDAOPI) - Proportion of LSOAs in most deprived 10% nationally,Income Deprivation Affecting Older People (IDAOPI) - Rank of proportion of LSOAs in most deprived 10% nationally
E38000001,"NHS Airedale, Wharfedale and Craven CCG",11311.24,164,0.128,146,0.0928,68
E38000002,NHS Ashford CCG,12688.14,136,0.129,145,0,168
E38000003,NHS Aylesbury Vale CCG,8321.12,196,0.095,197,0.008,160
E38000004,NHS Barking and Dagenham CCG,25104.35,15,0.279,19,0.1636,48
E38000005,NHS Barnet CCG,16957.17,76,0.177,78,0.0758,80
E38000006,NHS Barnsley CCG,17905.5,61,0.186,72,0.0272,118
E38000007,NHS Basildon and Brentwood CCG,13344.26,125,0.145,121,0.0256,121
E38000008,NHS Bassetlaw CCG,13854.85,118,0.143,123,0.0286,116
E38000009,NHS Bath and North East Somerset CCG,10728.66,174,0.115,174,0,168
E38000010,NHS Bedfordshire CCG,10897.8,173,0.118,167,0.0231,128
E38000011,NHS Bexley CCG,11583.64,158,0.122,162,0.0205,135
E38000012,NHS Birmingham CrossCity CCG,21700.95,27,0.262,21,0.3102,17
E38000013,NHS Birmingham South and Central CCG,23037.96,21,0.292,16,0.3565,15
E38000014,NHS Blackburn with Darwen CCG,19246.34,45,0.247,29,0.2857,19
E38000015,NHS Blackpool CCG,22821.73,22,0.253,25,0.2021,37
E38000016,NHS Bolton CCG,17653.6,64,0.211,48,0.1921,39
E38000017,NHS Bracknell and Ascot CCG,10420.35,176,0.111,178,0,168
E38000018,NHS Bradford City CCG,31109.25,1,0.529,1,0.814,1
E38000019,NHS Bradford Districts CCG,19176.23,46,0.224,42,0.2462,26
E38000020,NHS Brent CCG,24691.91,17,0.28,18,0.1965,38
E38000021,NHS Brighton and Hove CCG,18831.75,48,0.205,55,0.103,63
E38000022,NHS Bristol CCG,17988.6,60,0.198,60,0.1141,59
E38000023,NHS Bromley CCG,10094.67,180,0.113,176,0.0355,105
E38000024,NHS Bury CCG,15372.02,96,0.165,94,0.0667,87
E38000025,NHS Calderdale CCG,15263.04,99,0.164,95,0.0781,77
E38000026,NHS Cambridgeshire and Peterborough CCG,11840.51,153,0.125,153,0.0197,138
E38000027,NHS Camden CCG,21601.74,30,0.254,24,0.2331,29
E38000028,NHS Cannock Chase CCG,16893.39,78,0.17,84,0,168
E38000029,NHS Canterbury and Coastal CCG,13320.17,126,0.136,129,0,168
E38000030,NHS Castle Point and Rochford CCG,12105.52,149,0.124,159,0,168
E38000031,NHS Central London (Westminster) CCG,18622.31,50,0.221,43,0.1596,50
E38000032,NHS Central Manchester CCG,28957.69,5,0.42,3,0.6374,5
E38000033,NHS Chiltern CCG,7426.54,204,0.088,204,0.0256,121
E38000034,NHS Chorley and South Ribble CCG,13388.16,123,0.141,127,0.0588,93
E38000035,NHS City and Hackney CCG,29044.44,4,0.411,4,0.7533,3
E38000037,NHS Corby CCG,16485.03,81,0.169,89,0.0244,126
E38000038,NHS Coventry and Rugby CCG,16860.88,79,0.19,67,0.1641,46
E38000039,NHS Crawley CCG,14971.13,104,0.153,107,0.0152,146
E38000040,NHS Croydon CCG,15348.51,98,0.17,85,0.0773,78
E38000041,NHS Cumbria CCG,11564.83,161,0.124,156,0.0247,125
E38000042,NHS Darlington CCG,15816.84,91,0.176,80,0.0923,70
E38000043,"NHS Dartford, Gravesham and Swanley CCG",11737.26,155,0.126,152,0.0131,149
E38000044,NHS Doncaster CCG,17262.92,70,0.183,76,0.0412,101
E38000045,NHS Dorset CCG,11576.41,159,0.124,158,0.0265,119
E38000046,NHS Dudley CCG,17114.2,73,0.186,73,0.0945,67
E38000047,"NHS Durham Dales, Easington and Sedgefield CCG",19650.2,43,0.206,54,0.0503,95
E38000048,NHS Ealing CCG,21506.18,32,0.238,35,0.1684,44
E38000049,NHS East and North Hertfordshire CCG,11721.55,156,0.122,161,0,168
E38000050,NHS East Lancashire CCG,17037.35,74,0.185,75,0.0984,65
E38000051,NHS East Leicestershire and Rutland CCG,9585.66,187,0.102,188,0,168
E38000052,NHS East Riding of Yorkshire CCG,12248.42,147,0.128,148,0.0102,155
E38000053,NHS East Staffordshire CCG,11825.94,154,0.128,149,0.026,120
E38000054,NHS East Surrey CCG,7936.58,201,0.089,203,0,168
E38000055,"NHS Eastbourne, Hailsham and Seaford CCG",12508.79,142,0.129,143,0.0088,159
E38000056,NHS Eastern Cheshire CCG,8571.52,191,0.097,192,0,168
E38000057,NHS Enfield CCG,20135.27,38,0.219,44,0.1257,56
E38000058,NHS Erewash CCG,14855.11,107,0.153,106,0.0161,142
E38000059,NHS Fareham and Gosport CCG,8264.69,198,0.094,198,0,168
E38000060,NHS Fylde & Wyre CCG,13948.3,116,0.142,124,0.0091,158
E38000062,NHS Gloucestershire CCG,10955.34,172,0.118,168,0.0214,132
E38000063,NHS Great Yarmouth and Waveney CCG,16455.51,82,0.17,87,0.0821,75
E38000064,NHS Greater Huddersfield CCG,13399.38,122,0.147,119,0.0764,79
E38000065,NHS Greater Preston CCG,14076.68,114,0.164,96,0.1641,46
E38000066,NHS Greenwich CCG,21671.05,28,0.245,32,0.245,27
E38000068,NHS Halton CCG,18109.85,58,0.207,53,0.1392,53
E38000069,"NHS Hambleton, Richmondshire and Whitby CCG",9650.41,186,0.105,185,0.0105,153
